Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.574453185,0.574453185,0.574453185,0.574453185,0.574453185,0.574453185,0.574453185,0.574453185,0.574453185,0.567219583,0.563046546
0.577818126,0.575368238,0.592666455,0.574602944,0.576691227,0.574140588,0.576461653,0.57406135,0.591754437,0.568020195,0.570951656
0.579186901,0.575518071,0.601456516,0.57573987,0.580829351,0.574960619,0.580326672,0.576740186,0.600901228,0.568078592,0.575609872
0.582692287,0.575945662,0.607457537,0.577537656,0.58429078,0.577485963,0.58278457,0.57709087,0.607145551,0.568096125,0.577212632
0.584673759,0.57630865,0.613357409,0.578341848,0.587088309,0.579984331,0.584871577,0.577191256,0.610563289,0.568028824,0.578695176
0.587095366,0.576247696,0.616007144,0.580033792,0.590059635,0.581843249,0.587273405,0.578058801,0.613740742,0.567997066,0.579667127
0.589068531,0.576315808,0.618002014,0.582133846,0.59137166,0.582762222,0.589905648,0.578882137,0.615911906,0.567896872,0.580537509
0.59176586,0.576268193,0.622154041,0.583158468,0.592622984,0.585709658,0.593224043,0.580788234,0.618571423,0.567824535,0.58067197
0.592356969,0.576206259,0.62401513,0.582836005,0.594005164,0.587028248,0.593811793,0.581687526,0.61936126,0.567686497,0.581195919
0.594317789,0.576215635,0.626082318,0.583845413,0.594698402,0.588991113,0.596850324,0.583244224,0.622265549,0.567578737,0.581351241
0.595869507,0.575850911,0.627190256,0.585834124,0.596130425,0.589026466,0.59835632,0.584665159,0.623690002,0.567514891,0.581744756
0.596250437,0.576054611,0.629937853,0.587202656,0.598896853,0.590097929,0.599754129,0.585779527,0.626527141,0.567468919,0.582269817
0.598599339,0.576321174,0.632092118,0.587363097,0.599187614,0.591840166,0.601579316,0.587212782,0.628140876,0.567485418,0.581893812
0.599843349,0.577683992,0.633582935,0.588514147,0.600796818,0.593162103,0.60296754,0.588289987,0.629776161,0.567428494,0.581586851
0.601117551,0.57854052,0.634020495,0.588444154,0.602629694,0.594039294,0.604078732,0.589228997,0.630266858,0.567404661,0.581670402
0.601100005,0.580459895,0.635437081,0.59033963,0.602813038,0.594803059,0.60621213,0.590538967,0.631922323,0.567333483,0.588547404
0.602262441,0.58343541,0.636067326,0.591040153,0.604043011,0.595760877,0.607095067,0.590962769,0.633166636,0.56727286,0.594762627
0.603911462,0.584155068,0.636918056,0.592949053,0.604520762,0.597060096,0.608217702,0.590858036,0.633738863,0.567163292,0.595235911
0.606105909,0.58584893,0.637773078,0.593199192,0.605641507,0.597601145,0.609775564,0.592237784,0.633819261,0.567136671,0.596803211
0.60604032,0.586645244,0.637722397,0.592908367,0.606882761,0.597498546,0.610194807,0.594393407,0.634801306,0.567179578,0.599932339
0.606696579,0.588005183,0.638199555,0.593605081,0.607716313,0.598434132,0.611168054,0.594549238,0.635523853,0.567226997,0.599594965
0.607847545,0.589378709,0.639155056,0.594715023,0.60805713,0.598805214,0.612192179,0.595097949,0.636816569,0.567314655,0.600431843
0.608532079,0.590737844,0.6404226,0.59521424,0.609539466,0.599669124,0.612789413,0.595279371,0.637612974,0.567393684,0.601363691
0.609144122,0.592097403,0.641528105,0.594922902,0.609738502,0.601198343,0.613823655,0.595631024,0.638223111,0.567441399,0.601817598
0.610884765,0.593267431,0.641839557,0.595003959,0.609031347,0.602093078,0.614305431,0.596085603,0.639121072,0.567504235,0.602086217
0.610437361,0.594268199,0.643206036,0.596214317,0.610206228,0.603001027,0.615367461,0.596347011,0.638709421,0.56751994,0.602303064
0.611087631,0.595578474,0.643330736,0.596997174,0.610983066,0.60334189,0.616016713,0.596369626,0.640399408,0.567581869,0.602031591
0.612675036,0.597568095,0.644351295,0.596717793,0.61182413,0.603735952,0.616589494,0.596263075,0.641282913,0.567657289,0.602400896
0.612839566,0.597882961,0.644114606,0.597148639,0.611949241,0.604746495,0.617304473,0.597167335,0.640636219,0.567701713,0.602232643
0.613222439,0.598931067,0.645135932,0.59924177,0.61195781,0.605683728,0.618304344,0.597900871,0.642006713,0.567806881,0.602550304
0.613683505,0.599613038,0.645589755,0.59996319,0.612631729,0.605202532,0.618840993,0.598048044,0.64221694,0.570326652,0.603828158
0.613950349,0.600747566,0.645793462,0.599808264,0.613359961,0.606038758,0.619988319,0.599251957,0.643151991,0.574005414,0.604151174
0.614660735,0.601517578,0.646029921,0.600601542,0.612559382,0.606599778,0.620520277,0.599552062,0.643533666,0.576321533,0.604449218
0.615942954,0.602458382,0.646178824,0.600633825,0.613093171,0.606750911,0.620671719,0.600063779,0.644344237,0.577043565,0.605146713
0.616307897,0.603881925,0.646721315,0.601238453,0.61275292,0.607235657,0.620560291,0.601232736,0.644612415,0.578058399,0.605215014
0.617334291,0.60465741,0.64663344,0.602274836,0.613470424,0.60796667,0.621533074,0.601669111,0.645442515,0.578614866,0.605582014
