Query-core-cuda n,Query-core-cuda p,MASFo n,MASFo p
-89.96703296703296,40.03296703296703,-86.13469387755103,43.865306122448985
-96.84615384615384,43.153846153846146,-89.06224489795919,50.93775510204082
-103.83516483516483,46.16483516483516,-92.01836734693877,57.981632653061226
-110.6263736263736,49.37362637362637,-95.05204081632654,64.94795918367348
-117.45604395604394,52.543956043956044,-98.16734693877551,71.83265306122449
-124.35714285714286,55.64285714285715,-101.36428571428573,78.63571428571427
-131.07142857142858,58.92857142857144,-104.5591836734694,85.44081632653061
-137.78021978021977,62.21978021978022,-107.70816326530613,92.29183673469387
-144.58241758241758,65.41758241758242,-110.7765306122449,99.22346938775509
-151.46153846153848,68.53846153846155,-113.765306122449,106.23469387755101
-158.06043956043956,71.93956043956044,-116.8530612244898,113.1469387755102
-164.9395604395604,75.06043956043958,-119.89693877551021,120.10306122448979
-171.79670329670327,78.20329670329672,-122.84183673469387,127.15816326530611
-178.77472527472528,81.22527472527473,-125.73877551020408,134.26122448979592
-184.95604395604397,85.04395604395606,-128.64081632653063,141.35918367346937
-190.7087912087912,89.2912087912088,-131.45510204081634,148.54489795918371
-196.64835164835168,93.35164835164835,-134.15510204081633,155.8448979591837
-202.41758241758245,97.58241758241759,-136.74897959183673,163.25102040816327
-206.3956043956044,100.52747252747254,-139.24489795918367,170.75510204081635
-208.53846153846158,102.23076923076924,-141.5591836734694,178.4408163265306
-210.79120879120882,103.82417582417584,-143.74591836734695,186.25408163265305
-212.989010989011,105.47252747252746,-145.89285714285717,194.10714285714286
-215.20329670329673,107.1043956043956,-147.88877551020408,202.11122448979594
-217.39010989010993,108.76373626373628,-149.78061224489792,210.21938775510208
-219.66483516483518,110.33516483516485,-151.4938775510204,218.5061224489796
-221.96153846153848,111.88461538461537,-152.9530612244898,227.0469387755102
-224.2857142857143,113.4065934065934,-154.29285714285714,235.70714285714286
-226.5,115.03846153846155,-155.42244897959182,244.57755102040818
-228.70329670329673,116.68131868131869,-156.51122448979592,253.48877551020408
-230.967032967033,118.26373626373628,-160.23877551020408,259.7612244897959
-233.34615384615387,119.73076923076924,-165.43775510204082,264.5622448979592
-235.5439560439561,121.37912087912089,-170.42755102040815,269.57244897959185
-237.86263736263737,122.90659340659342,-175.4408163265306,274.5591836734694
-239.85714285714286,123.989010989011,-180.50714285714284,279.49285714285713
-241.69230769230768,125.23076923076925,-185.44285714285712,284.5571428571428
-243.5824175824176,126.41758241758244,-190.62448979591835,289.37551020408165
-245.36263736263737,127.71428571428574,-195.88061224489795,294.11938775510197
-247.2472527472528,128.90659340659343,-201.29591836734696,298.704081632653
-249.24175824175828,129.98901098901098,-206.87346938775508,303.1265306122449
-251.08241758241758,131.22527472527474,-212.86938775510203,307.1306122448979
-253.04945054945054,132.33516483516485,-219.45816326530613,310.54183673469385
-254.99450549450552,133.467032967033,-226.49183673469386,313.5081632653061
-256.2747252747253,134.49450549450552,-234.09387755102043,315.90612244897954
-257.65384615384613,135.42307692307693,-242.08979591836737,317.9102040816327
-259.0769230769231,136.30769230769232,-248.38061224489797,321.61938775510197
-260.54945054945057,137.14285714285717,-253.36020408163265,326.6397959183673
-262.02197802197804,137.97802197802199,-258.37755102040813,331.6224489795918
-263.57142857142856,138.73626373626374,-263.5540816326531,336.44591836734696
-264.62637362637366,139.21978021978023,-268.6469387755102,341.3530612244898
-265.64835164835165,139.73626373626374,-274.15510204081636,345.84489795918364
-266.6373626373626,140.28571428571428,-279.880612244898,350.11938775510197
-267.6373626373626,140.82417582417582,-285.81326530612245,354.18673469387755
-268.6758241758242,141.32417582417582,-292.119387755102,357.8806122448979
-269.6043956043956,141.93406593406593,-298.6081632653062,361.3918367346938
-270.59890109890114,142.47802197802199,-305.3367346938776,364.6632653061224
-271.5824175824176,143.03296703296704,-312.3612244897959,367.6387755102041
-272.57142857142856,143.58241758241758,-319.6724489795919,370.3275510204081
-273.55494505494505,144.13736263736263,-327.3081632653062,372.6918367346939
-274.6703296703297,144.56043956043956,-334.0010204081633,375.9989795918367
-275.7802197802198,144.98901098901098,-339.0857142857143,380.91428571428565
-276.8626373626374,145.44505494505492,-344.15000000000003,385.84999999999997
-277.9340659340659,145.9120879120879,-349.31734693877553,390.6826530612244
-279.0659340659341,146.31868131868129,-354.74387755102043,395.25612244897957
-280.22527472527474,146.69780219780222,-360.4979591836736,399.5020408163265
-281.2307692307692,147.23076923076923,-366.6163265306123,403.3836734693877
-282.35164835164835,147.64835164835162,-373.16530612244895,406.83469387755105
-283.4175824175824,148.12087912087912,-380.13061224489803,409.86938775510197
-284.4945054945055,148.58241758241758,-387.35714285714283,412.64285714285717
-285.54395604395603,149.07142857142858,-394.7010204081633,415.2989795918367
-286.55494505494505,149.59890109890108,-402.0704081632653,417.9295918367347
-287.64835164835165,150.04395604395606,-409.66632653061225,420.3336734693877
-288.72527472527474,150.5054945054945,-417.4744897959184,422.52551020408157
-289.8846153846154,150.8846153846154,-424.9357142857143,425.0642857142857
-291.01648351648356,151.29120879120882,-430.00204081632654,429.99795918367346
-292.1703296703297,151.67582417582418,-435.1683673469388,434.8316326530612
-293.34615384615387,152.03846153846152,-440.4704081632653,439.52959183673465
-294.478021978022,152.44505494505498,-445.9785714285714,444.02142857142854
-295.6868131868132,152.77472527472528,-451.9051020408163,448.0948979591836
-296.81318681318686,153.1868131868132,-458.27755102040817,451.7224489795918
-297.978021978022,153.56043956043956,-465.1765306122449,454.8234693877551
-299.1538461538462,153.92307692307693,-472.4224489795919,457.57755102040807
-300.31868131868134,154.2967032967033,-479.9234693877551,460.0765306122448
-301.4725274725275,154.6813186813187,-487.5459183673469,462.454081632653
-302.61538461538464,155.07692307692307,-495.3877551020408,464.6122448979591
-303.7802197802198,155.45054945054946,-503.36224489795916,466.6377551020408
-304.94505494505495,155.82417582417582,-511.1867346938776,468.81326530612245
-306.13186813186815,156.17582417582418,-519.15,470.84999999999997
-307.35714285714283,156.48901098901098,-525.6214285714285,474.3785714285714
-308.6208791208791,156.76373626373626,-529.9540816326531,480.04591836734687
-309.93956043956047,156.98351648351647,-534.9887755102039,485.0112244897959
-311.20879120879124,157.25274725274724,-540.3989795918367,489.6010204081632
-312.4725274725275,157.52747252747253,-546.0867346938775,493.9132653061224
-313.7307692307692,157.80769230769232,-552.342857142857,497.65714285714284
-314.98351648351655,158.0934065934066,-559.2459183673469,500.754081632653
-316.29670329670336,158.3186813186813,-566.4918367346938,503.50816326530605
-317.53846153846155,158.6153846153846,-574.023469387755,505.9765306122449
-318.8076923076923,158.88461538461542,-581.8755102040816,508.12448979591835
-320.0879120879121,159.14285714285714,-589.8612244897959,510.1387755102041
-321.3736263736264,159.39560439560438,-597.9244897959182,512.0755102040816
-322.6483516483517,159.65934065934067,-606.1346938775508,513.8653061224489
