Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
7.379460581,7.348755187,7.369190871,7.384439834,7.388381743,7.37033195,7.398236515,7.363589212,7.36753112,7.423829283,7.467922119
7.290871369,7.328319502,7.260477178,7.300414938,7.338900415,7.307157676,7.31379668,7.335892116,7.258298755,7.451452282,7.389403128
7.23526971,7.296058091,7.189937759,7.265041494,7.288381743,7.255290456,7.280082988,7.289419087,7.187033195,7.439419087,7.333865305
7.202178423,7.298236515,7.130912863,7.221161826,7.250311203,7.23973029,7.20840249,7.235165975,7.170435685,7.433372851,7.305458027
7.169605809,7.320020747,7.117842324,7.185788382,7.199585062,7.222406639,7.15653527,7.208921162,7.117427386,7.446532306,7.266517715
7.151556017,7.338692946,7.070228216,7.176141079,7.172717842,7.194709544,7.10746888,7.176141079,7.105809129,7.433372851,7.299393553
7.096473029,7.340560166,7.060684647,7.135892116,7.120124481,7.189107884,7.048962656,7.140767635,7.065041494,7.447184351,7.252154485
7.054149378,7.34346473,7.046576763,7.093983402,7.114107884,7.169709544,7.00186722,7.121784232,7.023858921,7.43918198,7.252473667
7.042738589,7.372510373,7.04626556,7.066908714,7.087966805,7.153423237,6.969709544,7.096887967,6.984128631,7.436633076,7.273858921
6.991390041,7.370850622,7.024585062,7.004045643,7.062033195,7.128630705,6.946473029,7.051763485,6.976763485,7.439122703,7.241302266
6.953838174,7.392012448,7.001556017,6.98526971,7.03973029,7.107987552,6.912240664,7.059024896,6.946576763,7.42406639,7.23619534
6.918672199,7.398029046,6.954253112,6.958195021,7,7.05840249,6.878838174,7.043568465,6.92873444,7.431179609,7.23396106
6.888070539,7.412448133,6.974170124,6.941701245,6.983195021,7.067842324,6.864107884,7.040975104,6.878838174,7.434084173,7.207788063
6.874481328,7.399792531,6.977593361,6.922095436,6.956846473,7.032365145,6.826141079,7.011410788,6.864419087,7.445465323,7.223747207
6.829356846,7.379356846,6.956846473,6.8906639,6.964004149,7.047821577,6.789315353,7.008713693,6.870746888,7.433491405,7.234599425
6.809543568,7.377697095,6.922614108,6.883817427,6.936099585,7.007572614,6.809543568,6.98973029,6.834439834,7.427563723,7.177146505
6.806846473,7.353526971,6.919087137,6.87873444,6.914834025,7.018775934,6.776141079,6.970539419,6.825829876,7.427504446,7.139482924
6.788070539,7.35093361,6.910477178,6.847510373,6.884232365,6.989834025,6.748858921,6.993879668,6.795435685,7.444161233,7.150015959
6.766182573,7.333506224,6.907572614,6.825311203,6.881742739,6.977282158,6.735165975,6.973962656,6.796058091,7.462892709,7.184806894
6.754356846,7.318568465,6.87780083,6.823029046,6.856742739,6.968983402,6.719917012,6.950311203,6.770850622,7.456490812,7.170762847
6.735165975,7.312240664,6.877904564,6.789937759,6.842738589,6.954149378,6.700829876,6.936099585,6.750207469,7.434973325,7.101180977
6.711099585,7.293568465,6.859439834,6.776037344,6.825518672,6.931327801,6.698340249,6.908921162,6.77313278,7.447777119,7.135333546
6.702904564,7.270228216,6.829356846,6.768568465,6.827074689,6.925518672,6.674170124,6.897614108,6.747406639,7.422406639,7.119055219
6.68879668,7.26659751,6.820020747,6.757157676,6.800726141,6.921576763,6.652593361,6.906016598,6.742427386,7.42163604,7.155761251
6.687551867,7.266804979,6.79253112,6.73526971,6.795746888,6.918049793,6.647821577,6.883298755,6.741804979,7.45204505,7.123842962
6.65746888,7.269709544,6.759024896,6.718879668,6.772302905,6.913070539,6.626244813,6.879253112,6.716701245,7.421873148,7.096712416
6.667219917,7.241390041,6.744917012,6.715145228,6.755186722,6.889107884,6.61939834,6.860165975,6.703838174,7.429223474,7.115544207
6.629564315,7.234439834,6.72780083,6.693257261,6.732365145,6.881224066,6.617323651,6.86473029,6.709958506,7.437818613,7.104053623
6.615041494,7.230912863,6.68526971,6.693879668,6.737759336,6.87219917,6.590041494,6.860373444,6.686410788,7.425311203,7.114586658
6.609958506,7.199792531,6.685892116,6.664834025,6.712966805,6.840975104,6.579771784,6.826452282,6.668879668,7.428097214,7.125758059
6.603423237,7.167012448,6.663381743,6.648443983,6.70560166,6.848858921,6.564107884,6.826556017,6.659958506,7.400829876,7.100223428
6.594190871,7.155497925,6.637655602,6.647925311,6.690352697,6.837966805,6.550103734,6.808195021,6.655705394,7.380023711,7.070858602
6.575311203,7.145643154,6.612655602,6.629356846,6.673443983,6.822821577,6.549792531,6.800414938,6.641078838,7.341256669,7.112352378
6.567323651,7.132365145,6.606120332,6.604356846,6.6656639,6.803838174,6.54533195,6.793983402,6.626763485,7.332009484,7.061921481
6.564419087,7.101763485,6.573547718,6.606120332,6.661929461,6.796887967,6.551348548,6.772717842,6.597717842,7.310491998,7.061921481
6.550414938,7.110892116,6.569709544,6.599170124,6.661929461,6.784958506,6.531431535,6.783298755,6.587759336,7.300711322,7.078838174
6.533817427,7.085580913,6.568775934,6.587136929,6.633298755,6.775414938,6.531120332,6.767116183,6.580912863,7.282631891,7.046600702
6.52406639,7.061929461,6.526556017,6.577385892,6.627697095,6.773858921,6.519502075,6.757572614,6.548340249,7.254001186,7.087456112
6.529875519,7.06473029,6.526763485,6.575103734,6.61659751,6.757987552,6.510165975,6.742946058,6.565352697,7.234736218,7.047558251
6.50280083,7.051970954,6.527904564,6.554356846,6.605809129,6.757157676,6.512448133,6.743360996,6.561410788,7.264196799,7.025534631
6.490871369,7.023547718,6.538174274,6.559543568,6.596887967,6.737759336,6.506224066,6.727282158,6.515248963,7.255957321,7.021704437
6.488278008,6.995954357,6.515041494,6.559751037,6.581846473,6.718568465,6.493879668,6.715560166,6.517842324,7.266686426,7.004149378
6.499896266,6.992012448,6.515871369,6.552074689,6.588485477,6.718568465,6.481224066,6.708921162,6.491286307,7.260699467,7.015639962
6.471369295,6.98153527,6.517634855,6.53060166,6.587551867,6.697406639,6.462551867,6.703838174,6.483298755,7.245228216,7.035748484
6.474377593,6.951037344,6.508921162,6.52686722,6.567219917,6.69159751,6.464937759,6.704356846,6.477178423,7.242620036,7.064794127
6.482676349,6.945124481,6.509128631,6.51473029,6.574688797,6.675,6.453319502,6.698029046,6.448340249,7.203675163,6.98787105
6.476763485,6.920539419,6.480705394,6.495228216,6.554979253,6.662344398,6.449792531,6.678319502,6.435062241,7.185002964,7.033195021
6.473029046,6.912551867,6.50840249,6.483921162,6.537966805,6.639107884,6.437551867,6.677282158,6.436514523,7.1317131,7.01659751
6.465456432,6.903319502,6.485062241,6.477282158,6.520850622,6.62966805,6.437344398,6.670124481,6.421473029,7.145880261,6.97350782
6.443983402,6.879253112,6.461721992,6.469709544,6.514004149,6.625103734,6.417012448,6.659439834,6.402282158,7.124836989,6.992977976
6.450518672,6.877904564,6.45280083,6.453630705,6.512966805,6.631120332,6.417634855,6.666804979,6.410580913,7.115589804,7.000319183
6.441493776,6.853112033,6.457676349,6.443049793,6.512344398,6.615560166,6.413381743,6.659024896,6.391493776,7.074392413,6.979253112
6.441804979,6.838278008,6.440975104,6.430186722,6.497095436,6.595020747,6.406327801,6.647510373,6.359751037,7.07854179,6.996808171
6.433091286,6.82313278,6.457676349,6.417427386,6.485062241,6.586929461,6.403319502,6.656742739,6.369605809,7.071013634,7.021385254
