Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.458590956,0.458590956,0.458590956,0.458590956,0.458590956,0.458590956,0.458590956,0.458590956,0.458590956,0.443780096,0.455204128
0.452603385,0.460000583,0.49405095,0.468609603,0.450090645,0.473152253,0.464711984,0.467045181,0.495206743,0.442698424,0.470777114
0.453983991,0.462615078,0.505113346,0.475862488,0.443105184,0.485020342,0.473103424,0.477055932,0.512773663,0.442053641,0.470407824
0.451381772,0.467526648,0.517265614,0.483549275,0.437666299,0.492180825,0.479786055,0.484310757,0.525812042,0.446209595,0.469767394
0.452337524,0.471419867,0.523569707,0.48668963,0.432572653,0.499126159,0.487548158,0.491779728,0.538664039,0.451073575,0.469545442
0.452545337,0.475966141,0.532466092,0.489970302,0.430456834,0.505962032,0.496679694,0.497170009,0.546654883,0.456399402,0.469987497
0.45094417,0.477988114,0.538541632,0.493077578,0.428905158,0.513068814,0.503819073,0.505663475,0.554289334,0.46305062,0.469759493
0.453464992,0.480714252,0.542347369,0.497886752,0.430010004,0.518962027,0.510777413,0.512153822,0.560836895,0.47051438,0.469151845
0.460452319,0.482715895,0.545683473,0.501972306,0.433116231,0.523194318,0.515192408,0.518268822,0.567183433,0.473070829,0.46813461
0.463555297,0.484055368,0.548759684,0.506602876,0.434160993,0.528289801,0.520240809,0.524824482,0.571459007,0.475155767,0.467437221
0.464540186,0.485672438,0.552188157,0.511337175,0.436879139,0.534591109,0.525622937,0.529927946,0.580448862,0.478692638,0.465048716
0.469423262,0.488406888,0.556375873,0.512398072,0.438744656,0.539443518,0.530068956,0.535692696,0.583557003,0.478137479,0.465007642
0.474153318,0.490372217,0.559285311,0.515812044,0.439924125,0.542612039,0.532674072,0.54024233,0.58917639,0.484454533,0.465343562
0.479179528,0.491439788,0.562902439,0.519760163,0.442665682,0.546715046,0.538757514,0.544361051,0.596612529,0.486462878,0.46497377
0.48319749,0.494174032,0.567672859,0.524775705,0.445538567,0.550094203,0.542463333,0.548594565,0.59898458,0.48947691,0.465113154
0.488638867,0.496710949,0.569958606,0.528373369,0.449057068,0.552644801,0.546098564,0.551793134,0.604850908,0.489845513,0.465168724
0.493890193,0.499670964,0.572963528,0.529815196,0.452065497,0.555901029,0.551219491,0.556184314,0.608827013,0.491119621,0.465096784
0.498440206,0.501100165,0.575976677,0.533000671,0.455744883,0.55991806,0.554653857,0.559980109,0.612882715,0.492855209,0.476615903
0.502903179,0.502699492,0.579539032,0.536176448,0.458133657,0.56260709,0.557191517,0.563437387,0.616451686,0.496535542,0.485596303
0.504894133,0.504801678,0.581195174,0.540378255,0.460194039,0.565693027,0.561452742,0.567269582,0.619979823,0.495109148,0.489363486
0.508850347,0.507192715,0.58365713,0.542844696,0.464518647,0.567781137,0.566043281,0.569746827,0.623448147,0.499321625,0.493929956
