Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.229577546,0.229577546,0.229577546,0.229577546,0.229577546,0.229577546,0.229577546,0.229577546,0.229577546,0.22787037,0.227228009
0.227928241,0.228767361,0.222517361,0.228159722,0.228883102,0.226261574,0.226678241,0.227893519,0.221898148,0.2265625,0.231568287
0.226412037,0.228113426,0.218125,0.226255787,0.228796296,0.223917824,0.224166667,0.225584491,0.217042824,0.224178241,0.232523148
0.225046296,0.227193287,0.21427662,0.224681713,0.228981481,0.222204861,0.221226852,0.224253472,0.213136574,0.221550926,0.232204861
0.223767361,0.226568287,0.21078125,0.223315972,0.228773148,0.220717593,0.218356481,0.222395833,0.209079861,0.218877315,0.232667824
0.222731481,0.226134259,0.207876157,0.22181713,0.22869213,0.219537037,0.215717593,0.22072338,0.206377315,0.215856481,0.2328125
0.221736111,0.225862269,0.205266204,0.221030093,0.228599537,0.21775463,0.213344907,0.21859375,0.20396412,0.214409722,0.232609954
0.220596065,0.225109954,0.203472222,0.219021991,0.228559028,0.216568287,0.210902778,0.217575231,0.20208912,0.211990741,0.232175926
0.218975694,0.224803241,0.201753472,0.217094907,0.228072917,0.215908565,0.209137731,0.216354167,0.199554398,0.210474537,0.231799769
0.217974537,0.224444444,0.200491898,0.215636574,0.228049769,0.215306713,0.207418981,0.21484375,0.198142361,0.209166667,0.231626157
0.217424769,0.223755787,0.19828125,0.213923611,0.227708333,0.213894676,0.205532407,0.213258102,0.195196759,0.207800926,0.231365741
0.215665509,0.223263889,0.19640625,0.212997685,0.227216435,0.212777778,0.203900463,0.211898148,0.194664352,0.206875,0.230353009
0.214270833,0.222644676,0.194988426,0.211921296,0.227077546,0.212690972,0.20296875,0.210746528,0.192916667,0.205162037,0.230092593
0.213142361,0.222378472,0.193431713,0.21052662,0.226591435,0.212002315,0.201111111,0.209837963,0.190486111,0.204050926,0.230092593
0.212123843,0.221111111,0.191099537,0.208912037,0.226105324,0.211163194,0.199837963,0.208449074,0.189085648,0.202685185,0.229456019
0.210711806,0.220208333,0.19005787,0.207517361,0.225271991,0.210405093,0.198483796,0.207586806,0.186927083,0.201863426,0.228877315
0.209496528,0.219322917,0.188049769,0.207013889,0.22490162,0.210081019,0.196631944,0.206458333,0.185862269,0.200196759,0.229050926
0.208287037,0.218721065,0.186869213,0.205677083,0.224149306,0.209045139,0.194780093,0.205219907,0.18453125,0.199467593,0.225636574
0.207065972,0.217881944,0.185324074,0.204878472,0.223449074,0.208443287,0.19390625,0.204363426,0.182725694,0.198657407,0.222829861
0.206400463,0.216950231,0.184502315,0.203269676,0.223425926,0.207876157,0.192297454,0.203229167,0.181695602,0.198043981,0.222106481
0.205474537,0.216174769,0.183449074,0.202123843,0.22265625,0.20744213,0.190925926,0.202615741,0.180434028,0.196574074,0.220601852
0.204479167,0.215237269,0.182146991,0.201267361,0.221996528,0.206741898,0.189594907,0.201927083,0.179184028,0.195578704,0.220167824
0.203269676,0.214421296,0.180775463,0.20046875,0.221082176,0.205671296,0.188611111,0.200920139,0.178096065,0.194976852,0.219386574
0.202719907,0.214039352,0.179085648,0.199369213,0.220422454,0.205364583,0.187552083,0.19990162,0.176626157,0.194444444,0.219386574
0.201898148,0.212922454,0.177939815,0.198269676,0.219560185,0.204768519,0.186284722,0.199097222,0.175486111,0.193877315,0.21947338
0.20109375,0.212447917,0.176394676,0.197650463,0.218674769,0.204444444,0.185185185,0.198356481,0.174461806,0.193090278,0.219097222
0.200329861,0.211898148,0.174884259,0.19681713,0.21806713,0.203605324,0.184409722,0.197633102,0.173020833,0.192766204,0.219155093
0.199548611,0.211226852,0.173784722,0.19583912,0.216799769,0.202853009,0.183368056,0.19671875,0.172204861,0.192291667,0.21947338
0.198836806,0.210329861,0.172274306,0.194733796,0.215949074,0.202262731,0.182112269,0.195642361,0.171082176,0.192106481,0.218721065
0.198136574,0.209849537,0.171053241,0.194033565,0.215034722,0.201707176,0.181001157,0.19462963,0.169710648,0.191736111,0.218460648
0.197893519,0.209490741,0.169762731,0.193043981,0.214178241,0.20134838,0.180300926,0.193998843,0.168813657,0.1915625,0.218200231
0.196846065,0.208802083,0.168478009,0.192349537,0.213368056,0.20078125,0.179085648,0.192893519,0.167743056,0.191226852,0.21791088
0.19634838,0.207667824,0.167569444,0.191458333,0.212465278,0.200086806,0.178211806,0.192204861,0.166452546,0.190891204,0.217795139
0.195387731,0.20681713,0.166579861,0.190173611,0.211574074,0.199866898,0.177280093,0.19109375,0.165428241,0.190775463,0.216579861
0.195005787,0.206261574,0.165538194,0.188987269,0.210590278,0.19921875,0.176603009,0.190949074,0.164259259,0.190659722,0.21640625
0.194236111,0.205092593,0.164230324,0.187731481,0.209623843,0.198420139,0.175318287,0.190104167,0.163611111,0.190381944,0.216145833
0.194085648,0.204861111,0.163344907,0.186886574,0.208709491,0.197829861,0.174583333,0.189733796,0.162459491,0.190219907,0.216145833
0.19328125,0.203969907,0.162170139,0.186603009,0.207835648,0.197528935,0.173414352,0.189079861,0.161394676,0.190138889,0.215219907
0.192685185,0.203194444,0.160983796,0.185028935,0.207123843,0.196793981,0.172418981,0.188587963,0.160752315,0.189965278,0.214641204
0.19193287,0.202586806,0.159803241,0.1840625,0.20619213,0.19681713,0.171579861,0.188425926,0.160260417,0.18974537,0.213946759
0.191678241,0.201799769,0.15875,0.183153935,0.205555556,0.196140046,0.170642361,0.187146991,0.158912037,0.189305556,0.213512731
0.190740741,0.201099537,0.157858796,0.182395833,0.204623843,0.195555556,0.17037037,0.186747685,0.158055556,0.189074074,0.213368056
0.189884259,0.200173611,0.156724537,0.181354167,0.203778935,0.19478588,0.16953125,0.186394676,0.157546296,0.188912037,0.21333912
0.188449074,0.199253472,0.156053241,0.180856481,0.203159722,0.194340278,0.168836806,0.185804398,0.156383102,0.188622685,0.212789352
0.187193287,0.19884838,0.155052083,0.18005787,0.202482639,0.194259259,0.16818287,0.185497685,0.156232639,0.188541667,0.212615741
0.185775463,0.198165509,0.154375,0.179334491,0.201880787,0.194050926,0.167170139,0.184803241,0.155428241,0.188298611,0.212876157
0.184334491,0.197685185,0.153530093,0.178767361,0.201313657,0.193547454,0.166261574,0.184270833,0.154513889,0.188113426,0.212528935
0.183287037,0.197083333,0.152887731,0.177939815,0.200353009,0.193315972,0.165260417,0.183628472,0.153553241,0.18505787,0.212297454
0.182280093,0.1965625,0.152337963,0.177025463,0.199288194,0.192748843,0.164855324,0.183055556,0.153229167,0.183171296,0.212326389
0.181128472,0.195966435,0.151365741,0.176174769,0.198101852,0.192239583,0.163738426,0.182152778,0.152569444,0.181053241,0.212413194
0.17994213,0.194884259,0.150798611,0.175271991,0.19728588,0.191759259,0.163344907,0.181545139,0.152002315,0.179270833,0.212384259
0.179293981,0.194415509,0.150364583,0.17443287,0.196325231,0.191244213,0.162696759,0.181244213,0.151568287,0.17724537,0.212326389
0.177928241,0.193721065,0.149577546,0.173518519,0.195648148,0.190700231,0.162175926,0.180856481,0.150555556,0.176030093,0.212181713
0.177060185,0.193246528,0.14865162,0.172829861,0.194890046,0.189982639,0.161446759,0.180121528,0.149947917,0.174791667,0.212094907
0.175966435,0.192690972,0.148142361,0.172193287,0.194346065,0.189548611,0.160532407,0.179565972,0.149091435,0.173715278,0.212094907
0.175115741,0.192175926,0.147685185,0.171475694,0.19318287,0.189033565,0.160231481,0.179010417,0.148611111,0.173506944,0.212239583
0.174427083,0.191631944,0.146869213,0.171215278,0.192667824,0.188900463,0.15953125,0.178304398,0.148269676,0.173032407,0.212123843
0.17322338,0.191087963,0.146603009,0.170353009,0.192488426,0.188119213,0.15880787,0.1778125,0.14740162,0.172534722,0.211921296
0.17224537,0.190538194,0.145862269,0.169444444,0.191672454,0.187517361,0.158252315,0.177586806,0.146765046,0.17193287,0.211892361
0.1709375,0.190306713,0.1453125,0.168622685,0.190954861,0.186961806,0.157864583,0.176383102,0.146469907,0.171631944,0.211892361
0.16994213,0.189751157,0.14490162,0.168009259,0.190231481,0.186770833,0.157228009,0.176302083,0.14568287,0.171342593,0.211979167
0.169311343,0.188940972,0.144513889,0.167737269,0.189537037,0.186226852,0.15671875,0.175804398,0.145289352,0.17130787,0.211805556
0.168425926,0.188836806,0.143721065,0.167146991,0.188738426,0.185920139,0.156313657,0.175121528,0.145005787,0.171215278,0.211863426
0.167534722,0.188408565,0.143420139,0.166429398,0.188078704,0.18509838,0.155561343,0.174918981,0.144363426,0.170902778,0.211834491
0.166637731,0.187835648,0.14322338,0.165405093,0.187633102,0.184484954,0.154907407,0.174594907,0.144016204,0.170752315,0.211892361
0.166128472,0.187355324,0.142546296,0.164947917,0.187193287,0.184299769,0.154322917,0.173975694,0.143396991,0.170601852,0.211921296
0.164716435,0.186574074,0.142239583,0.164322917,0.186296296,0.183478009,0.154184028,0.173489583,0.143078704,0.170451389,0.211111111
0.164195602,0.186018519,0.141753472,0.163599537,0.185902778,0.183130787,0.153686343,0.173333333,0.142806713,0.17037037,0.210850694
0.163634259,0.185543981,0.141331019,0.162957176,0.185509259,0.182708333,0.152997685,0.172789352,0.142471065,0.170208333,0.210648148
0.162980324,0.185335648,0.14109375,0.162199074,0.185341435,0.182216435,0.152638889,0.172494213,0.142210648,0.170300926,0.21009838
0.16244213,0.184832176,0.140584491,0.161550926,0.184965278,0.181915509,0.151869213,0.172002315,0.141898148,0.166805556,0.209837963
0.161591435,0.184091435,0.140341435,0.160856481,0.184704861,0.181331019,0.15130787,0.171371528,0.1415625,0.163877315,0.209375
0.161145833,0.183622685,0.139861111,0.160121528,0.183859954,0.180966435,0.150752315,0.171388889,0.14103588,0.160671296,0.20931713
0.160491898,0.183310185,0.139074074,0.15927662,0.183559028,0.180543981,0.150381944,0.17083912,0.140671296,0.15912037,0.209027778
0.160028935,0.182615741,0.13849537,0.158709491,0.183136574,0.179849537,0.150034722,0.170405093,0.140555556,0.157858796,0.209201389
0.159652778,0.181793981,0.138119213,0.157876157,0.182592593,0.179340278,0.149513889,0.169982639,0.139837963,0.157141204,0.209027778
0.158981481,0.181516204,0.137690972,0.157048611,0.181927083,0.178842593,0.14880787,0.169947917,0.139791667,0.155578704,0.208825231
0.158478009,0.181059028,0.137563657,0.156550926,0.181626157,0.178460648,0.148287037,0.16958912,0.139097222,0.155104167,0.208796296
0.157991898,0.180190972,0.13712963,0.155850694,0.18087963,0.178107639,0.147806713,0.16927662,0.138402778,0.15431713,0.208622685
0.157349537,0.17974537,0.136880787,0.154884259,0.180561343,0.17740162,0.147314815,0.168773148,0.13791088,0.153993056,0.208709491
0.156637731,0.179467593,0.136498843,0.154143519,0.179681713,0.177152778,0.146701389,0.168854167,0.137476852,0.153425926,0.208478009
