Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.255710742,0.255710742,0.255710742,0.255710742,0.255710742,0.255710742,0.255710742,0.255710742,0.255710742,0.248804997,0.25539119
0.25823933,0.262814964,0.304148903,0.265252161,0.25348798,0.278220085,0.267458778,0.2695844,0.314391262,0.249304614,0.25530691
0.26521558,0.267601378,0.321234242,0.27687,0.251291299,0.292272082,0.278501744,0.283717849,0.344188507,0.252243341,0.254828133
0.268545281,0.2748472,0.333029559,0.289186481,0.248332213,0.301711631,0.291025068,0.293296126,0.36773517,0.259038454,0.254958355
0.273878437,0.281985043,0.341833155,0.296116085,0.246697112,0.3105316,0.305852093,0.304697515,0.390927745,0.265400769,0.254737104
0.274830936,0.288286188,0.351822639,0.3042569,0.24766212,0.319573929,0.319169381,0.314377843,0.406292126,0.271327497,0.254701921
0.278755797,0.292259898,0.358285227,0.309922217,0.248076844,0.327588371,0.330929348,0.326421544,0.420165228,0.27628221,0.254794241
0.282636071,0.295920396,0.362736349,0.32000446,0.24925426,0.334421008,0.340484068,0.335554373,0.432336089,0.280947782,0.254994742
0.290969407,0.299434981,0.367421683,0.328650688,0.252740333,0.339041046,0.34874652,0.343841898,0.442961046,0.283511886,0.25513343
0.295702181,0.301751574,0.372046223,0.334984947,0.253272591,0.344601257,0.356647465,0.352691945,0.451844978,0.285174456,0.255180444
0.300074566,0.304453,0.37702942,0.344893121,0.256662028,0.351580598,0.363830244,0.361468896,0.464145789,0.286783454,0.255194034
0.308118177,0.308174858,0.381597627,0.350400938,0.259024646,0.357861232,0.371067918,0.368914981,0.470834809,0.288972017,0.255710525
0.316602902,0.311449838,0.385499276,0.356706292,0.260473888,0.36109093,0.378285955,0.375680839,0.477604233,0.29081714,0.25587205
0.323152155,0.313701322,0.389522655,0.363186391,0.262976197,0.365648059,0.386382811,0.381705729,0.488201367,0.292401706,0.255844472
0.330720273,0.3177598,0.394226668,0.372158877,0.266428757,0.369836746,0.391294744,0.390013406,0.495734535,0.29425717,0.256174298
0.335602101,0.321285487,0.397489533,0.379993284,0.27013523,0.372769968,0.398249803,0.397386626,0.50305632,0.295005923,0.256457406
0.343805813,0.325147297,0.402133562,0.383589672,0.273986747,0.376157659,0.405831884,0.403769599,0.510417834,0.297150602,0.256367368
0.350643604,0.327636351,0.405268303,0.389876649,0.277882304,0.380620522,0.411210384,0.409686147,0.515364519,0.297794399,0.271659638
0.356730003,0.330644783,0.408698495,0.394556137,0.281403256,0.384040136,0.416007789,0.414858863,0.52110525,0.298693794,0.281395218
0.360719473,0.334335744,0.41137529,0.401882393,0.283727832,0.386989259,0.423193816,0.421467917,0.526471544,0.299303585,0.284969879
0.367130703,0.3377169,0.415443773,0.407701789,0.28802323,0.389966571,0.429248908,0.426479074,0.531196264,0.301013936,0.288599655
0.372598621,0.340681192,0.419551106,0.411052167,0.291946233,0.393151217,0.43480023,0.430216502,0.535340968,0.302143479,0.289469918
