Query-core-cuda n,Query-core-cuda p,MASFo n,MASFo p
-397.6875,192.3125,-414.275,175.725
-406.21875,233.78125,-442.3375,197.6625
-415.78125,274.21875,-469.65,220.35
-424.34375,315.65625,-495.94999999999993,244.04999999999998
-433.53125,356.46875,-523.1125,266.8875
-443.125,396.875,-547.525,292.475
-452.25,437.75,-572.3749999999999,317.625
-462.1875,477.8125,-598.3375,341.6625000000001
-471.875,518.125,-624.3749999999999,365.62500000000006
-481.53125,558.46875,-651.0624999999999,388.9375
-491.78125,598.21875,-677.8749999999999,412.125
-501.625,638.375,-703.55,436.45000000000005
-511.03125,678.96875,-729.9499999999999,460.05000000000007
-520.625,719.375,-755.875,484.12500000000006
-529.53125,760.46875,-782.9624999999999,507.0375
-538.9375,801.0625,-809.4625,530.5375
-566.8125,823.1875,-836.1999999999999,553.8000000000001
-595.34375,844.65625,-861.7499999999999,578.25
-623.875,866.125,-889.0500000000001,600.95
-652.75,887.25,-915.6,624.4000000000001
-682.71875,907.28125,-942.0749999999999,647.9250000000001
-712.75,927.25,-970.4,669.6
-742.3125,947.6875,-997.7375,692.2625000000002
-770.40625,969.59375,-1024.925,715.075
-799.84375,990.15625,-1053.4624999999999,736.5375
-831.4375,1008.5625,-1082.25,757.75
-861.6875,1028.3125,-1110.6374999999998,779.3625000000001
-892.21875,1047.78125,-1140.0375,799.9625
-919.875,1070.125,-1172.3375,817.6625000000001
-949.8125,1090.1875,-1203.1,836.9000000000001
-979.3125,1110.6875,-1231.35,858.6500000000001
-1008.8125,1131.1875,-1263.1125,876.8875
-1043.46875,1146.53125,-1293.1,896.9000000000001
-1078.59375,1161.40625,-1321.575,918.4250000000001
-1114.8125,1175.1875,-1350.7,939.3000000000001
-1151.0,1189.0,-1378.5625000000002,961.4375000000001
-1187.65625,1202.34375,-1405.7250000000001,984.2750000000001
-1223.875,1216.125,-1432.775,1007.2250000000001
-1260.34375,1229.65625,-1461.3750000000002,1028.625
-1295.875,1244.125,-1487.6500000000003,1052.3500000000001
-1332.59375,1257.40625,-1513.2875000000004,1076.7125
-1369.4375,1270.5625,-1536.4750000000004,1103.525
-1406.21875,1283.78125,-1561.2625000000003,1128.7375
-1441.71875,1298.28125,-1581.7375000000002,1158.2624999999998
-1478.375,1311.625,-1599.2875000000004,1190.7124999999996
-1513.5625,1326.4375,-1612.8000000000002,1227.1999999999998
-1549.53125,1340.46875,-1638.4625,1251.5374999999997
-1586.59375,1353.40625,-1664.4750000000004,1275.5249999999996
-1631.46875,1358.53125,-1690.0125000000003,1299.9874999999997
-1678.34375,1361.65625,-1714.6125000000002,1325.3874999999998
-1725.6875,1364.3125,-1738.0875000000003,1351.9124999999997
-1772.21875,1367.78125,-1764.1250000000005,1375.8749999999998
-1819.375,1370.625,-1790.0500000000002,1399.9499999999996
-1866.65625,1373.34375,-1816.9375000000002,1423.0624999999998
-1913.9375,1376.0625,-1845.6625000000004,1444.3374999999996
-1961.625,1378.375,-1874.7000000000003,1465.2999999999997
-2008.96875,1381.03125,-1906.5750000000003,1483.4249999999997
-2056.6875,1383.3125,-1940.4250000000002,1499.5749999999998
-2103.625,1386.375,-1975.8500000000004,1514.1499999999999
-2150.5625,1389.4375,-2013.0875000000003,1526.9124999999997
-2197.6875,1392.3125,-2050.125,1539.8749999999998
-2244.75,1395.25,-2088.8125000000005,1551.1875
-2291.84375,1398.15625,-2126.8125,1563.1874999999998
-2338.21875,1401.78125,-2165.1000000000004,1574.8999999999999
-2381.21875,1408.78125,-2203.7625000000003,1586.2374999999997
-2421.90625,1418.09375,-2242.9500000000003,1597.05
-2464.34375,1425.65625,-2282.8375000000005,1607.1624999999997
-2505.09375,1434.90625,-2323.8625,1616.1374999999996
-2545.53125,1444.46875,-2360.8875000000003,1629.1125
-2585.03125,1454.96875,-2389.0125000000003,1650.9874999999997
-2625.6875,1464.3125,-2415.0125000000003,1674.9875
-2666.375,1473.625,-2439.4750000000004,1700.5249999999999
-2707.34375,1482.65625,-2465.2125,1724.7875
-2748.625,1491.375,-2490.9875,1749.0125
-2790.1875,1499.8125,-2517.9500000000003,1772.05
-2832.40625,1507.59375,-2545.2749999999996,1794.725
-2872.6875,1517.3125,-2574.825,1815.1749999999997
-2912.78125,1527.21875,-2604.8500000000004,1835.15
-2953.03125,1536.96875,-2636.9,1853.1
-2994.0,1546.0,-2669.2750000000005,1870.725
