Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
2.340555556,2.339861111,2.335601852,2.345694444,2.339444444,2.344537037,2.334259259,2.34037037,2.339212963,2.332592593,2.350925926
2.298842593,2.358796296,2.308333333,2.308009259,2.313518519,2.325555556,2.282962963,2.307962963,2.337361111,2.296666667,2.343287037
2.261018519,2.367638889,2.279583333,2.27912037,2.283842593,2.306018519,2.237453704,2.274675926,2.286712963,2.276666667,2.344675926
2.232407407,2.373009259,2.236388889,2.268425926,2.262083333,2.277824074,2.199351852,2.230138889,2.247453704,2.226111111,2.349305556
2.199074074,2.377037037,2.194259259,2.250092593,2.23712963,2.267638889,2.148148148,2.211805556,2.200092593,2.197407407,2.369907407
2.171481481,2.385740741,2.1725,2.220185185,2.221666667,2.258287037,2.109398148,2.185509259,2.174027778,2.176481481,2.365277778
2.138796296,2.386527778,2.149259259,2.204537037,2.211342593,2.237638889,2.071018519,2.160972222,2.143009259,2.150833333,2.365972222
2.116574074,2.38662037,2.124259259,2.183981481,2.193194444,2.22337963,2.034166667,2.146157407,2.119583333,2.131574074,2.36712963
2.097361111,2.382638889,2.101851852,2.166527778,2.182037037,2.213981481,2.009212963,2.107962963,2.092638889,2.100740741,2.364583333
2.074537037,2.37375,2.082546296,2.152777778,2.173009259,2.197777778,1.983055556,2.08875,2.064351852,2.088240741,2.37037037
2.049398148,2.381342593,2.061898148,2.134537037,2.16787037,2.178888889,1.952731481,2.05837963,2.041296296,2.073333333,2.371527778
2.029305556,2.375833333,2.036527778,2.121851852,2.15662037,2.166435185,1.928148148,2.03962963,2.019861111,2.063796296,2.372916667
2.007083333,2.370231481,2.020324074,2.105,2.153101852,2.149351852,1.899166667,2.01712963,1.999398148,2.036018519,2.374305556
1.994351852,2.371203704,2.0025,2.094907407,2.141064815,2.144305556,1.87087963,1.993888889,1.983935185,2.023055556,2.366435185
1.980324074,2.362222222,1.987546296,2.08037037,2.133287037,2.12787037,1.848888889,1.980231481,1.966759259,2.016759259,2.366203704
1.971111111,2.35962963,1.974490741,2.06162037,2.115138889,2.122222222,1.826435185,1.954490741,1.948194444,2.008148148,2.367361111
1.950462963,2.352638889,1.961157407,2.048009259,2.112037037,2.112546296,1.806990741,1.935138889,1.937037037,1.992777778,2.365740741
1.93837963,2.344490741,1.945972222,2.036111111,2.099351852,2.095972222,1.779953704,1.921296296,1.927777778,1.972037037,2.345138889
1.914027778,2.332962963,1.934722222,2.015833333,2.091898148,2.089537037,1.762777778,1.905185185,1.908148148,1.958981481,2.334259259
1.899537037,2.326203704,1.923564815,2.003518519,2.078009259,2.080092593,1.747824074,1.885833333,1.897037037,1.945185185,2.326157407
1.881944444,2.320787037,1.911666667,1.994259259,2.073703704,2.072962963,1.727407407,1.864166667,1.880787037,1.929351852,2.311111111
1.87875,2.318564815,1.900231481,1.98462963,2.066527778,2.059537037,1.717824074,1.855277778,1.865740741,1.911296296,2.288657407
1.862222222,2.311527778,1.885462963,1.970185185,2.050787037,2.044722222,1.695925926,1.841296296,1.850324074,1.89712963,2.286805556
1.858935185,2.29837963,1.877314815,1.960601852,2.036481481,2.032083333,1.68162037,1.822592593,1.843333333,1.893888889,2.289583333
1.844351852,2.287777778,1.871296296,1.951759259,2.029861111,2.016759259,1.660509259,1.80662037,1.826157407,1.881851852,2.286805556
1.83287037,2.284212963,1.85962963,1.935925926,2.013518519,2.010694444,1.645046296,1.797222222,1.814953704,1.872962963,2.281712963
1.816157407,2.267546296,1.851018519,1.924259259,2.003564815,2.000462963,1.63087963,1.780694444,1.805833333,1.866018519,2.264351852
1.802731481,2.258333333,1.83162037,1.910138889,1.989814815,1.992592593,1.619537037,1.762083333,1.793425926,1.8575,2.28125
1.796018519,2.254027778,1.816527778,1.901018519,1.980972222,1.979722222,1.602777778,1.753055556,1.776851852,1.843611111,2.270138889
1.78412037,2.241990741,1.812314815,1.889305556,1.969953704,1.971157407,1.591203704,1.735416667,1.766018519,1.835740741,2.273611111
