,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-27,83,-78,34,-96,11,-102,3,-101,8,-109,3,-108,3,-107,3,-102,7,-95,12,-95,10,-103,5,-105,3,-111,4,-103,6,-109,4,-105,5,-117,2,-107,3,-105,4,-105,2,-108,5,-109,3
1,-28,92,-88,35,-106,11,-112,3,-111,8,-112,3,-115,3,-119,3,-111,7,-106,13,-105,10,-114,5,-113,3,-123,4,-115,6,-116,5,-112,6,-127,2,-119,3,-113,4,-117,2,-122,5,-120,3
2,-29,97,-93,37,-121,11,-123,3,-122,9,-126,3,-123,4,-129,3,-121,7,-116,14,-113,10,-122,5,-121,3,-131,4,-122,6,-125,5,-121,6,-140,2,-132,3,-123,4,-125,3,-130,5,-135,3
3,-30,108,-102,42,-128,12,-130,3,-135,9,-139,3,-132,4,-135,3,-128,7,-127,14,-123,10,-135,5,-128,3,-140,4,-130,6,-137,5,-130,6,-150,2,-142,3,-131,4,-131,3,-142,5,-151,3
4,-30,114,-108,44,-138,13,-142,3,-143,9,-147,3,-141,4,-144,3,-137,7,-134,14,-131,10,-147,5,-137,3,-153,4,-148,6,-151,5,-140,6,-161,2,-158,3,-140,5,-138,3,-149,5,-159,3
5,-31,127,-110,45,-152,15,-153,3,-155,9,-159,3,-147,4,-155,4,-149,7,-141,14,-138,10,-157,5,-143,3,-163,4,-157,6,-158,6,-153,6,-168,2,-166,3,-153,5,-155,3,-157,5,-168,3
6,-32,132,-114,50,-164,15,-167,3,-169,9,-176,3,-157,4,-161,4,-160,7,-153,15,-142,10,-167,5,-157,3,-169,4,-164,6,-162,7,-169,6,-180,2,-173,3,-161,5,-161,3,-168,5,-180,3
7,-32,138,-118,52,-174,15,-178,3,-180,9,-186,3,-168,4,-174,4,-174,7,-159,17,-149,11,-178,5,-168,3,-176,4,-180,7,-174,8,-183,6,-192,2,-183,3,-168,5,-169,3,-173,6,-186,3
8,-36,150,-124,55,-182,15,-187,3,-187,9,-201,3,-173,4,-189,4,-183,7,-166,21,-158,12,-188,5,-182,3,-192,4,-189,7,-182,8,-191,6,-200,2,-189,3,-179,6,-174,3,-184,6,-195,3
9,-37,160,-133,60,-190,16,-201,3,-194,9,-208,3,-181,4,-197,4,-192,8,-174,22,-165,13,-196,5,-189,3,-202,4,-200,7,-196,8,-205,6,-214,2,-198,3,-190,6,-185,3,-191,6,-204,3
10,-38,171,-140,63,-199,17,-209,3,-202,13,-219,3,-193,4,-206,4,-201,9,-180,22,-176,15,-204,5,-197,3,-210,4,-214,7,-204,10,-221,6,-226,2,-210,3,-197,6,-191,3,-198,6,-213,3
11,-40,181,-149,67,-209,17,-220,3,-222,13,-225,3,-198,5,-210,4,-207,9,-186,23,-184,16,-214,5,-212,3,-221,4,-223,7,-219,10,-228,7,-233,2,-220,3,-208,6,-200,3,-208,6,-224,3
12,-41,186,-154,69,-215,17,-230,3,-232,15,-237,3,-206,5,-220,4,-214,9,-198,24,-191,16,-222,5,-222,3,-230,4,-232,7,-232,10,-237,7,-247,2,-225,3,-225,7,-211,3,-226,6,-232,3
13,-44,196,-162,70,-221,17,-237,3,-246,16,-250,3,-216,5,-229,4,-219,9,-204,25,-207,17,-230,5,-238,3,-241,4,-242,7,-238,11,-245,7,-258,2,-235,3,-233,7,-221,3,-237,6,-241,3
14,-44,212,-166,71,-229,17,-248,3,-255,17,-258,3,-226,5,-238,4,-227,9,-209,26,-212,18,-243,5,-250,3,-252,4,-250,8,-252,13,-264,7,-269,2,-246,3,-238,7,-227,3,-245,6,-253,3
15,-44,217,-176,74,-239,17,-257,3,-266,17,-268,3,-235,5,-243,4,-234,9,-218,26,-221,20,-252,5,-271,3,-261,4,-256,8,-257,13,-275,7,-280,2,-257,3,-248,7,-244,3,-261,6,-257,4
16,-46,224,-182,76,-250,17,-268,3,-277,17,-278,3,-242,5,-252,4,-242,10,-225,27,-228,20,-264,5,-284,3,-281,4,-263,8,-266,13,-283,7,-292,2,-269,4,-254,7,-252,3,-276,6,-264,4
17,-46,230,-193,78,-256,18,-277,3,-282,18,-294,3,-253,5,-263,4,-245,11,-234,27,-245,20,-274,5,-288,3,-291,4,-275,8,-273,13,-293,7,-301,2,-281,4,-267,7,-263,3,-296,6,-267,4
18,-48,240,-200,83,-266,18,-282,3,-285,18,-307,3,-260,5,-275,4,-253,11,-245,28,-253,20,-285,5,-295,3,-297,4,-288,8,-288,13,-307,8,-310,3,-289,4,-277,7,-273,3,-307,6,-279,4
19,-50,247,-203,83,-279,18,-294,3,-293,18,-315,3,-269,5,-286,4,-264,11,-256,29,-265,20,-291,5,-303,3,-307,4,-302,8,-301,13,-313,8,-323,3,-298,4,-287,7,-284,3,-321,6,-287,4
20,-51,256,-207,88,-292,18,-303,3,-303,18,-330,3,-276,5,-300,4,-268,12,-267,30,-275,20,-303,5,-311,4,-319,4,-309,8,-315,13,-318,8,-329,4,-307,4,-298,8,-300,3,-327,6,-294,4
21,-51,263,-211,90,-302,19,-310,3,-316,20,-338,4,-290,5,-310,4,-277,12,-274,31,-288,21,-312,5,-321,5,-329,4,-320,8,-326,13,-327,8,-339,4,-322,4,-308,8,-307,3,-335,6,-303,4
22,-53,269,-219,91,-312,19,-318,3,-327,20,-355,4,-301,5,-317,4,-294,13,-281,33,-292,21,-318,5,-332,5,-337,4,-335,8,-340,14,-333,8,-342,4,-331,4,-319,8,-320,3,-342,6,-317,4
23,-56,280,-227,95,-321,19,-334,3,-335,20,-364,5,-311,5,-326,4,-303,14,-289,33,-297,21,-327,5,-340,5,-351,4,-344,8,-348,14,-341,8,-351,4,-342,4,-331,8,-332,3,-355,6,-323,4
24,-57,286,-239,97,-331,19,-348,3,-341,20,-368,5,-321,5,-336,4,-314,14,-301,35,-307,21,-334,5,-348,5,-361,4,-355,11,-357,14,-351,8,-363,4,-350,4,-340,8,-345,3,-366,6,-332,4
25,-59,295,-245,99,-340,20,-354,3,-351,20,-377,5,-332,5,-348,4,-326,14,-310,35,-317,21,-343,5,-356,5,-372,4,-368,11,-367,14,-358,8,-379,4,-360,4,-351,8,-356,3,-375,6,-339,4
26,-60,302,-258,101,-347,23,-359,3,-360,20,-386,5,-341,5,-356,4,-341,14,-315,35,-327,21,-355,5,-369,5,-387,4,-376,11,-375,14,-368,8,-394,4,-368,4,-361,8,-366,3,-383,6,-349,4
27,-61,306,-263,104,-360,23,-368,3,-368,20,-392,5,-353,5,-368,4,-350,14,-331,36,-340,22,-365,5,-377,5,-393,4,-386,11,-383,14,-375,8,-412,4,-379,4,-369,8,-374,3,-392,6,-363,4
28,-63,314,-271,105,-363,23,-384,3,-376,20,-398,5,-365,5,-375,4,-362,16,-336,36,-356,22,-375,5,-389,5,-400,4,-391,11,-389,14,-389,8,-424,5,-390,4,-381,8,-387,3,-399,6,-377,4
29,-63,327,-279,109,-374,23,-390,3,-385,20,-407,5,-379,5,-385,4,-369,16,-345,37,-365,22,-383,5,-402,5,-412,4,-396,11,-400,15,-401,8,-433,6,-405,4,-389,8,-394,3,-410,6,-384,4
30,-64,336,-285,112,-379,24,-400,3,-391,20,-420,5,-388,5,-397,4,-378,17,-352,39,-374,22,-398,5,-412,5,-421,4,-405,11,-412,15,-414,8,-443,6,-415,4,-396,8,-402,3,-420,6,-398,4
31,-65,346,-292,114,-390,24,-412,3,-404,20,-431,5,-395,5,-403,4,-390,17,-361,40,-382,22,-407,5,-425,5,-428,4,-416,11,-420,15,-422,8,-447,6,-427,4,-405,8,-412,3,-432,7,-414,4
32,-65,358,-299,115,-403,24,-424,3,-409,20,-441,5,-404,6,-413,4,-396,18,-373,40,-396,22,-424,5,-434,5,-435,4,-428,11,-425,15,-435,8,-457,6,-432,5,-411,8,-417,3,-443,7,-430,4
33,-66,366,-308,117,-409,25,-434,3,-417,21,-451,5,-421,6,-421,4,-399,18,-385,41,-402,23,-436,5,-442,5,-444,4,-434,12,-438,15,-440,8,-471,6,-441,6,-419,8,-429,3,-455,7,-446,4
34,-67,376,-318,124,-418,25,-444,3,-430,21,-458,5,-430,6,-437,4,-408,18,-395,42,-408,23,-453,6,-450,5,-451,4,-440,12,-449,16,-449,8,-479,6,-450,6,-424,8,-438,3,-464,7,-458,4
35,-67,385,-324,127,-428,25,-450,3,-440,22,-464,6,-445,6,-448,4,-423,18,-399,42,-418,23,-460,6,-456,5,-464,4,-452,12,-464,16,-462,8,-487,6,-457,7,-436,8,-449,3,-474,7,-466,4
36,-68,395,-335,130,-439,26,-461,3,-451,23,-471,6,-456,6,-453,4,-431,18,-408,42,-429,23,-471,6,-465,5,-471,4,-462,12,-472,16,-471,8,-500,6,-468,7,-444,8,-462,3,-485,7,-475,4
37,-68,402,-342,135,-445,26,-471,3,-465,23,-481,6,-467,6,-467,5,-441,18,-419,44,-435,23,-479,6,-476,5,-482,4,-470,12,-480,16,-482,8,-507,6,-476,7,-455,8,-471,3,-495,7,-489,4
38,-69,415,-349,138,-455,26,-476,3,-473,23,-493,6,-476,6,-478,5,-451,18,-424,45,-444,24,-493,6,-488,5,-492,4,-481,12,-489,16,-490,8,-513,6,-488,7,-467,8,-481,3,-505,7,-500,4
39,-70,425,-357,139,-469,27,-485,3,-483,23,-501,6,-483,6,-492,6,-456,18,-435,45,-450,25,-506,6,-498,5,-499,4,-489,12,-496,17,-505,8,-523,6,-496,7,-482,8,-488,3,-517,7,-510,4
