,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-41,110,-96,35,-114,15,-98,4,-108,10,-97,3,-98,2,-99,2,-109,11,-109,11,-95,11,-111,5,-97,4,-97,5,-100,5,-97,8,-113,4,-99,2,-100,3,-95,6,-98,2,-98,3,-96,4
1,-47,157,-105,44,-117,16,-99,4,-135,12,-97,3,-100,2,-100,2,-118,13,-115,14,-104,14,-112,5,-107,4,-118,5,-120,5,-109,8,-120,4,-108,2,-101,3,-101,6,-98,2,-99,3,-98,4
2,-55,198,-127,53,-133,21,-101,4,-145,16,-99,3,-102,2,-100,2,-142,17,-127,14,-124,14,-117,5,-111,4,-125,5,-124,6,-118,8,-122,4,-108,2,-102,3,-113,6,-98,2,-99,3,-102,4
3,-58,228,-144,61,-151,22,-102,4,-173,19,-101,3,-105,2,-100,2,-148,18,-148,16,-152,19,-122,5,-112,4,-134,5,-130,6,-125,8,-126,4,-110,2,-105,3,-120,6,-101,2,-99,3,-108,4
4,-65,274,-162,72,-167,28,-107,4,-181,19,-102,3,-107,2,-101,2,-162,20,-162,17,-160,22,-122,5,-116,4,-153,5,-134,7,-136,8,-129,4,-114,2,-112,3,-129,6,-101,2,-99,3,-113,4
5,-69,307,-174,84,-178,30,-111,4,-198,19,-102,3,-110,2,-103,2,-186,23,-180,21,-169,24,-128,5,-119,4,-157,5,-153,9,-148,9,-132,4,-116,2,-119,3,-136,6,-102,2,-100,3,-115,4
6,-78,355,-193,90,-190,36,-114,4,-222,20,-106,3,-111,2,-106,2,-194,24,-192,26,-178,28,-130,6,-121,5,-164,5,-159,10,-155,9,-135,4,-120,2,-122,3,-147,6,-103,2,-102,4,-118,4
7,-81,403,-210,98,-198,38,-114,4,-248,22,-108,3,-112,2,-107,2,-214,26,-203,28,-190,30,-134,6,-131,5,-168,5,-170,11,-167,12,-137,4,-122,2,-125,3,-153,6,-104,2,-106,4,-118,4
8,-84,417,-226,107,-220,42,-121,4,-269,25,-111,4,-115,2,-109,2,-222,27,-219,34,-199,30,-141,7,-137,5,-173,5,-180,11,-197,12,-140,4,-126,2,-126,3,-163,6,-104,2,-110,4,-119,4
9,-89,444,-243,116,-226,45,-122,4,-282,27,-111,4,-119,2,-111,2,-228,28,-243,40,-220,33,-151,7,-141,5,-183,5,-195,11,-222,14,-144,4,-129,2,-128,3,-166,6,-104,2,-112,4,-119,4
10,-97,464,-269,129,-233,45,-124,4,-312,29,-114,4,-120,2,-111,2,-234,28,-267,42,-235,38,-157,7,-144,5,-184,5,-200,11,-238,15,-147,4,-132,2,-134,3,-169,6,-107,2,-125,5,-121,4
11,-110,535,-279,136,-249,48,-128,4,-316,30,-116,4,-125,2,-112,2,-243,28,-280,45,-243,40,-166,7,-148,5,-189,5,-202,13,-246,16,-153,4,-133,2,-135,3,-183,6,-108,2,-128,5,-122,4
12,-111,558,-299,149,-268,49,-134,4,-331,31,-117,4,-127,2,-112,2,-243,28,-292,50,-258,43,-179,7,-157,5,-197,5,-214,13,-260,16,-157,4,-133,2,-137,3,-195,6,-109,2,-134,5,-134,4
13,-116,576,-319,170,-287,55,-137,4,-350,31,-118,4,-128,2,-112,2,-251,29,-315,53,-274,45,-182,8,-160,5,-203,5,-225,13,-271,17,-165,4,-133,2,-139,3,-203,6,-111,2,-140,5,-136,4
14,-122,607,-341,177,-296,55,-139,4,-373,33,-120,4,-132,2,-114,2,-265,29,-329,56,-287,48,-189,8,-165,5,-209,5,-233,14,-290,18,-168,4,-136,2,-140,3,-208,6,-112,2,-147,6,-141,4
15,-125,621,-362,189,-308,57,-145,4,-382,33,-124,4,-133,2,-114,2,-279,29,-351,58,-299,50,-200,8,-170,5,-213,5,-236,16,-307,19,-179,4,-140,2,-143,3,-227,6,-112,2,-160,6,-142,4
16,-131,649,-377,198,-318,60,-158,4,-390,33,-129,4,-136,2,-115,2,-296,30,-361,61,-310,51,-210,10,-177,5,-219,5,-243,16,-331,20,-185,4,-142,2,-144,3,-234,6,-113,2,-167,6,-146,5
17,-133,669,-399,214,-324,60,-163,4,-406,34,-133,4,-138,2,-115,2,-304,30,-387,64,-323,53,-218,10,-182,5,-222,5,-245,16,-350,23,-187,4,-144,2,-145,3,-252,6,-114,2,-176,6,-156,6
18,-138,692,-443,225,-336,61,-165,4,-426,35,-136,4,-140,2,-117,2,-310,30,-400,65,-330,56,-222,10,-188,6,-228,5,-250,18,-357,23,-196,4,-147,2,-147,3,-255,6,-117,2,-186,6,-169,6
19,-140,707,-476,241,-347,61,-175,4,-436,37,-140,4,-142,2,-117,2,-323,30,-414,67,-338,58,-228,10,-198,6,-233,5,-252,19,-386,24,-203,4,-149,2,-148,3,-261,6,-121,2,-192,6,-175,6
20,-144,727,-504,253,-354,63,-185,4,-453,39,-144,4,-143,2,-118,2,-333,30,-424,70,-353,60,-231,10,-204,6,-236,5,-258,19,-423,24,-207,4,-149,2,-153,3,-266,6,-123,2,-195,6,-183,6
21,-149,747,-522,264,-358,64,-188,4,-479,41,-146,4,-145,3,-119,2,-340,32,-438,72,-361,62,-238,10,-211,6,-244,5,-264,19,-446,24,-215,4,-154,2,-154,3,-274,6,-128,2,-207,6,-192,6
22,-151,770,-552,273,-362,64,-193,4,-491,41,-149,4,-151,3,-120,2,-350,32,-454,72,-370,63,-249,10,-223,6,-246,5,-271,19,-457,26,-218,4,-156,2,-158,3,-290,6,-131,2,-221,6,-204,6
23,-153,799,-561,280,-368,66,-200,4,-517,42,-156,4,-154,3,-122,2,-356,34,-475,77,-374,64,-257,10,-234,6,-251,5,-284,19,-472,27,-223,4,-160,2,-167,3,-297,6,-131,2,-229,6,-208,6
24,-155,831,-580,284,-372,67,-204,4,-535,43,-160,4,-155,3,-123,2,-367,34,-495,79,-384,64,-264,12,-247,6,-257,5,-286,19,-497,29,-225,4,-164,2,-168,3,-316,6,-135,2,-235,6,-211,6
25,-156,854,-597,299,-380,70,-207,4,-550,45,-163,4,-158,3,-128,2,-385,34,-508,80,-395,65,-268,12,-265,6,-260,5,-303,20,-516,29,-227,4,-166,2,-170,3,-328,7,-135,2,-236,6,-217,6
26,-161,873,-613,311,-390,72,-215,4,-578,45,-172,4,-164,3,-130,2,-395,34,-523,81,-403,67,-273,12,-269,6,-265,5,-307,20,-524,29,-232,5,-166,2,-174,3,-341,7,-137,2,-240,7,-238,6
27,-163,895,-628,319,-396,72,-226,4,-593,48,-177,4,-167,3,-131,2,-401,34,-543,87,-409,67,-282,12,-280,6,-271,5,-324,21,-551,30,-236,5,-167,2,-179,3,-352,7,-139,2,-242,7,-241,7
28,-166,919,-653,334,-404,73,-233,4,-611,48,-184,4,-170,4,-133,2,-407,35,-554,88,-418,69,-287,12,-292,6,-274,5,-331,21,-581,30,-238,5,-170,2,-185,3,-359,7,-139,2,-246,7,-248,7
29,-167,936,-672,340,-414,73,-242,4,-621,48,-199,4,-177,4,-134,2,-417,36,-568,94,-433,71,-291,12,-299,7,-281,5,-337,21,-607,30,-240,5,-173,2,-188,3,-366,7,-141,2,-255,7,-258,7
30,-168,950,-681,349,-421,73,-256,4,-634,48,-206,4,-183,4,-137,2,-429,36,-592,96,-446,71,-296,12,-312,7,-286,5,-356,21,-614,30,-253,5,-176,2,-191,3,-374,8,-146,2,-259,7,-268,7
31,-170,967,-697,354,-431,73,-263,4,-644,48,-212,4,-186,4,-138,2,-438,36,-618,100,-455,73,-307,12,-328,7,-289,5,-358,21,-640,31,-257,5,-181,2,-196,3,-382,9,-150,2,-264,7,-280,7
32,-171,985,-706,362,-438,75,-267,4,-668,49,-213,4,-189,4,-140,2,-451,36,-628,102,-464,74,-318,12,-334,7,-293,5,-366,22,-662,31,-260,5,-184,2,-203,3,-403,9,-151,2,-286,7,-286,7
33,-172,1007,-720,369,-450,75,-272,4,-679,49,-221,5,-190,4,-147,2,-457,36,-651,103,-479,76,-324,12,-355,8,-295,5,-372,22,-675,31,-266,5,-185,2,-205,4,-411,9,-153,2,-293,7,-304,7
34,-175,1021,-738,376,-461,75,-276,4,-691,50,-242,5,-193,4,-147,2,-469,36,-664,104,-489,76,-341,12,-376,8,-303,5,-379,22,-688,31,-269,5,-188,2,-207,4,-418,9,-154,2,-300,7,-315,7
35,-178,1033,-762,380,-472,76,-288,4,-702,50,-251,5,-197,4,-149,2,-473,36,-671,104,-499,76,-349,12,-391,8,-310,5,-386,22,-699,31,-277,5,-199,2,-210,4,-445,9,-158,2,-308,7,-322,7
36,-181,1048,-776,383,-489,76,-305,4,-717,52,-269,5,-199,4,-150,2,-487,37,-682,104,-507,79,-353,12,-400,8,-314,5,-392,22,-708,32,-278,5,-202,2,-218,4,-461,9,-162,2,-315,8,-335,7
37,-183,1060,-783,389,-507,77,-322,4,-742,52,-275,5,-199,4,-155,2,-500,37,-699,106,-516,80,-361,12,-408,8,-316,5,-398,22,-728,32,-281,5,-207,2,-225,4,-469,9,-165,2,-327,8,-342,7
38,-184,1073,-790,396,-511,77,-331,4,-763,53,-284,5,-200,4,-158,2,-507,38,-717,107,-528,80,-373,12,-420,8,-320,5,-408,23,-742,32,-284,5,-210,2,-231,4,-495,9,-168,2,-343,8,-347,7
39,-187,1109,-803,400,-529,77,-342,4,-779,53,-289,5,-204,4,-162,2,-513,38,-741,107,-532,80,-381,12,-429,8,-326,5,-415,24,-746,32,-290,5,-213,2,-238,4,-507,9,-169,2,-357,8,-351,7
40,-189,1122,-823,405,-538,77,-349,4,-789,53,-295,5,-207,4,-166,2,-520,38,-751,108,-541,80,-392,12,-443,8,-328,5,-419,24,-774,33,-293,5,-215,2,-244,4,-517,9,-172,2,-372,8,-376,7
41,-193,1142,-826,411,-556,77,-356,4,-798,53,-299,5,-209,4,-169,2,-525,39,-762,109,-545,80,-409,13,-451,8,-341,5,-434,24,-786,33,-301,5,-222,2,-247,4,-536,9,-177,2,-381,8,-391,7
42,-195,1152,-838,416,-564,78,-365,4,-811,53,-307,5,-214,4,-172,2,-533,39,-775,109,-549,80,-424,13,-458,9,-348,5,-447,25,-799,35,-308,5,-223,3,-257,4,-548,9,-179,2,-401,8,-408,7
43,-195,1166,-853,419,-574,78,-371,4,-827,53,-311,5,-222,4,-173,2,-543,40,-788,112,-558,80,-428,13,-478,9,-357,5,-456,25,-826,35,-312,5,-225,3,-266,4,-568,9,-180,2,-405,8,-416,7
44,-197,1181,-862,422,-587,78,-390,4,-835,53,-320,5,-224,4,-176,2,-548,40,-805,113,-566,80,-437,13,-501,10,-363,5,-461,25,-850,35,-313,6,-232,3,-273,4,-578,9,-180,2,-413,8,-430,7
45,-198,1189,-885,428,-593,79,-406,4,-841,53,-329,5,-226,4,-176,2,-551,40,-821,113,-579,80,-445,13,-518,10,-375,5,-471,25,-865,35,-322,6,-232,3,-282,4,-590,9,-186,2,-422,8,-443,7
46,-200,1204,-899,430,-598,79,-413,4,-851,53,-339,5,-226,4,-183,2,-562,40,-842,115,-583,80,-456,13,-541,10,-378,5,-483,25,-876,35,-326,6,-234,3,-291,4,-616,9,-187,2,-430,8,-453,7
47,-200,1213,-911,434,-603,79,-428,4,-868,53,-350,5,-229,4,-186,2,-574,40,-854,117,-591,80,-469,13,-551,10,-385,5,-493,25,-884,35,-338,6,-242,3,-295,4,-625,9,-189,2,-447,8,-470,7
48,-201,1231,-923,438,-616,79,-438,4,-884,53,-367,5,-235,4,-191,2,-582,40,-864,117,-594,80,-476,13,-572,11,-394,5,-498,25,-897,35,-352,6,-246,3,-302,4,-631,9,-195,2,-454,8,-477,7
49,-202,1237,-930,439,-623,79,-456,4,-893,53,-376,5,-238,4,-197,2,-590,40,-879,118,-610,82,-486,13,-585,12,-401,5,-512,25,-916,35,-356,6,-251,3,-315,4,-640,9,-200,2,-465,8,-487,7
50,-202,1244,-943,441,-624,79,-466,4,-914,54,-393,5,-244,4,-201,2,-599,40,-894,118,-620,82,-497,13,-602,14,-411,5,-522,25,-926,36,-361,6,-254,3,-322,4,-642,9,-203,2,-483,8,-502,7
51,-202,1252,-959,447,-629,79,-482,4,-922,54,-401,5,-245,4,-203,2,-614,40,-905,118,-632,82,-518,13,-620,14,-413,5,-524,25,-938,36,-376,6,-259,3,-329,4,-650,9,-212,2,-492,8,-516,7
52,-203,1257,-970,450,-636,79,-504,4,-931,54,-407,5,-248,4,-205,2,-619,40,-916,119,-640,83,-526,13,-642,14,-428,5,-532,25,-956,37,-384,6,-263,3,-338,4,-660,9,-228,2,-499,8,-525,7
53,-204,1268,-974,450,-639,79,-516,4,-942,54,-417,5,-252,4,-214,2,-628,40,-931,122,-645,83,-542,14,-656,14,-432,5,-539,25,-966,37,-392,6,-269,3,-350,4,-682,10,-233,2,-507,8,-544,7
54,-206,1283,-981,453,-644,79,-530,4,-950,54,-427,5,-257,4,-217,2,-634,40,-947,123,-651,83,-546,14,-673,14,-439,5,-548,25,-976,37,-400,6,-277,4,-354,4,-704,11,-236,2,-522,8,-564,7
55,-206,1289,-992,455,-646,80,-547,4,-961,54,-445,5,-262,4,-225,2,-639,41,-954,124,-654,83,-566,14,-695,14,-443,5,-554,25,-983,37,-413,6,-282,4,-365,4,-717,11,-237,2,-540,9,-575,7
56,-206,1296,-1001,456,-651,80,-562,4,-967,54,-460,5,-264,4,-235,2,-647,41,-967,126,-657,83,-574,14,-712,14,-450,5,-565,26,-998,37,-430,6,-285,4,-380,4,-733,11,-241,2,-549,9,-586,7
57,-206,1301,-1008,458,-658,81,-584,4,-977,54,-480,5,-273,4,-243,2,-651,41,-980,127,-662,83,-583,14,-726,14,-456,5,-574,26,-1003,38,-436,6,-294,5,-388,4,-750,11,-243,2,-561,9,-603,7
58,-206,1309,-1016,459,-672,81,-589,4,-990,54,-488,5,-281,4,-249,2,-657,41,-986,127,-670,86,-591,15,-744,14,-463,5,-586,26,-1012,39,-445,6,-297,5,-409,4,-769,11,-250,2,-577,9,-608,7
59,-206,1316,-1027,461,-683,81,-601,4,-1002,54,-501,6,-285,4,-253,2,-663,41,-1005,129,-673,86,-602,15,-761,14,-471,5,-592,26,-1020,39,-451,6,-299,5,-419,5,-777,11,-259,2,-594,9,-628,7
60,-206,1320,-1027,461,-693,82,-615,4,-1014,54,-521,9,-296,4,-259,2,-674,42,-1016,129,-675,86,-615,15,-776,14,-477,5,-599,26,-1027,39,-457,6,-307,5,-432,5,-798,11,-263,2,-602,9,-644,7
61,-207,1325,-1031,465,-702,82,-623,4,-1020,54,-549,10,-301,4,-261,2,-683,42,-1027,130,-679,86,-625,15,-786,14,-479,5,-612,26,-1039,40,-468,6,-310,5,-446,6,-812,12,-275,2,-615,9,-659,7
62,-207,1330,-1038,467,-708,82,-639,4,-1032,54,-568,10,-304,4,-268,2,-701,42,-1031,130,-684,86,-641,15,-806,14,-483,5,-620,26,-1047,41,-473,6,-314,5,-454,6,-832,12,-283,2,-622,9,-676,7
63,-208,1341,-1041,468,-715,82,-651,4,-1043,54,-573,10,-309,4,-279,2,-715,42,-1046,130,-689,86,-650,15,-813,14,-493,5,-631,26,-1057,41,-485,6,-320,5,-462,7,-840,12,-289,2,-636,9,-702,8
64,-208,1350,-1052,472,-725,82,-660,4,-1055,54,-582,10,-314,4,-286,2,-727,42,-1052,130,-696,86,-663,15,-822,14,-500,5,-646,26,-1072,41,-488,6,-323,5,-477,8,-851,13,-294,2,-654,9,-715,8
65,-209,1361,-1055,472,-729,82,-682,4,-1066,55,-589,10,-324,4,-289,2,-737,42,-1063,130,-701,86,-679,15,-833,14,-507,5,-661,26,-1082,42,-500,7,-326,5,-489,8,-864,13,-299,2,-664,9,-730,8
66,-209,1368,-1061,474,-732,82,-711,4,-1068,55,-604,10,-331,4,-299,2,-740,42,-1072,131,-711,86,-688,15,-846,14,-514,5,-667,26,-1096,42,-505,7,-335,5,-504,8,-882,13,-314,2,-671,9,-738,8
67,-210,1374,-1070,474,-742,82,-719,4,-1081,55,-616,10,-341,4,-306,2,-745,42,-1083,133,-716,86,-700,15,-864,14,-521,5,-673,26,-1102,42,-513,7,-337,5,-531,8,-896,13,-325,2,-679,9,-750,8
68,-210,1378,-1077,475,-747,83,-740,4,-1084,55,-627,10,-354,4,-310,2,-756,42,-1092,133,-728,86,-706,15,-880,14,-527,5,-681,26,-1113,42,-521,7,-341,5,-548,8,-900,14,-335,2,-702,9,-764,8
69,-210,1384,-1083,475,-754,83,-749,4,-1091,55,-645,10,-357,4,-315,2,-766,42,-1097,133,-740,86,-712,15,-900,15,-535,5,-688,26,-1122,42,-527,7,-358,6,-555,8,-921,15,-345,2,-714,9,-780,8
70,-210,1398,-1086,477,-757,83,-762,4,-1097,55,-657,10,-360,4,-319,2,-779,42,-1105,134,-747,86,-722,16,-919,15,-543,5,-705,26,-1130,42,-541,8,-363,7,-564,8,-936,15,-350,2,-722,9,-800,8
