STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-111.768115942029,10.454106280193239,-109.29468599033818,12.927536231884057,-108.47826086956522,13.79227053140097,-109.85507246376811,12.415458937198068
-122.0289855072464,11.304347826086957,-116.8599033816425,16.473429951690825,-115.07246376811595,18.357487922705314,-118.51690821256038,14.913043478260873
-132.45893719806762,11.985507246376812,-124.91787439613528,19.526570048309182,-122.18357487922704,22.405797101449274,-127.2463768115942,17.342995169082126
-142.83574879227055,12.719806763285026,-132.81642512077292,22.73913043478261,-129.71014492753625,26.038647342995166,-136.25120772946858,19.4975845410628
-153.20289855072463,13.463768115942033,-140.59420289855072,26.072463768115934,-137.22222222222223,29.685990338164242,-145.16425120772945,21.743961352657003
-163.4782608695652,14.299516908212556,-148.09661835748796,29.681159420289852,-145.14975845410626,32.917874396135275,-154.0289855072464,24.038647342995166
-173.8599033816425,15.028985507246373,-155.80193236714976,33.08695652173913,-153.29951690821255,35.927536231884055,-163.0096618357488,26.21739130434782
-184.23188405797097,15.768115942028984,-163.8405797101449,36.15942028985508,-161.43961352657004,38.94685990338164,-172.00483091787447,28.381642512077295
-194.59903381642513,16.512077294685987,-172.11594202898553,38.995169082125614,-169.59420289855075,41.95169082125603,-180.85990338164248,30.685990338164242
-205.00483091787441,17.217391304347824,-180.3574879227053,41.86473429951691,-177.97584541062798,44.72946859903381,-189.75845410628023,32.94685990338164
-215.30434782608697,18.02898550724638,-188.85507246376818,44.478260869565226,-186.5990338164251,47.2657004830918,-198.67149758454107,35.19323671497584
-225.64734299516908,18.79710144927536,-196.89855072463766,47.54589371980675,-195.1594202898551,49.8647342995169,-207.3671497584541,37.65700483091788
-236.05797101449278,19.497584541062803,-205.42028985507244,50.13526570048308,-203.74879227053142,52.43478260869565,-216.2318840579711,39.95169082125604
-246.57004830917876,20.096618357487927,-214.10628019323676,52.56038647342994,-212.60869565217382,54.734299516908216,-225.32367149758457,42.01932367149759
-256.8599033816425,20.917874396135268,-222.76328502415458,55.014492753623166,-221.47826086956525,57.024154589371996,-234.25120772946866,44.251207729468604
-267.2367149758454,21.65217391304348,-231.44927536231882,57.439613526570035,-230.1932367149758,59.46859903381644,-243.15458937198073,46.50724637681161
-277.58937198067633,22.41062801932367,-239.7342995169083,60.26570048309175,-239.00966183574877,61.81159420289856,-252.06763285024155,48.75362318840578
-287.8260869565217,23.285024154589372,-248.48792270531393,62.62318840579711,-248.12560386473433,63.85507246376811,-260.96618357487927,51.01449275362317
-298.22222222222223,24.000000000000004,-257.0338164251208,65.18840579710145,-257.1642512077294,65.97584541062803,-269.84057971014494,53.29951690821256
-308.6908212560386,24.64251207729469,-265.80676328502415,67.52657004830918,-266.0917874396135,68.20772946859906,-278.6859903381643,55.61352657004831
-319.03381642512073,25.410628019323667,-274.6618357487923,69.78260869565219,-275.0531400966184,70.40579710144928,-287.5700483091787,57.888888888888864
-329.4589371980676,26.09661835748792,-283.56038647343,71.9951690821256,-284.09661835748796,72.52173913043478,-296.47342995169083,60.1449275362319
-339.8405797101449,26.826086956521745,-292.80676328502415,73.8599033816425,-293.2753623188406,74.5024154589372,-305.42028985507255,62.3574879227053
-350.2850241545893,27.492753623188406,-302.24154589371983,75.53623188405798,-302.43478260869574,76.50241545893718,-314.20772946859904,64.7294685990338
-360.69565217391295,28.193236714975843,-311.42995169082127,77.45893719806763,-311.5990338164251,78.4975845410628,-322.9227053140097,67.17391304347824
-371.0724637681158,28.927536231884055,-320.82125603864733,79.17874396135264,-320.73429951690815,80.52173913043477,-331.72463768115944,69.53140096618354
-381.4057971014492,29.70531400966183,-330.27053140096615,80.84057971014492,-329.9855072463768,82.42995169082126,-340.61352657004835,71.80193236714975
-391.8212560386474,30.400966183574877,-339.56038647343,82.66183574879224,-339.2125603864734,84.36231884057973,-349.53623188405805,74.03864734299516
-402.17391304347825,31.159420289855067,-348.99999999999994,84.33333333333331,-348.44444444444446,86.28985507246378,-358.4251207729469,76.30917874396133
-412.5314009661836,31.91304347826087,-358.5990338164251,85.84541062801932,-357.74879227053134,88.14492753623189,-367.3526570048309,78.54106280193234
-422.9951690821256,32.56038647342996,-368.5942028985508,86.96135265700482,-366.9178743961352,90.1352657004831,-376.31400966183577,80.7391304347826
-433.34299516908214,33.323671497584556,-378.30434782608694,88.36231884057972,-376.0821256038647,92.1304347826087,-385.2512077294686,82.96135265700482
-443.76811594202906,34.00966183574879,-387.9130434782607,89.86473429951693,-385.0676328502415,94.30434782608694,-394.43961352657016,84.93236714975843
-454.1449275362318,34.743961352656996,-397.56038647342996,91.32850241545894,-394.22705314009664,96.30434782608694,-403.5458937198069,86.98550724637683
-464.51690821256045,35.48309178743962,-407.3140096618357,92.68599033816427,-403.487922705314,98.2028985507246,-412.7101449275362,88.98067632850243
-474.888888888889,36.22222222222223,-417.3719806763285,93.73913043478261,-412.6521739130434,100.19806763285023,-421.71980676328496,91.1304347826087
-485.16425120772954,37.05797101449275,-427.21739130434776,95.0048309178744,-421.82125603864733,102.18840579710141,-430.7246376811594,93.28502415458938
-495.6183574879227,37.71497584541063,-437.246376811594,96.08695652173913,-430.9951690821257,104.17391304347827,-439.6570048309178,95.512077294686
-506.02415458937213,38.42028985507247,-447.2995169082125,97.14492753623189,-440.3816425120772,105.94685990338166,-448.58454106280186,97.74396135265704
-516.4251207729468,39.130434782608695,-457.2560386473429,98.29951690821255,-449.64734299516914,107.84057971014498,-457.4830917874398,100.0048309178744
-526.8067632850241,39.85990338164252,-467.4734299516907,99.19323671497584,-458.99999999999983,109.6473429951691,-466.60869565217365,102.03864734299518
-537.1400966183575,40.63768115942029,-477.50724637681157,100.2705314009662,-468.37198067632846,111.43478260869563,-475.51207729468615,104.29468599033817
-547.4444444444443,41.44444444444444,-487.60869565217394,101.28019323671495,-477.86473429951684,113.1014492753623,-484.57971014492756,106.38647342995174
-557.9275362318841,42.07246376811594,-497.8212560386473,102.17874396135268,-487.3961352657004,114.72946859903378,-493.49275362318843,108.63285024154592
-568.304347826087,42.80676328502416,-508.01449275362313,103.0966183574879,-497.0531400966182,116.23188405797102,-502.50241545893726,110.78260869565216
-578.5893719806763,43.63285024154589,-518.207729468599,104.01449275362317,-506.6038647342996,117.84057971014491,-512.0434782608695,112.40096618357488
-588.87922705314,44.45410628019323,-528.4734299516908,104.85990338164254,-516.1545893719806,119.44927536231884,-521.5652173913043,114.03864734299522
-599.1884057971015,45.256038647343,-538.8985507246376,105.54589371980678,-525.6231884057971,121.1400966183575,-531.2657004830917,115.49758454106282
-609.5700483091787,45.985507246376805,-549.2125603864735,106.34299516908216,-535.256038647343,122.66666666666667,-541.3188405797104,116.60386473429953
-619.9371980676327,46.72946859903381,-559.4541062801931,107.21256038647344,-544.5555555555555,124.52657004830917,-551.5797101449276,117.50241545893721
-630.2801932367149,47.4975845410628,-569.8260869565219,107.951690821256,-554.3768115942029,125.86473429951684,-562.1642512077294,118.07729468599038
-640.7342995169083,48.15458937198067,-580.2898550724639,108.5990338164251,-564.2995169082125,127.10144927536234,-572.9468599033817,118.45410628019327
-651.2125603864735,48.78743961352656,-590.8599033816425,109.14009661835746,-574.5797101449276,127.98067632850243,-583.7342995169081,118.82608695652178
-661.5362318840579,49.57487922705313,-601.3574879227052,109.75362318840578,-585.1787439613527,128.54106280193236,-594.5265700483092,119.19323671497588
-671.9082125603865,50.31400966183573,-611.7777777777777,110.44444444444443,-596.0917874396135,128.78743961352657,-605.328502415459,119.55072463768117
-682.2705314009662,51.06280193236714,-622.2657004830918,111.06763285024154,-607.1159420289855,128.92270531400965,-616.169082125604,119.86956521739133
-692.7053140096618,51.7391304347826,-632.9613526570049,111.4830917874396,-618.1594202898552,129.03864734299515,-626.8888888888889,120.30917874396134
-703.2705314009663,52.28502415458938,-643.5797101449276,111.97584541062804,-629.207729468599,129.14975845410626,-637.7149758454109,120.64251207729465
-713.7681159420289,52.898550724637694,-654.1400966183576,112.52657004830917,-640.2512077294685,129.2657004830918,-648.4541062801932,121.06280193236717
-724.1739130434783,53.603864734299506,-664.7053140096617,113.07246376811591,-651.2705314009661,129.4057971014493,-659.2463768115942,121.42995169082127
-734.5652173913044,54.32367149758455,-675.3816425120773,113.50724637681155,-662.2946859903382,129.54106280193236,-670.0386473429952,121.79710144927535
