,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-68,6,-62,16,-64,13,-76,2,-69,4,-68,3,-90,7,-70,8,-63,11,-72,6,-60,16,-70,3,-66,5,-69,2,-65,5,-67,4,-69,2,-70,2,-69,3
1,-77,8,-65,22,-79,15,-81,2,-70,4,-69,3,-101,7,-80,9,-67,12,-72,9,-68,22,-72,3,-66,5,-69,2,-68,5,-69,4,-69,2,-70,2,-69,3
2,-82,8,-73,26,-81,16,-86,2,-78,4,-69,3,-105,8,-86,9,-76,14,-78,10,-81,25,-73,4,-71,5,-69,2,-70,5,-71,5,-72,2,-70,2,-71,3
3,-85,8,-76,30,-85,17,-90,2,-85,5,-71,3,-108,8,-96,9,-78,16,-87,12,-86,31,-77,5,-72,6,-72,2,-75,5,-74,5,-77,2,-72,2,-73,3
4,-90,8,-81,32,-92,17,-97,2,-90,5,-73,4,-124,10,-99,9,-81,19,-91,13,-92,34,-83,6,-76,7,-73,2,-77,5,-75,5,-79,2,-73,2,-74,3
5,-96,8,-93,38,-94,19,-102,2,-94,5,-73,4,-133,10,-104,10,-88,21,-98,15,-96,39,-86,6,-77,7,-75,2,-80,5,-77,5,-81,2,-73,2,-77,3
6,-97,9,-103,41,-101,19,-114,2,-97,6,-74,5,-141,11,-108,13,-91,23,-101,17,-100,42,-89,6,-78,9,-77,2,-85,7,-78,5,-81,2,-74,2,-81,4
7,-110,9,-107,45,-110,21,-116,2,-104,6,-75,5,-143,11,-110,13,-93,23,-101,17,-111,47,-97,6,-81,9,-78,2,-91,7,-80,6,-83,2,-76,2,-86,5
8,-111,9,-112,46,-112,21,-123,3,-110,6,-79,5,-146,12,-115,13,-102,24,-104,19,-119,48,-101,6,-84,10,-80,2,-99,8,-82,6,-89,2,-78,2,-91,6
9,-113,9,-123,47,-122,22,-127,3,-110,6,-80,5,-151,13,-120,13,-105,27,-106,19,-144,53,-101,7,-86,10,-80,3,-99,8,-85,6,-94,2,-78,2,-93,8
10,-121,9,-131,47,-126,22,-133,3,-113,6,-80,5,-158,13,-129,14,-108,28,-113,19,-155,53,-104,7,-91,10,-82,4,-102,9,-87,7,-97,2,-80,2,-97,8
11,-125,9,-137,51,-133,22,-148,3,-113,6,-81,5,-163,14,-135,15,-110,29,-116,19,-166,58,-113,7,-91,10,-84,4,-103,9,-89,7,-103,2,-82,2,-98,8
12,-133,9,-140,52,-143,23,-150,3,-117,6,-86,5,-169,14,-144,15,-114,29,-116,20,-175,58,-116,7,-93,12,-85,4,-110,11,-90,7,-105,2,-82,2,-109,9
13,-141,10,-146,53,-147,23,-153,3,-117,6,-86,5,-178,14,-152,16,-116,29,-121,20,-179,60,-126,8,-97,12,-88,4,-121,13,-90,8,-105,2,-85,2,-115,9
14,-145,10,-157,55,-160,23,-156,3,-117,6,-87,5,-182,14,-168,17,-120,29,-125,22,-193,63,-127,8,-98,12,-90,4,-124,13,-90,8,-106,2,-86,2,-119,9
15,-151,10,-164,57,-172,24,-161,3,-121,6,-88,5,-189,15,-174,17,-126,32,-127,22,-200,63,-130,9,-102,12,-91,4,-128,13,-91,8,-111,2,-86,2,-125,9
16,-157,10,-167,57,-183,25,-165,3,-123,6,-89,5,-198,15,-183,17,-137,34,-127,23,-214,64,-134,9,-103,12,-91,4,-133,13,-96,8,-112,2,-86,2,-129,9
17,-162,10,-167,57,-192,25,-165,3,-126,6,-89,5,-206,15,-196,17,-141,34,-129,23,-221,67,-137,10,-114,13,-94,4,-143,13,-98,8,-115,2,-86,2,-135,10
18,-166,10,-169,59,-198,26,-174,3,-128,6,-91,5,-209,15,-205,18,-161,36,-134,25,-228,69,-141,10,-114,14,-95,4,-145,14,-99,8,-116,2,-88,2,-138,10
19,-171,11,-170,61,-203,27,-180,3,-128,6,-92,5,-214,16,-216,19,-173,36,-136,25,-238,71,-149,10,-116,14,-95,4,-147,14,-100,9,-119,2,-90,2,-147,11
20,-180,12,-174,62,-208,27,-184,3,-129,6,-93,5,-223,16,-224,20,-181,37,-138,26,-248,71,-150,10,-119,14,-97,4,-151,15,-107,9,-123,2,-92,2,-152,11
21,-191,12,-178,62,-215,28,-185,3,-130,6,-94,5,-225,16,-238,21,-190,37,-142,27,-248,71,-152,10,-123,14,-99,4,-164,16,-111,9,-127,2,-98,2,-154,11
22,-195,12,-183,62,-227,30,-190,3,-131,6,-94,5,-227,18,-245,24,-196,37,-145,27,-258,71,-160,10,-125,14,-104,4,-168,17,-117,9,-129,2,-98,2,-159,11
23,-203,12,-188,63,-239,31,-194,3,-135,6,-95,5,-235,18,-252,24,-197,37,-149,27,-269,71,-164,10,-126,14,-104,4,-175,17,-122,9,-133,2,-100,2,-164,11
24,-208,12,-194,63,-245,31,-197,3,-137,6,-99,5,-235,20,-269,24,-203,38,-153,27,-279,72,-168,12,-130,14,-105,4,-182,17,-124,9,-135,2,-101,2,-169,11
25,-210,12,-196,63,-253,32,-198,3,-140,6,-99,5,-241,21,-278,24,-210,39,-163,28,-284,72,-173,13,-134,15,-108,4,-192,18,-125,9,-140,2,-104,2,-173,11
26,-214,12,-199,63,-258,32,-199,3,-152,6,-99,5,-247,21,-293,25,-216,40,-174,30,-289,73,-180,13,-136,15,-109,4,-198,18,-127,9,-141,2,-105,2,-174,12
27,-219,12,-204,63,-262,32,-205,3,-155,6,-100,5,-251,23,-296,25,-231,41,-182,31,-289,73,-186,15,-142,17,-110,4,-205,19,-129,9,-142,2,-106,2,-181,13
28,-222,12,-211,63,-267,32,-208,3,-160,6,-108,6,-254,23,-304,26,-241,41,-186,31,-297,74,-192,15,-144,17,-111,4,-215,19,-132,9,-145,2,-106,2,-184,13
29,-231,12,-214,63,-276,33,-210,3,-163,6,-109,6,-256,23,-308,27,-243,42,-196,31,-306,75,-195,15,-151,18,-113,4,-222,19,-132,9,-150,2,-107,2,-195,13
30,-239,12,-220,63,-280,34,-211,3,-170,6,-110,7,-258,23,-313,27,-246,42,-202,32,-311,75,-205,15,-157,18,-116,4,-232,19,-133,9,-153,2,-108,2,-203,15
