STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-70.14393125671322,5.835660580021482,-69.50912996777657,6.470461868958108,-67.88936627282492,8.090225563909774,-70.05370569280345,5.925886143931257
-74.93233082706769,6.047261009667025,-73.64339419978518,7.3361976369495165,-70.7314715359828,10.24812030075188,-74.73899033297529,6.240601503759399
-79.7218045112782,6.257787325456498,-77.75939849624058,8.22019334049409,-73.97529538131042,12.004296455424274,-79.43394199785178,6.5456498388829205
-84.49731471535983,6.482277121374865,-81.91084854994628,9.0687432867884,-77.39097744360903,13.588614393125672,-84.10848549946296,6.87110633727175
-89.23737916219117,6.742212674543503,-86.10204081632655,9.877551020408161,-81.0998925886144,14.879699248120302,-88.77658431793769,7.203007518796992
-93.99785177228786,6.9817400644468295,-90.31149301825994,10.668098818474757,-85.01503759398499,15.964554242749731,-93.42534908700321,7.554242749731473
-98.7529538131042,7.226638023630506,-94.55853920515574,11.421052631578949,-89.02900107411386,16.950590762620834,-98.10741138560688,7.872180451127821
-103.55209452201935,7.42749731471536,-98.8549946294307,12.124597207303976,-93.20085929108484,17.778732545649838,-102.73684210526316,8.242749731471537
-108.31041890440386,7.669172932330827,-103.1858216970999,12.793770139634802,-97.53490870032219,18.444683136412458,-107.38882921589689,8.590762620837811
-113.09667024704619,7.882921589688505,-107.5048335123523,13.474758324382382,-101.9033297529538,19.076262083780875,-112.05585392051559,8.92373791621912
-117.85929108485499,8.120300751879697,-111.88077336197637,14.098818474758327,-106.3157894736842,19.66380236305049,-116.75510204081628,9.224489795918368
-122.6326530612245,8.346938775510202,-116.2878625134264,14.69172932330827,-110.78410311493019,20.195488721804512,-121.42749731471535,9.552094522019335
-127.38882921589689,8.590762620837808,-120.72824919441463,15.251342642320086,-115.296455424275,20.68313641245972,-126.11493018259937,9.864661654135341
-132.1621911922664,8.817400644468313,-125.22234156820626,15.757250268528463,-119.8270676691729,21.152524167561758,-130.7561761546724,10.2234156820623
-136.93770139634802,9.04189044038668,-129.73684210526315,16.242749731471537,-124.4092373791622,21.570354457572506,-135.44468313641244,10.534908700322232
-141.70354457572503,9.276047261009667,-134.27067669172934,16.70891514500537,-128.98174006444685,21.997851772287866,-140.1063372717508,10.873254564983888
-146.49301825993552,9.48657357679914,-138.8399570354458,17.139634801288935,-133.58646616541353,22.393125671321158,-144.79162191192268,11.187969924812029
-151.2481203007519,9.731471535982815,-143.40279269602578,17.576799140708918,-138.2545649838883,22.725026852846405,-149.4500537056928,11.529538131041889
-156.0,9.979591836734693,-148.0139634801289,17.965628356605794,-142.92696025778733,23.052631578947366,-154.11493018259935,11.864661654135341
-160.76799140708917,10.211600429645541,-152.66165413533835,18.31793770139635,-147.64446831364123,23.335123523093447,-158.77765843179372,12.201933404940922
-165.49946294307193,10.480128893662727,-157.26638023630505,18.713211600429645,-152.374865735768,23.6047261009667,-163.46616541353382,12.51342642320086
-170.27175080558538,10.707841031149302,-161.93018259935553,19.04940923737916,-157.16648764769067,23.813104189044036,-168.15789473684208,12.82169709989259
-175.03866809881848,10.940923737916217,-166.62083780880775,19.35875402792696,-161.93018259935553,24.049409237379162,-172.81954887218043,13.160042964554245
-179.83673469387756,11.142857142857144,-171.3168635875403,19.662728249194416,-166.73039742212674,24.249194414607945,-177.50268528464017,13.476906552094524
-184.5832438238453,11.39634801288937,-176.0322234156821,19.94736842105263,-171.55316863587538,24.426423200859286,-182.1374865735768,13.842105263157896
-189.35230934479057,11.627282491944143,-180.73791621911923,20.241675617615464,-176.41783029001073,24.56176154672395,-186.80128893662723,14.178302900107417
-194.11170784103112,11.867883995703544,-185.48657357679915,20.493018259935553,-181.28356605800212,24.696025778732547,-191.46938775510205,14.510204081632654
-198.89044038668098,12.089151450053707,-190.2438238453276,20.73576799140709,-186.14500537056927,24.834586466165415,-196.10848549946294,14.871106337271753
-203.67776584317934,12.301825993555315,-194.97422126745434,21.005370569280345,-191.01181525241677,24.96777658431793,-200.76799140708917,15.211600429645545
-208.44683136412462,12.532760472610098,-199.72073039742213,21.25886143931257,-195.86466165413535,25.114930182599355,-205.45005370569282,15.529538131041889
-213.203007518797,12.7765843179377,-204.47583243823848,21.503759398496243,-200.71428571428572,25.265306122448976,-210.09774436090223,15.881847475832439
-218.0053705692803,12.97422126745435,-209.24167561761547,21.737916219119235,-205.58861439312568,25.39097744360902,-214.77228786251345,16.207303974221272
