STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-106.6547619047619,2.0952380952380953,-106.10317460317461,2.6468253968253967,-105.93650793650794,2.8154761904761907,-106.54761904761905,2.2043650793650795
-109.125,2.125,-108.2579365079365,2.992063492063492,-107.96428571428571,3.2896825396825395,-108.89087301587301,2.363095238095238
-111.5813492063492,2.1686507936507935,-110.48412698412699,3.265873015873016,-110.21428571428571,3.5416666666666665,-111.26587301587301,2.490079365079365
-114.04761904761905,2.2023809523809526,-112.73015873015873,3.5198412698412698,-112.49404761904762,3.763888888888889,-113.63492063492063,2.623015873015873
-116.52182539682539,2.2281746031746033,-115.08333333333333,3.6666666666666665,-114.84126984126983,3.9186507936507935,-115.98611111111111,2.7738095238095237
-118.99603174603175,2.253968253968254,-117.44642857142857,3.8035714285714284,-117.23015873015873,4.031746031746032,-118.36111111111111,2.9007936507936507
-121.46428571428571,2.2857142857142856,-119.80952380952381,3.9404761904761907,-119.60912698412699,4.154761904761905,-120.72817460317461,3.0357142857142856
-123.9186507936508,2.3313492063492065,-122.2202380952381,4.029761904761905,-122.01388888888889,4.251984126984127,-123.08333333333333,3.1825396825396823
-126.36111111111111,2.388888888888889,-124.62301587301587,4.126984126984127,-124.45039682539682,4.317460317460317,-125.4702380952381,3.2976190476190474
-128.81150793650792,2.4384920634920637,-127.04960317460318,4.200396825396825,-126.88690476190476,4.382936507936508,-127.88492063492063,3.384920634920635
-131.26984126984127,2.4801587301587302,-129.46825396825398,4.281746031746032,-129.31944444444446,4.4523809523809526,-130.2956349206349,3.4761904761904763
-133.73611111111111,2.513888888888889,-131.9126984126984,4.337301587301587,-131.765873015873,4.507936507936508,-132.71031746031747,3.5634920634920637
-136.20833333333334,2.5416666666666665,-134.33333333333334,4.416666666666667,-134.22420634920636,4.551587301587301,-135.11507936507937,3.6607142857142856
-138.66865079365078,2.5813492063492065,-136.75992063492063,4.490079365079365,-136.6706349206349,4.607142857142857,-137.52380952380952,3.753968253968254
-141.140873015873,2.609126984126984,-139.2123015873016,4.537698412698413,-139.13095238095238,4.648809523809524,-139.9484126984127,3.8313492063492065
-143.61111111111111,2.638888888888889,-141.68055555555554,4.569444444444445,-141.59126984126985,4.690476190476191,-142.37698412698413,3.9047619047619047
-146.07738095238096,2.6726190476190474,-144.14285714285714,4.607142857142857,-144.0595238095238,4.724206349206349,-144.81746031746033,3.9662698412698414
-148.54365079365078,2.7063492063492065,-146.61111111111111,4.638888888888889,-146.5297619047619,4.755952380952381,-147.24801587301587,4.037698412698413
-150.99801587301587,2.751984126984127,-149.08333333333334,4.666666666666667,-148.99404761904762,4.7936507936507935,-149.6984126984127,4.089285714285714
-153.45634920634922,2.7936507936507935,-151.54761904761904,4.7023809523809526,-151.46825396825398,4.821428571428571,-152.15277777777777,4.136904761904762
-155.9265873015873,2.8234126984126986,-154.02579365079364,4.724206349206349,-153.9484126984127,4.843253968253968,-154.609126984127,4.182539682539683
-158.375,2.875,-156.50992063492063,4.740079365079365,-156.43253968253967,4.861111111111111,-157.05753968253967,4.236111111111111
-160.83333333333334,2.9166666666666665,-158.984126984127,4.765873015873016,-158.91865079365078,4.876984126984127,-159.50992063492063,4.285714285714286
-163.29365079365078,2.9563492063492065,-161.46031746031747,4.7896825396825395,-161.40079365079364,4.896825396825397,-161.9702380952381,4.3273809523809526
-165.7579365079365,2.992063492063492,-163.94444444444446,4.805555555555555,-163.88690476190476,4.912698412698413,-164.43849206349208,4.361111111111111
-168.22619047619048,3.0238095238095237,-166.42261904761904,4.8273809523809526,-166.35714285714286,4.944444444444445,-166.90873015873015,4.392857142857143
-170.6706349206349,3.0793650793650795,-168.91071428571428,4.839285714285714,-168.84126984126985,4.962301587301587,-169.38095238095238,4.4226190476190474
-173.125,3.125,-171.39484126984127,4.85515873015873,-171.33134920634922,4.974206349206349,-171.84325396825398,4.462301587301587
-175.57539682539684,3.1746031746031744,-173.875,4.875,-173.81944444444446,4.988095238095238,-174.3095238095238,4.498015873015873
-178.03571428571428,3.2142857142857144,-176.35714285714286,4.892857142857143,-176.30555555555554,5.003968253968254,-176.78174603174602,4.527777777777778
-180.49801587301587,3.251984126984127,-178.84722222222223,4.902777777777778,-178.79960317460316,5.011904761904762,-179.24801587301587,4.563492063492063
-182.96626984126985,3.2837301587301586,-181.3293650793651,4.920634920634921,-181.29166666666666,5.021825396825397,-181.72420634920636,4.589285714285714
-185.41865079365078,3.3313492063492065,-183.8095238095238,4.940476190476191,-183.78571428571428,5.029761904761905,-184.18650793650792,4.628968253968254
-187.86507936507937,3.384920634920635,-186.2876984126984,4.962301587301587,-186.2797619047619,5.037698412698413,-186.6626984126984,4.654761904761905
-190.33134920634922,3.4186507936507935,-188.77777777777777,4.972222222222222,-188.75992063492063,5.059523809523809,-189.13690476190476,4.682539682539683
-192.80753968253967,3.4424603174603177,-191.26785714285714,4.982142857142857,-191.25,5.071428571428571,-191.609126984127,4.712301587301587
-195.2579365079365,3.492063492063492,-193.75,5.0,-193.74404761904762,5.079365079365079,-194.08928571428572,4.734126984126984
-197.71031746031747,3.5396825396825395,-196.23611111111111,5.013888888888889,-196.24404761904762,5.0813492063492065,-196.5595238095238,4.765873015873016
-200.18055555555554,3.5694444444444446,-198.72619047619048,5.023809523809524,-198.74007936507937,5.087301587301587,-199.0376984126984,4.7896825396825395
-202.6468253968254,3.6031746031746033,-201.22222222222223,5.027777777777778,-201.234126984127,5.095238095238095,-201.51785714285714,4.811507936507937
-205.11111111111111,3.638888888888889,-203.7123015873016,5.037698412698413,-203.73015873015873,5.101190476190476,-204.0,4.8313492063492065
-207.56349206349208,3.6865079365079363,-206.20039682539684,5.049603174603175,-206.2202380952381,5.113095238095238,-206.48611111111111,4.847222222222222
-210.02777777777777,3.7222222222222223,-208.69246031746033,5.057539682539683,-208.71031746031747,5.125,-208.95833333333334,4.876984126984127
-212.48611111111111,3.763888888888889,-211.18253968253967,5.067460317460317,-211.20039682539684,5.136904761904762,-211.43650793650792,4.900793650793651
-214.94444444444446,3.8055555555555554,-213.67857142857142,5.071428571428571,-213.6904761904762,5.148809523809524,-213.9206349206349,4.9186507936507935
-217.41071428571428,3.8392857142857144,-216.16468253968253,5.0853174603174605,-216.18650793650792,5.154761904761905,-216.4047619047619,4.936507936507937
-219.87103174603175,3.878968253968254,-218.65079365079364,5.099206349206349,-218.68253968253967,5.160714285714286,-218.88492063492063,4.958333333333333
-222.3234126984127,3.9265873015873014,-221.13888888888889,5.111111111111111,-221.17460317460316,5.170634920634921,-221.36904761904762,4.976190476190476
-224.7956349206349,3.9543650793650795,-223.6329365079365,5.117063492063492,-223.67261904761904,5.174603174603175,-223.85714285714286,4.990079365079365
-227.25198412698413,3.998015873015873,-226.125,5.125,-226.16666666666666,5.182539682539683,-226.3452380952381,5.003968253968254
-229.71825396825398,4.031746031746032,-228.62301587301587,5.126984126984127,-228.66468253968253,5.186507936507937,-228.84126984126985,5.009920634920635
-232.18055555555554,4.069444444444445,-231.11309523809524,5.136904761904762,-231.16071428571428,5.192460317460317,-231.32142857142858,5.031746031746032
-234.64880952380952,4.101190476190476,-233.60119047619048,5.148809523809524,-233.65079365079364,5.204365079365079,-233.80555555555554,5.049603174603175
-237.11904761904762,4.130952380952381,-236.09325396825398,5.156746031746032,-236.14484126984127,5.212301587301587,-236.29166666666666,5.065476190476191
-239.58333333333334,4.166666666666667,-238.58134920634922,5.1686507936507935,-238.6329365079365,5.226190476190476,-238.765873015873,5.093253968253968
-242.04166666666666,4.208333333333333,-241.0734126984127,5.176587301587301,-241.125,5.236111111111111,-241.2579365079365,5.103174603174603
-244.49801587301587,4.251984126984127,-243.5654761904762,5.184523809523809,-243.62698412698413,5.236111111111111,-243.74603174603175,5.117063492063492
-246.9484126984127,4.301587301587301,-246.05753968253967,5.192460317460317,-246.12103174603175,5.244047619047619,-246.22619047619048,5.138888888888889
-249.40873015873015,4.341269841269841,-248.54761904761904,5.2023809523809526,-248.62103174603175,5.246031746031746,-248.71428571428572,5.152777777777778
-251.87896825396825,4.371031746031746,-251.0376984126984,5.212301587301587,-251.11904761904762,5.25,-251.21428571428572,5.154761904761905
-254.3234126984127,4.426587301587301,-253.52777777777777,5.222222222222222,-253.61309523809524,5.257936507936508,-253.7043650793651,5.166666666666667
-256.7797619047619,4.470238095238095,-256.01984126984127,5.23015873015873,-256.11309523809524,5.259920634920635,-256.1984126984127,5.174603174603175
-259.24007936507934,4.509920634920635,-258.51190476190476,5.238095238095238,-258.60714285714283,5.267857142857143,-258.68849206349205,5.186507936507937
-261.69444444444446,4.555555555555555,-261.00198412698415,5.248015873015873,-261.1011904761905,5.275793650793651,-261.18055555555554,5.196428571428571
-264.1547619047619,4.595238095238095,-263.49801587301585,5.251984126984127,-263.5992063492063,5.279761904761905,-263.67261904761904,5.2063492063492065
-266.62103174603175,4.628968253968254,-265.9940476190476,5.255952380952381,-266.093253968254,5.287698412698413,-266.16468253968253,5.216269841269841
-269.08531746031747,4.6646825396825395,-268.4861111111111,5.263888888888889,-268.593253968254,5.2896825396825395,-268.65277777777777,5.23015873015873
-271.5337301587302,4.716269841269841,-270.9742063492063,5.275793650793651,-271.0952380952381,5.2896825396825395,-271.1488095238095,5.236111111111111
-273.99603174603175,4.753968253968254,-273.4662698412698,5.283730158730159,-273.5952380952381,5.291666666666667,-273.64484126984127,5.242063492063492
-276.45238095238096,4.7976190476190474,-275.9583333333333,5.291666666666667,-276.09722222222223,5.291666666666667,-276.1388888888889,5.25
-278.9107142857143,4.839285714285714,-278.4563492063492,5.2936507936507935,-278.5952380952381,5.295634920634921,-278.6309523809524,5.259920634920635
-281.36507936507934,4.884920634920635,-280.95238095238096,5.2976190476190474,-281.0912698412698,5.301587301587301,-281.1309523809524,5.261904761904762
-283.8174603174603,4.932539682539683,-283.44642857142856,5.303571428571429,-283.5892857142857,5.305555555555555,-283.62103174603175,5.273809523809524
-286.26785714285717,4.982142857142857,-285.93849206349205,5.311507936507937,-286.08531746031747,5.311507936507937,-286.1190476190476,5.277777777777778
-288.7162698412698,5.033730158730159,-288.4345238095238,5.315476190476191,-288.5813492063492,5.317460317460317,-288.60515873015873,5.2936507936507935
