,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
0,-101,6,-95,14,-79,26,-108,2,-88,17,-109,4,-112,2,-104,3,-111,2,-108,5,-107,8,-104,2,-108,3,-93,21,-104,9,-82,29,-106,2,-108,3,-98,13,-111,2,-107,2,-107,2,-99,8,-104,2
1,-110,7,-104,14,-83,29,-119,2,-94,17,-111,4,-125,2,-117,3,-117,2,-116,5,-118,9,-118,2,-117,3,-102,22,-107,10,-89,33,-115,3,-121,3,-111,13,-121,2,-115,2,-119,2,-110,8,-122,2
2,-116,8,-110,15,-89,31,-131,2,-108,18,-120,4,-136,2,-128,3,-127,2,-123,5,-124,9,-125,2,-127,3,-111,23,-116,10,-99,36,-131,3,-136,3,-118,14,-127,2,-130,2,-129,3,-118,8,-131,2
3,-123,9,-120,16,-96,34,-139,2,-113,20,-131,4,-148,2,-140,3,-137,2,-131,5,-130,10,-131,2,-143,3,-118,23,-124,10,-112,40,-144,3,-143,3,-130,16,-136,2,-138,2,-140,3,-126,8,-143,2
4,-131,10,-127,18,-107,40,-152,2,-121,22,-142,4,-160,2,-150,3,-146,2,-136,5,-138,10,-141,2,-145,3,-125,25,-135,10,-120,41,-154,3,-159,3,-134,16,-143,2,-156,2,-151,3,-135,8,-154,2
5,-138,12,-138,20,-116,42,-161,2,-129,23,-151,4,-170,3,-159,4,-156,2,-145,5,-147,12,-149,2,-153,3,-132,25,-141,11,-125,43,-162,3,-169,3,-145,18,-152,2,-168,2,-165,3,-151,9,-163,2
6,-146,12,-147,20,-121,46,-168,2,-135,24,-160,4,-185,3,-172,4,-161,2,-151,6,-153,14,-161,2,-166,3,-142,26,-153,12,-132,45,-168,3,-175,3,-158,19,-159,2,-178,2,-178,3,-165,10,-177,2
7,-157,13,-150,24,-126,49,-181,2,-145,24,-170,4,-196,3,-182,4,-167,2,-161,6,-166,15,-172,2,-173,3,-150,30,-164,13,-140,47,-176,3,-181,3,-173,19,-166,2,-196,2,-189,3,-174,10,-180,2
8,-162,15,-160,24,-135,53,-190,2,-155,24,-182,4,-207,3,-190,4,-178,2,-171,6,-173,16,-178,2,-183,3,-161,31,-172,14,-148,48,-191,3,-193,3,-183,21,-175,2,-204,2,-194,3,-183,11,-194,2
9,-168,15,-173,25,-143,54,-197,2,-167,25,-193,4,-220,3,-196,4,-184,2,-183,6,-184,16,-183,2,-196,3,-170,32,-179,15,-153,51,-199,3,-205,3,-190,23,-189,2,-210,2,-213,3,-192,12,-204,2
10,-180,16,-179,26,-149,59,-203,2,-176,25,-198,4,-233,3,-205,5,-193,2,-192,8,-191,17,-193,2,-208,3,-184,33,-187,15,-163,52,-207,3,-212,3,-199,25,-205,2,-219,2,-221,3,-207,12,-212,2
11,-185,19,-186,26,-158,62,-211,2,-189,26,-214,4,-244,3,-215,5,-200,2,-200,9,-198,18,-202,2,-215,3,-190,37,-197,15,-171,53,-224,3,-225,3,-205,26,-215,2,-229,2,-226,3,-217,12,-225,2
12,-193,19,-196,28,-163,66,-222,2,-198,26,-222,4,-253,3,-225,5,-210,2,-210,9,-209,19,-216,2,-223,3,-201,37,-206,17,-181,53,-235,3,-232,3,-212,28,-223,2,-243,2,-239,3,-226,12,-232,2
