,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
0,-96,17,-112,16,-125,54,-99,5,-91,14,-98,2,-99,2,-100,3,-99,2,-97,3,-94,9,-97,3,-100,2,-96,24,-96,10,-109,34,-99,2,-98,2,-96,12,-98,2,-106,2,-99,2,-107,5,-100,2
1,-106,20,-117,19,-171,81,-99,5,-118,22,-100,2,-100,2,-103,3,-100,2,-98,3,-95,9,-97,3,-101,4,-123,31,-101,10,-130,44,-100,2,-98,2,-101,13,-100,2,-108,2,-99,2,-121,8,-101,2
2,-135,26,-122,21,-185,99,-106,5,-140,33,-101,2,-101,2,-108,3,-101,2,-100,3,-102,9,-97,3,-104,4,-150,47,-104,10,-152,55,-101,2,-98,2,-103,14,-100,2,-121,3,-100,2,-126,9,-103,2
3,-151,28,-126,27,-211,122,-109,5,-150,42,-102,2,-102,2,-110,3,-101,2,-100,3,-109,13,-98,3,-107,4,-182,60,-115,12,-173,69,-104,2,-100,2,-115,14,-100,2,-124,3,-101,2,-133,9,-104,2
4,-163,30,-145,29,-235,140,-111,5,-166,51,-102,2,-104,2,-112,3,-102,2,-100,3,-112,15,-100,3,-108,4,-198,71,-128,15,-198,83,-105,2,-100,2,-133,17,-100,2,-125,3,-104,2,-144,10,-107,2
5,-179,36,-163,34,-253,158,-120,5,-175,63,-102,2,-106,2,-114,3,-102,2,-102,3,-134,16,-102,3,-109,4,-214,80,-133,18,-217,101,-105,2,-101,2,-143,18,-103,2,-128,3,-106,2,-150,11,-107,2
6,-209,48,-171,35,-275,179,-124,5,-195,68,-104,2,-109,2,-118,3,-103,2,-102,3,-150,19,-102,3,-109,5,-229,83,-151,18,-237,115,-107,2,-101,2,-152,18,-103,2,-131,3,-106,2,-151,11,-109,2
7,-227,50,-185,37,-329,205,-128,5,-206,76,-104,2,-109,2,-123,3,-103,2,-102,3,-158,21,-102,3,-113,6,-239,88,-158,19,-265,124,-109,2,-102,2,-156,19,-104,2,-137,3,-107,2,-153,11,-112,2
8,-254,56,-198,37,-351,220,-129,5,-228,80,-106,2,-112,2,-124,3,-103,2,-103,3,-165,22,-102,3,-116,6,-264,95,-163,20,-284,134,-110,2,-103,2,-166,22,-105,2,-137,3,-110,2,-176,12,-114,2
9,-274,60,-215,43,-377,239,-131,5,-237,85,-107,2,-114,2,-132,3,-103,2,-106,3,-172,22,-103,3,-123,6,-271,104,-182,22,-291,142,-114,3,-104,2,-186,29,-106,2,-140,3,-114,4,-182,12,-116,2
10,-289,61,-228,47,-397,256,-138,5,-258,92,-107,2,-114,2,-133,3,-103,2,-109,3,-179,24,-103,3,-126,8,-302,117,-188,22,-301,147,-119,3,-106,2,-208,36,-106,2,-147,3,-117,4,-184,12,-120,2
11,-302,66,-244,53,-416,269,-139,5,-272,98,-108,2,-118,2,-140,3,-104,2,-110,3,-187,27,-103,3,-127,9,-313,121,-193,24,-332,163,-131,3,-107,2,-219,40,-108,2,-149,3,-119,4,-198,12,-123,2
12,-311,69,-253,55,-429,286,-154,6,-288,104,-108,2,-120,2,-149,3,-105,2,-113,3,-198,32,-105,4,-133,9,-323,129,-202,27,-370,177,-132,3,-107,2,-228,42,-111,2,-151,3,-121,4,-205,12,-124,2
13,-347,78,-269,57,-443,300,-159,7,-298,111,-109,2,-122,2,-152,3,-106,2,-113,3,-217,36,-109,4,-134,9,-337,134,-212,30,-384,187,-135,3,-107,2,-234,46,-113,2,-153,3,-123,4,-216,12,-129,2
14,-369,81,-286,61,-464,323,-162,7,-331,119,-109,2,-122,2,-155,3,-109,2,-114,3,-227,38,-112,4,-135,9,-347,137,-215,30,-410,193,-138,3,-108,2,-242,50,-116,2,-158,3,-127,4,-220,13,-131,2
