STM,STM_stable,STM_stable_validation,STM_validation
0.12349999999999998,0.12349999999999998,0.12349999999999998,0.12349999999999998
0.12349999999999998,0.12349999999999998,0.123,0.12349999999999998
0.12349999999999998,0.12349999999999998,0.123,0.12349999999999998
0.12349999999999998,0.12349999999999998,0.123,0.12349999999999998
0.12349999999999998,0.12349999999999998,0.123,0.12349999999999998
0.12349999999999998,0.12349999999999998,0.123,0.12349999999999998
0.12349999999999998,0.12349999999999998,0.123,0.12349999999999998
0.123,0.123,0.123,0.12349999999999998
0.123,0.123,0.123,0.12349999999999998
0.123,0.123,0.12250000000000001,0.12349999999999998
0.123,0.123,0.12250000000000001,0.12349999999999998
0.123,0.123,0.12250000000000001,0.12250000000000001
0.123,0.123,0.12250000000000001,0.12250000000000001
0.123,0.12250000000000001,0.12250000000000001,0.12250000000000001
0.123,0.12250000000000001,0.12250000000000001,0.12250000000000001
0.123,0.122,0.12250000000000001,0.12250000000000001
0.123,0.122,0.12250000000000001,0.123
0.123,0.122,0.12250000000000001,0.123
0.123,0.12149999999999998,0.12250000000000001,0.123
0.123,0.12149999999999998,0.12250000000000001,0.123
0.123,0.12149999999999998,0.12250000000000001,0.123
0.123,0.12149999999999998,0.12250000000000001,0.12250000000000001
0.123,0.12149999999999998,0.12250000000000001,0.12250000000000001
0.123,0.12149999999999998,0.12250000000000001,0.12250000000000001
0.123,0.12149999999999998,0.12250000000000001,0.12250000000000001
0.123,0.12149999999999998,0.12250000000000001,0.12250000000000001
0.123,0.12149999999999998,0.122,0.12250000000000001
0.123,0.12149999999999998,0.122,0.12250000000000001
0.123,0.12149999999999998,0.12149999999999998,0.12250000000000001
0.123,0.12149999999999998,0.12149999999999998,0.12250000000000001
0.123,0.12149999999999998,0.12149999999999998,0.12250000000000001
0.123,0.12149999999999998,0.12149999999999998,0.12250000000000001
0.123,0.12149999999999998,0.12149999999999998,0.12250000000000001
0.123,0.12149999999999998,0.12149999999999998,0.12250000000000001
0.123,0.12149999999999998,0.12149999999999998,0.12250000000000001
0.123,0.12149999999999998,0.121,0.123
0.123,0.12149999999999998,0.121,0.12250000000000001
0.123,0.12149999999999998,0.121,0.12250000000000001
0.123,0.12149999999999998,0.121,0.12250000000000001
0.123,0.12149999999999998,0.121,0.12250000000000001
0.123,0.12149999999999998,0.121,0.12250000000000001
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.122
0.123,0.12149999999999998,0.121,0.12149999999999998
0.123,0.12149999999999998,0.121,0.12149999999999998
0.123,0.12149999999999998,0.121,0.12149999999999998
0.123,0.12149999999999998,0.121,0.121
0.123,0.12149999999999998,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.12149999999999998
0.123,0.121,0.121,0.12149999999999998
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.123,0.121,0.121,0.121
0.12250000000000001,0.121,0.121,0.121
0.12250000000000001,0.121,0.121,0.121
0.12250000000000001,0.121,0.121,0.121
0.12250000000000001,0.121,0.121,0.121
0.123,0.121,0.121,0.121
