STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-113.8425925925926,8.37962962962963,-111.7638888888889,10.458333333333334,-110.46296296296298,11.805555555555555,-113.22685185185185,9.04166666666667
-124.35185185185185,8.98148148148148,-120.26851851851853,13.064814814814811,-116.73148148148147,16.694444444444446,-122.93055555555559,10.495370370370368
-134.82407407407408,9.620370370370368,-128.37962962962965,16.06481481481481,-123.27777777777781,21.305555555555557,-132.50925925925927,12.074074074074074
-145.28240740740742,10.273148148148149,-136.1990740740741,19.35648148148148,-130.39814814814812,25.3425925925926,-142.16203703703704,13.578703703703704
-155.7314814814815,10.935185185185185,-144.24074074074076,22.425925925925924,-137.89814814814815,29.0,-151.67592592592595,15.222222222222227
-166.24074074074073,11.537037037037038,-152.34259259259258,25.435185185185194,-145.76388888888889,32.291666666666664,-161.29629629629628,16.759259259259256
-176.6527777777778,12.236111111111112,-160.48611111111114,28.40277777777779,-153.56481481481484,35.648148148148145,-170.94444444444443,18.268518518518523
-187.13888888888883,12.861111111111109,-168.42592592592592,31.57407407407408,-161.38425925925927,38.98611111111111,-180.48611111111111,19.884259259259263
-197.51851851851848,13.59259259259259,-176.91203703703704,34.199074074074076,-169.5185185185185,42.009259259259245,-189.99074074074073,21.53703703703704
-207.87962962962965,14.342592592592593,-185.35185185185185,36.870370370370374,-177.69444444444443,44.990740740740726,-199.5925925925926,23.092592592592585
-218.38425925925927,14.949074074074074,-193.74537037037032,39.58796296296297,-186.1574074074074,47.68518518518518,-209.3101851851852,24.532407407407405
-228.74074074074076,15.7037037037037,-202.43981481481478,42.00462962962963,-194.55555555555554,50.444444444444436,-218.75462962962965,26.24537037037037
-239.22685185185185,16.328703703703702,-211.07407407407405,44.481481481481495,-203.1064814814815,53.05092592592592,-228.3796296296296,27.777777777777775
-249.69907407407405,16.96759259259259,-219.78240740740742,46.88425925925927,-211.71759259259258,55.59722222222222,-237.7962962962963,29.51851851851852
-260.2175925925926,17.560185185185187,-228.69907407407405,49.0787037037037,-220.60648148148144,57.865740740740726,-247.1898148148148,31.28240740740741
-270.68981481481484,18.199074074074073,-237.6851851851851,51.20370370370372,-229.625,60.00462962962962,-256.62500000000006,33.004629629629626
-280.99537037037044,19.004629629629633,-246.77777777777774,53.22222222222223,-238.56944444444446,62.217592592592574,-266.18518518518516,34.601851851851855
-291.4305555555555,19.680555555555554,-255.84722222222226,55.26388888888889,-247.81481481481487,64.12962962962962,-275.84722222222234,36.097222222222236
-301.9305555555555,20.291666666666664,-265.0972222222223,57.12499999999999,-257.22222222222223,65.87962962962963,-285.29629629629625,37.80555555555557
-312.3703703703704,20.962962962962962,-274.35648148148147,58.976851851851855,-266.49999999999994,67.75925925925925,-294.75,39.50925925925927
-322.7175925925926,21.72685185185185,-283.85648148148147,60.58796296296296,-275.93981481481484,69.47685185185186,-304.27777777777777,41.1388888888889
-333.11111111111114,22.444444444444443,-293.21759259259255,62.33796296296297,-285.574074074074,71.00000000000001,-313.86111111111103,42.71296296296296
-343.55092592592604,23.115740740740744,-302.6527777777778,64.0138888888889,-295.17129629629625,72.56018518518519,-323.1712962962963,44.56018518518519
-354.00462962962973,23.77314814814815,-312.0833333333333,65.69444444444444,-304.87499999999994,74.01388888888889,-332.6666666666667,46.22222222222222
-364.51851851851865,24.370370370370377,-321.5416666666666,67.34722222222221,-314.73148148148147,75.31481481481482,-342.1712962962963,47.875
-374.8518518518518,25.148148148148152,-331.2407407407407,68.75925925925925,-324.48611111111114,76.71759259259261,-351.75000000000006,49.453703703703695
-385.22222222222223,25.888888888888896,-340.97222222222223,70.13888888888889,-334.30555555555554,78.05555555555556,-361.15740740740745,51.203703703703695
-395.62962962962956,26.592592592592595,-350.6481481481481,71.57407407407406,-344.1805555555556,79.33796296296298,-370.69907407407413,52.81944444444443
-406.14814814814804,27.185185185185187,-360.50000000000006,72.83333333333334,-354.1759259259259,80.49999999999999,-380.2916666666667,54.384259259259245
-416.5694444444444,27.875,-370.31481481481484,74.12962962962962,-364.06018518518516,81.77314814814814,-389.9166666666667,55.916666666666664
-427.06018518518516,28.495370370370356,-380.26851851851853,75.28703703703705,-374.162037037037,82.82870370370371,-399.4907407407407,57.49999999999999
-437.53703703703695,29.129629629629637,-390.2361111111111,76.43055555555556,-384.0601851851853,84.08796296296296,-409.0740740740741,59.074074074074055
-447.962962962963,29.81481481481482,-400.2638888888889,77.51388888888889,-394.1203703703704,85.1851851851852,-418.5138888888889,60.791666666666664
-458.35648148148147,30.53240740740741,-410.2962962962963,78.5925925925926,-404.2546296296296,86.20833333333336,-428.05092592592604,62.41203703703703
-468.7638888888889,31.236111111111114,-420.3425925925928,79.65740740740739,-414.2731481481481,87.34722222222224,-437.60648148148147,64.01388888888887
-479.1018518518519,32.00925925925926,-430.37037037037044,80.74074074074073,-424.38888888888886,88.38888888888891,-447.1064814814815,65.67129629629629
