STM,STM_stable,STM_stable_validation,STM_validation
7.453999999999999,7.324999999999998,7.398000000000001,7.345999999999999
7.183,7.062,6.682,7.379
7.057,6.905500000000001,6.5075,6.9300000000000015
7.0655,6.7465,6.411000000000001,6.899500000000001
6.7395,6.6129999999999995,6.295999999999999,6.856
6.672500000000001,6.4545,6.1659999999999995,6.5969999999999995
6.551,6.406999999999999,6.2355,6.489500000000001
6.622,6.4030000000000005,6.115499999999999,6.3975
6.4159999999999995,6.319,6.036499999999999,6.396999999999999
6.3875,6.321,5.876,6.3045
6.308999999999999,6.2095,5.8575,6.2705
6.196499999999999,6.191999999999999,5.7325,6.2585
6.292,6.124999999999999,5.7605,6.206
6.103,6.114,5.7829999999999995,6.1155
6.024,6.033500000000001,5.7695,6.0175
6.0465,6.170499999999999,5.5889999999999995,6.119000000000001
6.0895,6.069,5.649500000000001,6.204
5.9235,6.099499999999999,5.5535,6.0815
5.9535,5.943,5.539000000000001,6.078500000000001
5.941000000000001,5.946,5.464499999999999,6.1625
5.797,5.9305,5.438000000000001,5.961
5.8655,5.859,5.5085,5.976999999999999
5.821,5.803,5.545,5.8895
5.725499999999999,5.667,5.465000000000001,5.933
5.6945,5.6825,5.4585,5.877
5.61,5.752999999999999,5.4825,5.886999999999999
5.6955,5.5715,5.479,5.906499999999999
5.6594999999999995,5.579000000000001,5.432,5.816
5.645,5.593999999999999,5.497,5.869
5.621499999999999,5.5729999999999995,5.449,5.9155
5.5165,5.529999999999999,5.4319999999999995,5.778499999999999
5.5495,5.521499999999999,5.4719999999999995,5.809
5.5435,5.526,5.414499999999999,5.918
5.5875,5.5095,5.4285000000000005,5.817000000000001
5.559500000000001,5.447,5.377000000000001,5.9110000000000005
5.5520000000000005,5.4545,5.4205,5.866
5.6030000000000015,5.493,5.3885000000000005,5.881000000000001
5.4845,5.461,5.504499999999999,5.8115
5.5625,5.4295,5.355,5.773
5.4825,5.452,5.3835,5.892500000000001
5.578,5.473999999999999,5.458,5.7379999999999995
5.524,5.4135,5.43,5.787000000000001
5.5729999999999995,5.393000000000001,5.3839999999999995,5.613499999999999
5.4915,5.438,5.4125,5.6405
5.5575,5.446,5.460499999999999,5.6795
5.484,5.405500000000001,5.375,5.655500000000001
5.532,5.4239999999999995,5.3325000000000005,5.66
5.445,5.384499999999999,5.338500000000001,5.6499999999999995
5.3575,5.383,5.354000000000001,5.6674999999999995
5.380000000000001,5.345000000000001,5.367499999999999,5.571500000000001
5.3515,5.3685,5.2775,5.6795
5.395999999999999,5.4030000000000005,5.243,5.644
5.4345,5.3195,5.366,5.641
5.379,5.3195,5.2365,5.6819999999999995
5.35,5.285000000000001,5.2485,5.635
5.298000000000001,5.343,5.284000000000001,5.629
5.300500000000001,5.274,5.2509999999999994,5.584999999999999
5.2700000000000005,5.2335,5.238999999999999,5.577
5.3805,5.2524999999999995,5.2235000000000005,5.594
5.2940000000000005,5.243999999999999,5.1915,5.5245
5.3454999999999995,5.228,5.1770000000000005,5.531
5.307499999999999,5.176,5.1845,5.5205
5.3225,5.228,5.090999999999999,5.491499999999999
5.263999999999999,5.2045,5.109999999999999,5.5215000000000005
5.2829999999999995,5.158,5.1095,5.526000000000001
5.3145,5.157,5.1155,5.5585
5.293000000000001,5.151000000000001,5.089,5.502
5.317500000000001,5.154,5.0825,5.5205
5.216499999999999,5.1305,5.1065,5.474
5.193,5.129499999999999,5.0115,5.438
5.201,5.0975,5.0145,5.406499999999999
5.2835,5.0725,5.026,5.412000000000001
5.213,5.1015,4.9765,5.437500000000001
5.175,5.0965,4.9990000000000006,5.407500000000001
5.173,5.121499999999999,4.952,5.412000000000001
5.193,5.1155,4.955,5.399499999999999
5.122,5.077499999999999,4.967999999999999,5.454000000000001
5.2075000000000005,5.0520000000000005,4.909000000000001,5.3665
5.144,5.07,4.938000000000001,5.4094999999999995
5.1505,5.051,4.906000000000001,5.3515
5.1585,5.042999999999999,4.8425,5.2855
5.1545000000000005,5.034999999999999,4.906500000000001,5.357
5.1800000000000015,5.0405,4.900499999999999,5.3285
5.168000000000001,5.0835,4.9,5.3585
5.1,4.9910000000000005,4.8725,5.282500000000001
5.087999999999999,4.996,4.8965,5.3035
5.135,5.0075,4.836500000000001,5.268499999999999
5.0985,4.964499999999999,4.8465,5.235999999999999
5.1160000000000005,5.007499999999999,4.8405000000000005,5.347999999999999
5.121,4.982000000000001,4.853,5.2425
5.101000000000001,4.979,4.8315,5.275
5.108500000000001,4.953499999999999,4.8095,5.285000000000001
5.080999999999999,4.952,4.798499999999999,5.179
5.104,4.9725,4.8,5.151499999999999
5.1045,4.9235,4.8335,5.17
5.092999999999999,4.947,4.8115,5.190999999999999
5.091,4.9045000000000005,4.7975,5.141499999999999
5.0954999999999995,4.942500000000001,4.8260000000000005,5.137
5.050000000000001,4.9245,4.8004999999999995,5.152
5.032,4.943500000000001,4.870499999999999,5.128000000000001
5.0475,4.9575,4.802499999999999,5.1675
