,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-24,8,-25,9,-25,13,-22,9,-24,10,-22,13
1,-24,10,-27,9,-29,14,-25,11,-26,12,-27,20
2,-27,11,-30,9,-32,17,-27,13,-29,12,-28,29
3,-27,12,-30,9,-34,20,-27,16,-31,15,-36,37
4,-28,14,-31,10,-39,25,-27,18,-33,18,-39,42
5,-29,17,-34,10,-41,27,-29,19,-37,23,-42,46
6,-31,20,-36,11,-47,33,-30,21,-39,25,-43,48
7,-33,23,-39,11,-48,40,-35,24,-39,27,-46,49
8,-33,24,-40,13,-50,41,-36,27,-41,30,-52,57
9,-37,26,-43,16,-53,46,-38,32,-42,30,-52,59
10,-38,28,-43,19,-57,50,-40,32,-48,33,-56,60
11,-39,32,-44,20,-59,54,-40,36,-51,34,-61,64
12,-41,32,-47,22,-61,56,-42,39,-55,37,-63,69
13,-43,35,-53,27,-65,58,-42,41,-56,38,-66,70
14,-45,41,-57,30,-67,60,-43,43,-58,39,-68,73
15,-49,45,-59,33,-68,62,-44,43,-61,41,-72,77
16,-52,51,-61,35,-70,66,-45,45,-61,42,-75,81
17,-54,53,-65,43,-71,67,-46,47,-64,43,-77,84
18,-55,59,-70,45,-72,71,-48,50,-65,46,-78,85
19,-59,64,-73,48,-74,71,-50,55,-69,47,-78,86
20,-65,66,-76,51,-75,75,-53,57,-71,49,-79,87
21,-68,66,-77,54,-78,82,-53,59,-75,51,-81,90
22,-70,67,-81,58,-78,88,-57,61,-77,52,-83,92
23,-74,71,-84,60,-84,90,-61,61,-78,56,-83,92
24,-78,72,-88,63,-85,91,-63,68,-81,56,-86,93
25,-80,74,-94,64,-87,95,-65,71,-83,57,-90,94
26,-85,74,-96,66,-90,99,-67,76,-84,58,-93,96
27,-89,76,-102,67,-97,99,-68,77,-85,59,-93,102
28,-94,77,-104,67,-97,105,-71,79,-91,59,-95,105
29,-97,78,-107,69,-98,107,-73,79,-96,63,-99,108
30,-103,79,-111,71,-98,110,-76,80,-97,64,-103,112
31,-104,82,-114,73,-100,116,-77,82,-99,68,-104,115
32,-108,86,-118,74,-104,120,-79,83,-102,69,-105,116
33,-110,86,-120,78,-107,120,-80,85,-105,70,-112,121
34,-110,87,-124,79,-109,124,-84,87,-108,72,-117,123
35,-113,88,-126,81,-111,128,-88,88,-111,75,-121,124
36,-119,90,-129,82,-113,131,-90,90,-114,76,-123,127
37,-121,94,-129,84,-115,135,-92,94,-118,76,-128,128
38,-124,97,-132,87,-121,140,-94,94,-118,78,-129,130
39,-126,97,-135,90,-124,145,-95,98,-122,79,-131,132
40,-129,98,-143,92,-128,147,-98,98,-123,79,-136,133
41,-136,99,-147,93,-132,149,-101,100,-125,80,-138,134
42,-140,103,-151,95,-134,152,-101,100,-127,82,-143,136
43,-142,105,-159,98,-135,155,-105,100,-131,84,-144,136
44,-148,107,-164,98,-138,158,-108,101,-133,84,-148,137
45,-152,107,-169,99,-142,159,-113,101,-137,85,-151,139
46,-156,109,-172,101,-144,164,-115,102,-140,86,-154,141
47,-157,110,-175,102,-148,170,-118,104,-143,87,-158,142
48,-159,114,-180,102,-153,171,-120,105,-145,89,-164,142
49,-164,114,-183,102,-159,175,-120,106,-148,90,-169,144
50,-170,116,-185,105,-161,179,-121,106,-154,91,-170,146
51,-174,118,-190,105,-164,179,-128,108,-158,92,-170,148
52,-177,118,-195,108,-165,180,-132,110,-163,94,-173,149
53,-185,118,-197,110,-168,185,-132,110,-167,97,-176,149
54,-188,119,-203,114,-169,188,-137,110,-170,97,-180,149
55,-195,119,-207,118,-170,190,-138,110,-173,99,-184,151
56,-195,121,-214,119,-171,194,-147,110,-174,99,-189,151
57,-200,124,-218,120,-174,196,-153,111,-178,100,-189,151
58,-202,124,-221,120,-179,198,-156,112,-187,102,-191,152
59,-203,125,-230,121,-180,198,-157,113,-196,104,-195,152
60,-210,125,-236,121,-181,200,-160,113,-203,104,-199,152
61,-216,126,-237,123,-185,201,-161,116,-208,105,-203,153
62,-218,127,-240,125,-187,202,-166,118,-215,107,-205,154
63,-219,128,-244,126,-189,202,-170,119,-224,108,-208,157
64,-224,128,-251,126,-191,203,-174,119,-231,109,-210,158
65,-230,128,-254,127,-192,204,-178,119,-237,114,-213,158
66,-236,129,-261,128,-194,206,-178,120,-240,116,-217,159
67,-240,130,-264,128,-199,207,-182,120,-246,118,-220,160
68,-244,131,-266,128,-204,207,-190,121,-249,120,-223,161
69,-250,131,-269,128,-208,207,-194,121,-255,122,-228,161
70,-257,133,-273,128,-210,209,-201,121,-260,122,-229,161
71,-262,135,-278,128,-213,210,-208,121,-264,123,-230,162
72,-268,136,-282,132,-215,211,-211,122,-265,127,-231,164
73,-274,136,-287,134,-218,211,-213,123,-269,127,-238,164
74,-278,138,-294,134,-223,213,-218,123,-271,128,-240,164
75,-281,138,-298,134,-227,213,-227,123,-273,128,-246,166
76,-285,140,-301,134,-231,214,-232,125,-276,130,-250,166
77,-285,141,-307,137,-232,214,-238,126,-285,130,-253,166
78,-289,141,-310,137,-236,217,-243,126,-287,132,-260,166
79,-291,143,-316,139,-239,220,-246,126,-290,132,-266,166
