,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-71,2,-66,19,-66,11,-76,2,-81,6,-72,4,-73,11,-68,6,-68,11,-68,7,-68,20,-69,6,-67,7,-69,3,-66,8,-71,2,-70,2,-72,3,-67,5
1,-71,2,-69,23,-74,12,-80,2,-87,6,-72,4,-78,14,-78,6,-74,14,-76,7,-81,21,-72,6,-70,8,-71,3,-72,9,-71,2,-71,2,-73,3,-69,5
2,-71,2,-72,27,-76,12,-86,2,-89,6,-73,4,-83,16,-89,8,-75,17,-87,8,-99,23,-76,6,-71,10,-72,3,-78,10,-71,2,-71,2,-75,3,-70,8
3,-71,2,-75,30,-96,12,-91,2,-97,6,-76,4,-87,17,-93,9,-77,18,-92,8,-108,24,-76,7,-78,10,-73,3,-88,10,-72,2,-71,2,-77,3,-73,8
4,-72,2,-79,31,-104,15,-92,2,-102,6,-79,4,-91,18,-108,10,-79,19,-102,8,-120,28,-79,7,-81,10,-73,3,-100,10,-72,2,-71,2,-77,3,-73,9
5,-76,2,-82,35,-111,17,-95,2,-104,6,-83,4,-98,19,-115,10,-86,22,-107,9,-126,29,-81,8,-92,11,-73,3,-108,10,-72,3,-71,2,-79,3,-73,11
6,-79,2,-84,39,-118,18,-100,2,-107,6,-85,4,-105,21,-122,12,-89,23,-111,9,-132,31,-82,9,-104,13,-74,3,-117,11,-72,3,-71,2,-84,3,-74,12
7,-81,2,-87,41,-124,18,-103,2,-111,6,-87,4,-110,22,-134,12,-94,28,-116,12,-138,36,-84,10,-113,13,-76,3,-123,12,-72,3,-71,2,-88,3,-75,12
8,-83,2,-91,43,-132,18,-106,2,-123,6,-92,4,-115,22,-148,12,-97,28,-118,12,-152,41,-85,11,-113,14,-78,3,-128,13,-73,3,-74,2,-88,3,-76,12
9,-83,2,-95,44,-136,19,-113,2,-128,6,-95,4,-119,22,-152,12,-101,29,-127,15,-167,43,-89,11,-126,15,-78,3,-132,13,-74,3,-74,2,-89,3,-80,12
10,-83,2,-102,47,-140,20,-115,2,-141,6,-97,5,-131,23,-162,12,-103,29,-133,16,-172,45,-92,12,-127,16,-78,3,-136,14,-75,3,-76,2,-93,3,-84,13
11,-84,2,-103,48,-151,22,-119,2,-146,6,-100,5,-137,24,-169,13,-107,32,-136,17,-182,49,-96,12,-132,16,-79,3,-147,14,-75,3,-80,2,-94,3,-84,14
12,-86,2,-106,48,-155,22,-123,2,-158,6,-100,5,-140,26,-173,13,-108,32,-137,17,-209,50,-101,13,-134,16,-79,3,-160,15,-76,3,-83,2,-95,3,-88,14
13,-87,3,-109,50,-163,24,-126,2,-172,6,-102,5,-145,27,-174,14,-109,33,-146,17,-218,52,-108,14,-138,16,-83,3,-164,15,-77,3,-84,2,-97,3,-93,14
14,-89,3,-110,50,-167,25,-130,3,-182,6,-104,5,-149,27,-181,14,-116,33,-152,18,-234,57,-111,15,-145,17,-86,3,-169,15,-78,3,-85,2,-98,3,-94,14
15,-89,3,-114,51,-171,26,-131,3,-188,6,-110,5,-154,27,-190,14,-121,33,-164,19,-242,58,-114,15,-148,17,-88,3,-179,17,-80,3,-86,2,-102,3,-98,14
16,-92,3,-117,53,-179,28,-132,3,-195,6,-111,5,-161,27,-197,14,-124,33,-174,21,-249,60,-120,15,-150,17,-91,3,-188,17,-80,3,-87,2,-104,3,-104,15
17,-92,3,-121,54,-185,29,-139,3,-195,6,-118,6,-161,27,-208,15,-127,34,-181,22,-255,60,-122,15,-156,18,-95,3,-198,17,-81,3,-90,2,-106,3,-111,17
18,-92,3,-125,56,-189,30,-147,3,-204,6,-119,6,-168,27,-218,15,-129,36,-186,22,-259,62,-126,15,-160,20,-97,3,-210,17,-82,3,-93,2,-108,3,-115,17
19,-97,3,-126,57,-195,30,-149,3,-217,6,-122,7,-170,27,-227,16,-129,37,-190,22,-269,64,-128,15,-165,20,-100,3,-220,18,-86,4,-95,2,-112,3,-117,17
20,-97,3,-130,57,-200,30,-153,3,-226,6,-122,7,-185,27,-236,17,-131,37,-193,24,-277,67,-132,15,-175,20,-101,3,-224,19,-91,4,-96,2,-115,3,-117,18
21,-98,3,-131,57,-207,30,-157,3,-235,6,-124,7,-194,29,-242,19,-139,39,-194,27,-285,69,-135,15,-176,20,-107,3,-231,19,-94,4,-96,2,-118,3,-120,20
22,-98,3,-134,58,-210,30,-159,3,-239,6,-125,7,-202,30,-245,19,-140,40,-202,27,-301,72,-150,15,-183,20,-109,3,-240,19,-96,4,-96,2,-122,3,-121,20
23,-102,3,-139,59,-216,32,-167,3,-243,6,-126,7,-209,30,-251,19,-149,40,-218,29,-306,72,-152,15,-186,21,-109,3,-246,19,-99,4,-97,2,-122,3,-124,20
24,-105,3,-142,62,-221,34,-173,3,-248,6,-133,7,-215,30,-255,20,-152,40,-228,31,-309,72,-158,15,-190,21,-112,4,-252,21,-102,4,-98,2,-124,3,-128,20
