,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-21,9,-21,14,-16,17,-28,11,-23,10,-25,9
1,-24,13,-24,15,-18,19,-33,12,-26,12,-27,11
2,-27,15,-24,18,-22,22,-38,12,-29,12,-33,12
3,-29,16,-29,21,-27,26,-40,13,-31,13,-36,13
4,-31,16,-37,22,-33,26,-41,13,-35,14,-41,15
5,-34,18,-40,22,-35,29,-45,14,-35,16,-49,17
6,-39,18,-47,23,-37,35,-46,17,-35,16,-51,20
7,-44,19,-49,25,-39,38,-49,21,-37,17,-56,20
8,-51,20,-51,27,-41,41,-51,21,-42,18,-61,20
9,-55,21,-55,28,-45,43,-56,21,-47,20,-63,20
10,-57,24,-58,30,-48,45,-61,22,-52,20,-66,21
11,-59,26,-61,32,-49,46,-66,23,-57,20,-70,25
12,-62,28,-66,33,-52,47,-70,24,-60,21,-75,26
13,-64,28,-69,34,-58,49,-74,24,-62,23,-82,27
14,-70,33,-71,36,-60,50,-78,27,-63,24,-85,27
15,-75,36,-73,37,-66,52,-82,28,-66,26,-86,27
16,-80,39,-76,38,-69,54,-85,29,-70,28,-89,27
17,-85,40,-82,38,-72,58,-91,30,-72,29,-89,28
18,-88,45,-85,39,-75,60,-94,31,-76,29,-93,29
19,-92,45,-88,41,-78,64,-99,31,-79,30,-97,30
20,-93,47,-91,41,-81,69,-102,33,-84,33,-100,30
21,-98,49,-96,42,-84,69,-104,35,-89,34,-103,31
22,-98,53,-102,42,-88,73,-109,37,-90,34,-105,33
23,-99,58,-105,43,-90,76,-113,38,-95,36,-107,34
24,-100,61,-107,45,-92,80,-117,39,-99,39,-108,37
25,-103,62,-114,46,-94,81,-118,42,-105,41,-111,37
26,-108,63,-117,46,-97,86,-121,43,-106,45,-114,38
27,-113,64,-120,47,-98,90,-125,43,-110,45,-116,43
28,-117,64,-124,48,-104,91,-129,43,-114,46,-121,43
29,-119,66,-127,52,-104,93,-133,46,-116,48,-122,48
30,-126,67,-131,52,-107,96,-135,47,-119,49,-126,49
31,-131,68,-133,53,-108,97,-141,48,-125,50,-129,51
32,-133,70,-134,55,-111,98,-142,51,-128,53,-136,53
33,-141,70,-137,58,-114,100,-144,53,-130,53,-140,54
34,-143,71,-139,58,-118,103,-147,54,-136,57,-143,55
35,-146,73,-144,61,-119,105,-154,55,-138,57,-146,56
36,-154,73,-149,62,-123,107,-157,55,-142,58,-148,56
37,-160,73,-151,65,-126,108,-160,55,-146,60,-151,59
38,-162,73,-157,66,-130,108,-165,56,-150,61,-154,62
39,-168,73,-161,68,-132,113,-167,56,-157,61,-155,63
40,-174,74,-168,69,-134,113,-170,58,-157,64,-157,66
41,-175,74,-172,70,-141,115,-174,60,-160,64,-162,67
42,-178,76,-175,71,-144,117,-176,62,-165,67,-164,69
43,-180,76,-179,71,-144,122,-181,64,-168,68,-171,70
44,-184,76,-184,72,-145,124,-187,64,-169,73,-174,72
45,-188,78,-187,74,-148,125,-192,67,-172,74,-176,73
46,-189,81,-190,74,-151,125,-199,67,-178,78,-179,73
47,-193,82,-191,77,-152,125,-206,68,-183,78,-181,78
48,-199,83,-197,77,-157,126,-210,69,-186,79,-183,78
49,-202,84,-203,79,-163,127,-213,70,-187,80,-187,79
50,-206,87,-208,80,-164,129,-216,72,-190,81,-189,82
51,-208,88,-213,81,-167,130,-220,72,-197,82,-193,83
52,-211,88,-216,83,-173,131,-220,74,-200,86,-196,86
53,-214,89,-220,87,-176,132,-222,75,-201,87,-203,88
54,-216,91,-223,88,-179,133,-224,76,-209,90,-204,91
55,-220,93,-229,88,-180,136,-227,77,-216,90,-206,92
56,-222,95,-235,91,-181,138,-229,79,-218,92,-210,94
57,-223,95,-238,93,-187,140,-235,80,-221,93,-214,95
58,-228,97,-240,95,-189,142,-239,82,-222,95,-216,99
59,-232,100,-246,96,-190,144,-241,83,-228,96,-219,99
60,-236,103,-247,98,-192,144,-246,84,-233,99,-223,99
61,-240,104,-249,99,-193,149,-254,84,-235,102,-226,99
62,-241,105,-250,99,-199,152,-259,85,-239,103,-231,101
63,-245,105,-254,101,-207,152,-262,87,-240,104,-232,105
64,-250,105,-256,102,-210,155,-266,87,-243,105,-237,108
65,-254,106,-261,103,-213,156,-271,89,-246,106,-240,109
66,-256,107,-265,104,-216,160,-275,90,-251,107,-243,110
67,-258,108,-270,105,-217,163,-281,90,-255,108,-249,110
68,-259,108,-274,108,-219,165,-282,93,-259,112,-253,112
69,-262,109,-280,108,-224,169,-283,94,-264,112,-255,114
70,-268,110,-283,109,-227,173,-287,97,-264,113,-257,116
71,-272,112,-285,112,-228,173,-292,100,-269,114,-260,117
72,-277,114,-286,112,-233,176,-297,101,-272,116,-262,118
73,-278,114,-290,114,-238,177,-298,103,-277,118,-268,119
74,-281,115,-290,117,-239,180,-304,104,-281,121,-270,122
75,-286,116,-293,119,-241,183,-307,105,-284,124,-274,122
76,-290,119,-294,120,-242,189,-309,108,-287,124,-277,125
77,-294,120,-297,121,-245,192,-313,109,-290,127,-279,127
78,-298,120,-301,123,-247,194,-315,110,-297,127,-284,128
79,-302,121,-302,123,-248,199,-318,110,-301,128,-290,132
