STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-23.277777777777775,10.722222222222221,-21.972222222222218,12.027777777777777,-21.482638888888886,12.517361111111109,-23.086805555555554,10.913194444444445
-26.684027777777782,12.315972222222221,-24.239583333333332,14.760416666666666,-23.815972222222225,15.184027777777779,-26.5,12.5
-30.090277777777775,13.909722222222221,-26.534722222222218,17.46527777777778,-25.944444444444443,18.055555555555554,-29.899305555555554,14.100694444444445
-33.625,15.375,-28.829861111111114,20.17013888888889,-28.25,20.749999999999996,-33.28819444444444,15.711805555555555
-37.09722222222222,16.902777777777775,-31.04861111111111,22.951388888888886,-30.67013888888889,23.329861111111114,-36.65972222222223,17.340277777777775
-40.541666666666664,18.458333333333332,-33.36805555555556,25.631944444444443,-32.88194444444445,26.118055555555557,-39.94097222222222,19.059027777777775
-43.97222222222223,20.027777777777775,-35.79861111111111,28.20138888888889,-35.37847222222222,28.621527777777782,-43.28472222222223,20.71527777777778
-47.375,21.625,-37.99305555555555,31.006944444444443,-37.822916666666664,31.17708333333334,-46.75,22.25
-50.8125,23.1875,-40.326388888888886,33.673611111111114,-40.26388888888889,33.736111111111114,-50.298611111111114,23.70138888888889
-54.18402777777778,24.815972222222225,-42.72222222222222,36.27777777777778,-42.71875,36.28125,-53.73958333333332,25.260416666666668
-57.67708333333332,26.32291666666666,-45.03472222222222,38.96527777777778,-45.31944444444445,38.68055555555555,-57.267361111111114,26.73263888888889
-61.12847222222222,27.871527777777775,-47.46527777777778,41.53472222222222,-47.729166666666664,41.270833333333336,-60.763888888888886,28.23611111111111
-64.5625,29.4375,-49.927083333333336,44.072916666666664,-50.34722222222222,43.65277777777778,-64.20138888888889,29.798611111111114
-67.97916666666667,31.020833333333332,-52.28472222222222,46.71527777777777,-52.954861111111114,46.045138888888886,-67.56944444444444,31.430555555555554
-71.55555555555556,32.44444444444444,-54.916666666666664,49.083333333333336,-55.56944444444445,48.43055555555555,-71.08333333333333,32.91666666666667
-75.04513888888889,33.954861111111114,-57.420138888888886,51.579861111111114,-58.22569444444445,50.77430555555555,-74.47569444444444,34.52430555555556
-78.43055555555556,35.569444444444436,-60.01736111111111,53.98263888888889,-60.81944444444445,53.18055555555555,-77.88888888888889,36.111111111111114
-81.87152777777779,37.12847222222222,-62.47222222222223,56.52777777777778,-63.40277777777779,55.59722222222223,-81.39583333333333,37.604166666666664
-85.39236111111113,38.607638888888886,-65.02083333333333,58.97916666666666,-66.12152777777777,57.87847222222223,-84.7673611111111,39.232638888888886
-88.90277777777777,40.09722222222222,-67.5625,61.4375,-68.77777777777779,60.22222222222222,-88.20833333333333,40.79166666666667
-92.38194444444446,41.61805555555555,-70.09375,63.90625,-71.38194444444444,62.61805555555555,-91.67361111111113,42.326388888888886
-95.83333333333333,43.166666666666664,-72.78819444444444,66.21180555555556,-73.97222222222223,65.02777777777779,-95.1111111111111,43.888888888888886
-99.36458333333333,44.635416666666664,-75.44097222222221,68.55902777777777,-76.7326388888889,67.26736111111111,-98.42708333333333,45.572916666666664
-102.70833333333333,46.291666666666664,-78.2048611111111,70.79513888888889,-79.44791666666667,69.55208333333333,-101.78819444444444,47.211805555555564
-106.12847222222223,47.87152777777777,-80.87847222222223,73.12152777777779,-82.17708333333334,71.82291666666667,-105.17708333333331,48.822916666666664
-109.6076388888889,49.392361111111114,-83.62500000000001,75.375,-84.88194444444444,74.11805555555554,-108.6076388888889,50.39236111111111
-113.02083333333333,50.979166666666664,-86.36805555555556,77.63194444444444,-87.69444444444446,76.30555555555556,-111.875,52.125
-116.41319444444444,52.58680555555555,-89.0625,79.93750000000001,-90.39930555555556,78.60069444444444,-115.30208333333333,53.697916666666664
-119.87847222222221,54.12152777777778,-91.875,82.125,-93.2986111111111,80.70138888888889,-118.69791666666667,55.30208333333332
-123.34375,55.65625,-94.69791666666667,84.30208333333333,-96.08333333333333,82.91666666666667,-122.11805555555556,56.88194444444445
-126.84375,57.15625,-97.64236111111113,86.3576388888889,-98.95833333333333,85.04166666666667,-125.67013888888887,58.32986111111111
-130.28819444444446,58.711805555555564,-100.46527777777779,88.53472222222221,-101.89930555555556,87.10069444444446,-129.08680555555554,59.913194444444436
-133.75347222222223,60.24652777777778,-103.31944444444444,90.68055555555554,-104.85416666666669,89.14583333333333,-132.56597222222223,61.43402777777778
-137.28472222222223,61.71527777777778,-106.1701388888889,92.82986111111113,-107.87847222222221,91.12152777777777,-135.99999999999997,63.00000000000001
-140.74305555555557,63.25694444444445,-109.34722222222223,94.65277777777777,-110.72916666666664,93.27083333333333,-139.37847222222223,64.62152777777779
-144.24652777777777,64.75347222222223,-112.30902777777779,96.69097222222223,-113.85416666666667,95.14583333333333,-142.81597222222223,66.18402777777779
-147.73958333333334,66.26041666666667,-115.37152777777777,98.62847222222223,-116.97916666666667,97.02083333333333,-146.22916666666669,67.77083333333334
-151.15277777777777,67.84722222222221,-118.34375,100.65625,-120.09722222222221,98.90277777777777,-149.61805555555557,69.38194444444444
-154.59027777777777,69.40972222222223,-121.28472222222223,102.71527777777777,-123.24305555555554,100.75694444444446,-152.98263888888889,71.0173611111111
-158.14583333333334,70.85416666666667,-124.35416666666667,104.64583333333333,-126.43055555555556,102.56944444444444,-156.42013888888889,72.57986111111111
-161.65624999999997,72.34375,-127.57291666666667,106.42708333333333,-129.57986111111111,104.42013888888887,-159.93055555555557,74.06944444444444
-165.07986111111111,73.92013888888889,-130.77430555555557,108.22569444444444,-132.78472222222226,106.21527777777777,-163.44444444444443,75.55555555555556
-168.56597222222223,75.43402777777779,-133.96875,110.03125,-136.02777777777777,107.97222222222223,-166.8159722222222,77.18402777777777
-171.99305555555557,77.00694444444444,-137.25347222222223,111.74652777777777,-139.26041666666666,109.73958333333333,-170.20833333333334,78.79166666666667
-175.3923611111111,78.60763888888887,-140.45833333333334,113.54166666666669,-142.49305555555557,111.50694444444444,-173.6423611111111,80.35763888888887
-178.8784722222222,80.12152777777777,-143.78819444444443,115.21180555555556,-145.77777777777777,113.22222222222223,-177.20833333333334,81.79166666666666
-182.32291666666666,81.67708333333333,-147.15277777777777,116.84722222222223,-148.97916666666666,115.02083333333333,-180.57291666666666,83.42708333333333
-185.63541666666666,83.36458333333333,-150.45486111111111,118.5451388888889,-152.32986111111111,116.6701388888889,-183.97916666666666,85.02083333333333
-189.08333333333334,84.91666666666667,-153.76388888888889,120.23611111111113,-155.55555555555557,118.44444444444444,-187.3402777777778,86.65972222222223
-192.49305555555557,86.50694444444446,-157.25,121.75,-158.86805555555557,120.13194444444444,-190.7673611111111,88.2326388888889
-195.95833333333334,88.04166666666667,-160.6909722222222,123.30902777777777,-162.125,121.875,-194.22916666666666,89.77083333333333
-199.5,89.5,-164.21180555555557,124.78819444444446,-165.54861111111111,123.45138888888887,-197.63194444444443,91.36805555555554
-202.95486111111111,91.0451388888889,-167.69791666666666,126.30208333333333,-168.98263888888889,125.0173611111111,-201.10069444444443,92.89930555555554
-206.43055555555554,92.56944444444444,-171.29166666666666,127.70833333333336,-172.36111111111111,126.6388888888889,-204.46180555555557,94.53819444444444
-209.85416666666666,94.14583333333333,-174.90625,129.09375,-175.7638888888889,128.23611111111111,-207.89236111111111,96.10763888888887
-213.30208333333334,95.69791666666667,-178.49305555555554,130.50694444444446,-179.41666666666666,129.58333333333334,-211.3611111111111,97.6388888888889
-216.67708333333337,97.32291666666667,-182.1284722222222,131.8715277777778,-182.85069444444446,131.14930555555557,-214.76736111111111,99.2326388888889
-220.03125,98.96875,-185.84374999999997,133.15625,-186.375,132.625,-218.12152777777774,100.87847222222223
-223.45138888888889,100.54861111111113,-189.6215277777778,134.37847222222223,-190.03125,133.96874999999997,-221.5659722222222,102.43402777777777
-226.8576388888889,102.14236111111113,-193.3125,135.6875,-193.76736111111111,135.23263888888889,-224.9340277777778,104.06597222222221
-230.19791666666666,103.80208333333333,-197.1875,136.81250000000003,-197.52777777777774,136.47222222222223,-228.37847222222226,105.62152777777777
-233.63541666666666,105.36458333333333,-201.05208333333334,137.94791666666666,-201.28819444444443,137.71180555555557,-231.85763888888889,107.1423611111111
-237.10416666666666,106.89583333333333,-204.8472222222222,139.1527777777778,-205.07986111111111,138.92013888888889,-235.2222222222222,108.77777777777777
-240.5659722222222,108.43402777777779,-208.70486111111111,140.29513888888889,-208.8888888888889,140.11111111111111,-238.66666666666666,110.33333333333333
-244.05555555555557,109.94444444444446,-212.5347222222222,141.4652777777778,-212.67361111111111,141.32638888888889,-242.2152777777778,111.78472222222223
-247.55555555555554,111.44444444444444,-216.36805555555554,142.63194444444443,-216.5,142.49999999999997,-245.63888888888889,113.3611111111111
-250.96527777777774,113.03472222222223,-220.33680555555554,143.66319444444446,-220.38888888888889,143.61111111111111,-248.95138888888889,115.0486111111111
-254.4340277777778,114.56597222222223,-224.36111111111111,144.63888888888889,-224.28472222222226,144.71527777777777,-252.35416666666663,116.64583333333333
-257.96527777777777,116.03472222222223,-228.44097222222226,145.55902777777777,-228.21527777777774,145.7847222222222,-255.81944444444443,118.18055555555556
-261.43402777777777,117.56597222222221,-232.38541666666663,146.61458333333331,-232.0902777777778,146.9097222222222,-259.2465277777778,119.75347222222223
-264.8611111111111,119.1388888888889,-236.4375,147.5625,-236.04861111111111,147.95138888888889,-262.6631944444444,121.33680555555556
-268.3368055555556,120.66319444444444,-240.5034722222222,148.4965277777778,-239.92361111111111,149.07638888888889,-266.18402777777777,122.81597222222223
-271.74652777777777,122.25347222222221,-244.60416666666666,149.39583333333334,-243.9826388888889,150.01736111111111,-269.625,124.375
-275.2013888888889,123.79861111111113,-248.75694444444446,150.24305555555554,-248.01736111111111,150.98263888888889,-273.08680555555554,125.91319444444446
