,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24,n25,p25,n26,p26,n27,p27,n28,p28,n29,p29,n30,p30,n31,p31,n32,p32,n33,p33,n34,p34,n35,p35,n36,p36,n37,p37,n38,p38,n39,p39,n40,p40,n41,p41,n42,p42,n43,p43,n44,p44,n45,p45,n46,p46,n47,p47,n48,p48
0,-189,3,-182,10,-189,3,-190,4,-175,18,-178,14,-89,107,-187,4,-189,2,-187,4,-189,5,-149,45,-187,13,-166,23,-88,109,-194,4,-187,2,-196,3,-182,6,-187,5,-185,13,-174,17,-181,9,-182,10,-177,11,-117,74,-197,2,-192,2,-190,5,-168,21,-179,13,-187,3,-190,4,-188,5,-189,3,-191,3,-192,3,-192,3,-163,33,-191,3,-191,4,-182,8,-175,16,-177,17,-156,38,-187,6,-169,26,-187,6,-184,2
1,-195,3,-189,11,-200,3,-197,4,-185,19,-185,14,-93,114,-193,4,-198,2,-200,5,-193,5,-156,46,-198,14,-176,26,-96,114,-203,4,-200,2,-211,3,-196,9,-201,6,-190,13,-181,18,-186,9,-191,10,-193,11,-129,78,-209,2,-206,2,-198,5,-174,21,-185,13,-193,3,-201,4,-194,5,-202,3,-205,3,-205,3,-204,3,-170,35,-203,3,-201,4,-196,9,-186,16,-187,18,-164,39,-192,6,-176,27,-191,6,-191,2
2,-212,4,-199,12,-207,3,-212,4,-195,20,-197,15,-99,118,-202,5,-205,2,-209,5,-202,5,-161,46,-207,16,-186,29,-99,119,-218,4,-213,2,-223,4,-208,9,-208,6,-201,14,-187,20,-197,9,-200,12,-202,11,-135,82,-217,2,-218,2,-209,5,-184,21,-195,14,-205,3,-211,4,-205,5,-213,3,-217,3,-218,3,-211,3,-176,35,-208,3,-205,4,-202,9,-195,16,-196,18,-170,44,-198,7,-190,27,-197,6,-198,2
3,-218,4,-205,13,-216,3,-223,4,-208,21,-212,15,-109,120,-212,5,-220,2,-221,5,-214,5,-169,50,-215,16,-191,29,-105,124,-226,4,-224,2,-230,4,-215,9,-215,6,-209,14,-197,21,-200,10,-206,13,-207,11,-140,87,-225,2,-228,2,-214,5,-193,21,-208,14,-221,3,-220,4,-213,5,-226,3,-230,3,-231,4,-225,3,-181,35,-222,3,-213,4,-216,9,-207,16,-208,19,-174,48,-205,7,-204,28,-206,6,-207,2
4,-230,4,-216,13,-223,3,-236,4,-218,21,-220,16,-114,126,-225,6,-231,2,-229,5,-223,5,-178,51,-224,17,-202,31,-115,127,-233,4,-236,2,-246,4,-226,9,-220,6,-217,14,-207,21,-205,10,-210,13,-222,12,-142,88,-229,2,-242,2,-225,5,-211,22,-214,14,-229,3,-229,4,-224,5,-235,3,-233,3,-241,5,-229,3,-185,36,-231,3,-223,4,-233,9,-216,17,-217,19,-192,51,-214,7,-208,28,-219,6,-223,2
5,-245,4,-229,13,-232,3,-244,4,-227,22,-228,16,-119,128,-238,6,-247,2,-239,5,-229,5,-183,56,-231,18,-207,32,-121,132,-243,4,-243,2,-254,5,-231,10,-230,6,-227,14,-217,23,-220,11,-218,13,-228,13,-147,91,-240,2,-250,2,-234,5,-218,24,-229,14,-232,3,-240,5,-233,5,-250,3,-244,3,-251,5,-244,3,-192,38,-242,3,-233,4,-241,9,-235,17,-225,19,-202,53,-222,7,-213,32,-224,6,-234,2
6,-249,4,-235,14,-235,3,-253,4,-234,22,-240,17,-123,135,-248,6,-262,2,-255,5,-235,5,-189,62,-238,18,-219,32,-124,137,-254,5,-251,2,-259,5,-242,10,-245,6,-235,14,-230,23,-225,11,-232,13,-240,13,-153,93,-247,2,-267,2,-245,5,-225,24,-240,14,-240,3,-253,6,-243,5,-263,3,-253,3,-260,5,-255,3,-203,40,-250,3,-246,4,-253,10,-239,18,-233,20,-216,53,-231,7,-226,34,-230,6,-241,2
7,-261,4,-244,15,-244,3,-261,4,-243,22,-250,17,-130,136,-257,6,-271,3,-260,5,-248,5,-199,66,-244,19,-232,33,-133,137,-266,5,-261,2,-265,5,-252,10,-251,7,-242,15,-240,24,-238,11,-242,13,-250,13,-157,103,-258,2,-281,2,-252,5,-232,24,-247,15,-254,3,-263,6,-253,5,-268,3,-265,3,-266,5,-270,3,-214,42,-256,3,-256,4,-259,10,-247,19,-252,21,-225,58,-243,7,-230,34,-240,6,-250,2
8,-270,4,-260,15,-252,3,-272,5,-253,22,-259,17,-136,140,-266,6,-278,3,-270,5,-265,5,-205,71,-253,19,-239,35,-136,139,-274,5,-273,2,-281,6,-267,10,-261,8,-249,16,-246,27,-245,11,-247,14,-256,13,-169,106,-271,2,-290,2,-260,5,-243,25,-257,16,-261,3,-273,6,-263,5,-278,3,-278,3,-278,5,-278,3,-226,44,-274,3,-264,4,-264,10,-254,19,-262,22,-235,59,-248,7,-235,36,-250,6,-256,2
9,-273,4,-267,15,-264,3,-281,5,-260,22,-269,18,-139,147,-276,6,-286,3,-282,5,-280,5,-212,77,-268,19,-247,36,-140,144,-284,5,-288,2,-289,6,-278,10,-272,8,-260,17,-256,28,-254,11,-253,17,-266,13,-178,111,-280,2,-304,2,-269,5,-251,25,-266,16,-271,3,-290,6,-278,5,-286,4,-287,3,-285,5,-288,3,-238,47,-282,3,-270,4,-271,10,-264,19,-269,23,-241,62,-254,7,-243,36,-258,6,-265,2
