STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-224.53061224489795,18.71938775510204,-220.04591836734693,23.20408163265306,-219.7908163265306,23.48469387755102,-222.94387755102042,20.331632653061224
-236.15816326530611,19.591836734693878,-226.98979591836735,28.760204081632654,-227.10204081632654,28.698979591836736,-233.03571428571428,22.76530612244898
-247.72448979591837,20.525510204081634,-235.05612244897958,33.19387755102041,-234.71428571428572,33.61224489795919,-242.96938775510205,25.357142857142858
-259.56632653061223,21.183673469387756,-242.91836734693877,37.83163265306123,-242.83673469387756,38.015306122448976,-253.01020408163265,27.841836734693878
-271.26020408163265,21.989795918367346,-251.15816326530611,42.09183673469388,-251.03571428571428,42.34183673469388,-263.1020408163265,30.275510204081634
-282.7959183673469,22.95408163265306,-259.61224489795916,46.13775510204081,-259.5204081632653,46.38265306122449,-273.0816326530612,32.82142857142857
-294.43367346938777,23.816326530612244,-268.26020408163265,49.98979591836735,-267.90816326530614,50.52040816326531,-283.11224489795916,35.316326530612244
-306.11224489795916,24.637755102040817,-277.1326530612245,53.61734693877551,-276.78061224489795,54.173469387755105,-293.0357142857143,37.91836734693877
-317.7448979591837,25.505102040816325,-285.984693877551,57.265306122448976,-285.7142857142857,57.765306122448976,-303.1479591836735,40.33163265306123
-329.4183673469388,26.331632653061224,-295.265306122449,60.484693877551024,-294.9948979591837,61.01020408163265,-313.1020408163265,42.9030612244898
-341.0459183673469,27.20408163265306,-304.7244897959184,63.525510204081634,-304.38775510204084,64.14285714285714,-323.1734693877551,45.357142857142854
-352.71938775510205,28.03061224489796,-314.0969387755102,66.65306122448979,-314.03061224489795,67.02551020408163,-332.9744897959184,48.08163265306123
-364.3826530612245,28.867346938775512,-323.5969387755102,69.65306122448979,-323.82142857142856,69.76020408163265,-342.984693877551,50.5969387755102
-376.0255102040816,29.724489795918366,-333.61224489795916,72.13775510204081,-333.5051020408163,72.60204081632654,-353.03061224489795,53.076530612244895
-387.765306122449,30.48469387755102,-343.68367346938777,74.56632653061224,-343.5561224489796,75.0765306122449,-363.15816326530614,55.474489795918366
-399.5,31.25,-353.6734693877551,77.0765306122449,-353.4744897959184,77.68367346938776,-373.2244897959184,57.933673469387756
-411.26020408163265,31.989795918367346,-363.8724489795918,79.37755102040816,-363.3316326530612,80.35204081632654,-383.2959183673469,60.38775510204081
-422.9030612244898,32.8469387755102,-374.23979591836735,81.51020408163265,-373.2857142857143,82.9234693877551,-393.30102040816325,62.90816326530612
-434.6275510204082,33.62244897959184,-384.89285714285717,83.35714285714286,-383.1734693877551,85.56122448979592,-403.2295918367347,65.50510204081633
-446.3673469387755,34.38265306122449,-395.5612244897959,85.18877551020408,-393.5357142857143,87.72448979591837,-413.2908163265306,67.96938775510205
-458.03061224489795,35.21938775510204,-406.43367346938777,86.81632653061224,-403.80102040816325,89.98469387755102,-423.42857142857144,70.35714285714286
-469.61224489795916,36.13775510204081,-417.3775510204082,88.37244897959184,-414.1734693877551,92.13775510204081,-433.4387755102041,72.87244897959184
-481.3112244897959,36.93877551020408,-428.48979591836735,89.76020408163265,-424.73979591836735,94.09693877551021,-443.39285714285717,75.4438775510204
-492.90816326530614,37.84183673469388,-439.5816326530612,91.16836734693878,-435.23979591836735,96.12244897959184,-453.43367346938777,77.92857142857143
-504.6887755102041,38.56122448979592,-450.7551020408163,92.49489795918367,-446.2244897959184,97.66326530612245,-463.6020408163265,80.28571428571429
-516.3367346938776,39.41326530612245,-462.01020408163265,93.73979591836735,-457.11224489795916,99.30102040816327,-473.7908163265306,82.62244897959184
-528.0663265306123,40.183673469387756,-473.36224489795916,94.88775510204081,-468.2908163265306,100.64795918367346,-484.11224489795916,84.8265306122449
-539.7244897959183,41.025510204081634,-484.71938775510205,96.03061224489795,-479.5561224489796,101.90816326530613,-494.5051020408163,86.95918367346938
-551.3979591836735,41.85204081632653,-496.2704081632653,96.9795918367347,-490.7551020408163,103.23469387755102,-504.9438775510204,89.04591836734694
-563.1173469387755,42.63265306122449,-507.6683673469388,98.08163265306122,-501.984693877551,104.53061224489795,-515.3775510204082,91.13775510204081
-574.765306122449,43.484693877551024,-519.1887755102041,99.06122448979592,-513.1836734693877,105.85714285714286,-526.015306122449,93.02551020408163
-586.4081632653061,44.34183673469388,-530.75,100.0,-524.3622448979592,107.20408163265306,-536.8112244897959,94.75510204081633
-598.0714285714286,45.17857142857143,-542.3571428571429,100.89285714285714,-535.8571428571429,108.23469387755102,-547.5867346938776,96.50510204081633
-609.765306122449,45.984693877551024,-554.1020408163265,101.64795918367346,-547.0816326530612,109.53571428571429,-558.5510204081633,98.06632653061224
-621.4438775510204,46.80612244897959,-565.780612244898,102.46938775510205,-558.5867346938776,110.5561224489796,-569.5561224489796,99.58673469387755
-633.1020408163265,47.64795918367347,-577.469387755102,103.28061224489795,-570.1887755102041,111.4795918367347,-581.265306122449,100.40306122448979
-644.7602040816327,48.48979591836735,-589.0918367346939,104.15816326530613,-581.8214285714286,112.37244897959184,-592.8724489795918,101.32142857142857
-656.454081632653,49.295918367346935,-600.8877551020408,104.86224489795919,-593.6785714285714,113.04081632653062,-604.4285714285714,102.29081632653062
-668.0765306122449,50.173469387755105,-612.8163265306123,105.43367346938776,-605.6428571428571,113.60204081632654,-616.1938775510204,103.05102040816327
-679.6530612244898,51.0969387755102,-624.6887755102041,106.06122448979592,-617.4795918367347,114.29081632653062,-627.9642857142857,103.8061224489796
-691.3724489795918,51.87755102040816,-636.4744897959183,106.77551020408163,-629.3673469387755,114.92857142857143,-639.75,104.54591836734694
-703.0867346938776,52.66326530612245,-648.3520408163265,107.39795918367346,-641.3010204081633,115.5204081632653,-651.5918367346939,105.2295918367347
-714.6887755102041,53.56122448979592,-660.2448979591836,108.00510204081633,-653.2755102040817,116.07142857142857,-663.3469387755102,106.0
-726.4591836734694,54.29081632653061,-672.1785714285714,108.57142857142857,-665.1734693877551,116.69897959183673,-675.1632653061224,106.70918367346938
-738.0969387755102,55.1530612244898,-684.1071428571429,109.14285714285714,-677.0663265306123,117.33163265306122,-686.8877551020408,107.51020408163265
-749.719387755102,56.03061224489796,-696.0255102040817,109.72448979591837,-689.0663265306123,117.85714285714286,-698.5765306122449,108.34693877551021
-761.3214285714286,56.92857142857143,-707.9387755102041,110.31122448979592,-701.0357142857143,118.41326530612245,-710.4642857142857,108.98469387755102
-773.0,57.75,-719.9489795918367,110.80102040816327,-713.0357142857143,118.93877551020408,-722.2857142857143,109.68877551020408
-784.6989795918367,58.55102040816327,-731.9591836734694,111.29081632653062,-724.9795918367347,119.5204081632653,-734.1530612244898,110.34693877551021
-796.4081632653061,59.34183673469388,-743.9183673469388,111.83163265306122,-736.9744897959183,120.05102040816327,-745.9642857142857,111.06122448979592
-808.1887755102041,60.06122448979592,-755.8724489795918,112.37755102040816,-749.0765306122449,120.47448979591837,-757.9387755102041,111.61224489795919
-819.9591836734694,60.79081632653061,-767.9234693877551,112.8265306122449,-761.1887755102041,120.88775510204081,-769.8112244897959,112.26530612244898
-831.7397959183673,61.51020408163265,-779.8979591836735,113.35204081632654,-773.2704081632653,121.33163265306122,-781.6989795918367,112.90306122448979
-843.3265306122449,62.423469387755105,-791.984693877551,113.76530612244898,-785.4030612244898,121.72448979591837,-793.6785714285714,113.44897959183673
-854.9132653061224,63.33673469387755,-804.0255102040817,114.22448979591837,-797.6326530612245,122.0204081632653,-805.7142857142857,113.93877551020408
-866.5714285714286,64.17857142857143,-816.1071428571429,114.64285714285714,-809.9795918367347,122.19897959183673,-817.7857142857143,114.39285714285714
-878.3163265306123,64.93367346938776,-828.1836734693877,115.06632653061224,-822.265306122449,122.43877551020408,-829.8265306122449,114.87755102040816
-889.9438775510204,65.8061224489796,-840.3520408163265,115.39795918367346,-834.545918367347,122.68367346938776,-841.8061224489796,115.4234693877551
-901.4489795918367,66.80102040816327,-852.469387755102,115.78061224489795,-846.8826530612245,122.87244897959184,-853.9285714285714,115.8265306122449
-913.1938775510204,67.5561224489796,-864.6785714285714,116.07142857142857,-859.2091836734694,123.07142857142857,-865.9336734693877,116.34693877551021
-924.8214285714286,68.42857142857143,-876.8010204081633,116.44897959183673,-871.484693877551,123.32142857142857,-878.0204081632653,116.78571428571429
-936.5051020408164,69.24489795918367,-888.9132653061224,116.83673469387755,-883.734693877551,123.59693877551021,-890.0867346938776,117.24489795918367
-948.2295918367347,70.0204081632653,-901.0408163265306,117.20918367346938,-896.030612244898,123.8265306122449,-902.1632653061224,117.6938775510204
-959.8979591836735,70.85204081632654,-913.25,117.5,-908.3673469387755,124.01530612244898,-914.2602040816327,118.12244897959184
-971.6224489795918,71.62755102040816,-925.4285714285714,117.82142857142857,-920.6989795918367,124.20918367346938,-926.454081632653,118.45408163265306
-983.1989795918367,72.55102040816327,-937.6326530612245,118.11734693877551,-933.0051020408164,124.42857142857143,-938.6530612244898,118.78061224489795
-994.9285714285714,73.32142857142857,-949.8622448979592,118.38775510204081,-945.3673469387755,124.59183673469387,-950.7551020408164,119.20408163265306
-1006.5612244897959,74.18877551020408,-962.0561224489796,118.6938775510204,-957.765306122449,124.71938775510205,-962.8418367346939,119.64285714285714
-1018.2755102040817,74.97448979591837,-974.219387755102,119.03061224489795,-970.0612244897959,124.94897959183673,-974.9948979591836,120.01530612244898
-1029.8826530612246,75.86734693877551,-986.3520408163265,119.39795918367346,-982.3826530612245,125.15306122448979,-987.1632653061224,120.37244897959184
-1041.5969387755101,76.65306122448979,-998.5204081632653,119.7295918367347,-994.7551020408164,125.3061224489796,-999.3469387755102,120.71428571428571
-1053.265306122449,77.48469387755102,-1010.7295918367347,120.0204081632653,-1007.1224489795918,125.46428571428571,-1011.5663265306123,121.0204081632653
-1064.9948979591836,78.25510204081633,-1022.9132653061224,120.33673469387755,-1019.5204081632653,125.59183673469387,-1023.7908163265306,121.32142857142857
-1076.6122448979593,79.13775510204081,-1035.2091836734694,120.54081632653062,-1031.892857142857,125.74489795918367,-1035.984693877551,121.65306122448979
-1088.357142857143,79.89285714285714,-1047.4438775510205,120.8061224489796,-1044.3010204081634,125.86224489795919,-1048.2142857142858,121.94897959183673
-1100.015306122449,80.73469387755102,-1059.7244897959183,121.02551020408163,-1056.6938775510205,125.99489795918367,-1060.4234693877552,122.26530612244898
-1111.7091836734694,81.54081632653062,-1071.9948979591836,121.25510204081633,-1069.0969387755101,126.11734693877551,-1072.658163265306,122.5561224489796
-1123.3367346938776,82.41326530612245,-1084.3010204081634,121.44897959183673,-1081.530612244898,126.20918367346938,-1084.9285714285713,122.81122448979592
-1135.0357142857142,83.21428571428571,-1096.5102040816328,121.73979591836735,-1093.9234693877552,126.34183673469387,-1097.158163265306,123.10714285714286
-1146.719387755102,84.03061224489795,-1108.7551020408164,121.99489795918367,-1106.3214285714287,126.46938775510205,-1109.3775510204082,123.41326530612245
