,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20
0,-100,25,-83,76,-99,5,-98,2,-102,28,-96,7,-99,5,-97,28,-99,24,-95,8,-98,2,-100,2,-99,2,-98,3,-100,5,-86,28,-93,9,-98,6,-99,4,-91,11,-97,3
1,-119,28,-97,107,-99,7,-100,2,-110,35,-106,8,-100,5,-102,37,-112,30,-103,9,-98,2,-101,2,-100,2,-100,3,-105,6,-97,35,-107,10,-104,7,-107,4,-103,11,-97,3
2,-126,33,-110,128,-100,10,-105,2,-121,40,-112,9,-101,5,-115,50,-126,39,-121,12,-98,2,-101,2,-104,2,-100,3,-108,6,-104,47,-114,13,-113,8,-109,5,-113,12,-97,4
3,-136,45,-138,143,-100,10,-107,2,-143,54,-118,10,-103,5,-118,58,-128,43,-127,12,-98,2,-103,2,-106,2,-101,3,-109,6,-128,66,-119,13,-116,10,-113,6,-120,15,-98,4
4,-151,55,-153,158,-104,11,-107,2,-154,61,-123,12,-105,6,-126,66,-135,46,-140,15,-98,2,-104,2,-107,2,-101,3,-121,7,-146,77,-123,14,-125,12,-114,6,-135,18,-99,4
5,-160,59,-183,198,-105,13,-108,2,-164,70,-129,14,-111,7,-130,73,-138,51,-145,18,-98,2,-104,2,-107,2,-104,3,-122,7,-153,92,-133,19,-131,14,-117,7,-141,18,-102,4
6,-172,72,-203,215,-107,14,-110,2,-178,80,-138,15,-115,7,-142,82,-146,56,-165,20,-99,2,-104,2,-108,2,-110,3,-123,8,-160,98,-136,19,-135,15,-126,7,-146,22,-102,4
7,-184,88,-221,237,-110,14,-111,2,-184,96,-142,19,-117,9,-153,89,-157,59,-174,20,-100,2,-104,2,-111,2,-119,3,-130,8,-177,103,-137,19,-138,15,-129,7,-154,27,-103,4
8,-205,99,-237,253,-110,14,-112,2,-200,102,-153,22,-117,9,-168,96,-161,59,-181,20,-101,2,-104,2,-111,2,-120,3,-136,8,-191,113,-151,23,-146,17,-133,7,-159,31,-106,4
9,-220,104,-247,268,-111,14,-115,2,-213,111,-168,25,-126,10,-179,104,-170,60,-194,21,-101,2,-104,2,-114,2,-123,3,-144,8,-200,120,-160,24,-149,17,-134,8,-176,35,-108,4
10,-231,109,-272,287,-112,14,-118,2,-223,115,-187,25,-132,11,-185,107,-180,64,-205,22,-101,2,-104,2,-115,2,-128,3,-150,8,-212,128,-178,27,-155,17,-136,8,-181,38,-110,4
11,-252,118,-287,310,-113,14,-119,2,-250,125,-195,25,-133,15,-193,113,-184,69,-210,24,-102,2,-104,2,-116,2,-134,3,-152,8,-224,146,-182,27,-158,17,-139,8,-183,43,-113,4
12,-271,123,-302,326,-116,14,-121,2,-260,134,-201,26,-140,16,-206,114,-198,72,-213,25,-103,2,-105,2,-118,2,-137,3,-153,8,-243,152,-196,28,-172,19,-143,8,-192,44,-116,4
13,-295,129,-313,339,-119,16,-121,2,-273,141,-213,28,-144,16,-216,118,-207,73,-218,26,-105,2,-106,2,-120,2,-139,3,-158,8,-258,160,-207,33,-180,21,-145,8,-200,47,-124,5
14,-308,131,-330,359,-121,17,-124,2,-286,149,-228,32,-151,17,-226,126,-220,76,-224,26,-106,2,-106,2,-122,2,-149,3,-160,8,-262,167,-212,34,-194,23,-145,8,-208,48,-131,5
15,-319,135,-367,402,-121,17,-127,2,-297,151,-231,32,-161,17,-235,128,-232,79,-236,26,-106,2,-107,2,-125,2,-150,3,-163,9,-272,171,-222,35,-197,24,-147,8,-215,49,-131,5
16,-324,139,-378,417,-123,17,-130,2,-318,154,-239,34,-165,17,-244,129,-254,80,-240,28,-106,2,-108,2,-131,2,-154,3,-163,9,-285,183,-243,36,-212,27,-147,8,-223,52,-137,5
17,-341,145,-392,436,-127,17,-133,2,-331,155,-243,34,-173,17,-258,138,-274,83,-252,28,-106,2,-109,2,-132,2,-154,3,-165,9,-300,193,-253,40,-216,27,-151,8,-226,52,-146,5
18,-359,148,-407,452,-131,17,-135,2,-355,158,-263,35,-176,17,-273,139,-282,87,-257,29,-106,2,-109,2,-134,2,-158,3,-165,9,-310,199,-261,41,-221,27,-156,9,-242,54,-153,5
19,-379,156,-422,469,-133,17,-136,2,-368,162,-269,35,-183,18,-276,144,-292,89,-275,34,-107,2,-111,2,-144,2,-160,3,-166,9,-319,209,-273,43,-231,27,-158,10,-247,54,-159,5
20,-404,160,-441,492,-134,17,-136,2,-382,168,-285,37,-192,18,-283,151,-297,89,-280,34,-108,2,-112,2,-146,2,-167,3,-166,9,-336,216,-281,43,-239,27,-164,10,-254,56,-160,5
