,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20
0,-99,15,-53,58,-106,3,-104,2,-92,17,-100,7,-100,6,-88,16,-96,10,-111,5,-109,3,-108,4,-110,2,-108,2,-106,3,-88,30,-107,6,-102,6,-108,3,-98,10,-105,4
1,-106,15,-61,65,-114,3,-115,2,-100,20,-106,8,-107,8,-93,17,-112,13,-122,5,-115,3,-118,4,-119,2,-118,2,-115,4,-98,32,-116,6,-117,6,-120,3,-106,11,-109,4
2,-114,17,-65,68,-123,3,-127,2,-110,21,-118,9,-116,9,-97,18,-122,13,-135,5,-128,3,-124,4,-132,2,-128,2,-122,5,-101,33,-135,6,-126,6,-126,3,-117,11,-119,5
3,-119,17,-70,76,-131,3,-137,2,-122,22,-129,9,-127,9,-109,18,-131,14,-143,6,-137,3,-137,4,-141,2,-136,2,-131,5,-106,37,-142,7,-134,6,-133,3,-130,13,-131,6
4,-130,18,-77,79,-136,4,-148,2,-125,23,-134,10,-136,9,-113,18,-142,16,-147,6,-147,3,-151,4,-152,2,-142,2,-140,5,-115,40,-152,7,-150,6,-150,3,-140,14,-145,7
5,-135,18,-78,83,-147,4,-165,2,-135,24,-143,10,-150,9,-121,20,-150,16,-157,6,-154,3,-161,4,-159,2,-153,2,-150,5,-125,42,-157,8,-162,6,-160,3,-153,14,-157,7
6,-142,19,-85,88,-168,4,-179,2,-139,26,-151,11,-158,9,-128,21,-161,18,-164,6,-167,3,-170,4,-166,2,-159,2,-160,5,-127,46,-165,8,-176,6,-169,3,-161,14,-171,7
7,-151,21,-90,90,-178,4,-188,2,-148,28,-161,13,-172,9,-138,24,-169,19,-170,7,-180,3,-182,4,-175,2,-166,2,-165,5,-132,49,-175,8,-191,6,-177,3,-171,16,-178,8
8,-157,23,-94,99,-186,4,-200,3,-155,29,-173,13,-186,9,-144,26,-180,19,-177,7,-195,3,-199,4,-179,2,-177,2,-172,5,-137,51,-183,8,-198,6,-188,3,-182,16,-187,9
9,-167,24,-98,102,-194,4,-208,3,-168,30,-186,13,-199,9,-155,28,-184,20,-182,7,-203,3,-211,4,-187,2,-190,2,-180,5,-147,54,-188,8,-206,6,-202,3,-191,17,-201,9
10,-173,27,-103,104,-201,4,-213,3,-179,33,-195,13,-207,9,-170,32,-191,21,-192,8,-219,3,-216,4,-202,2,-201,2,-187,5,-153,56,-193,8,-218,6,-214,3,-203,18,-210,9
11,-182,29,-110,106,-212,4,-221,4,-185,35,-203,13,-219,9,-181,33,-198,21,-203,8,-232,3,-225,4,-218,2,-206,2,-193,5,-158,58,-204,8,-234,6,-223,3,-217,18,-216,9
12,-189,30,-115,107,-228,4,-229,5,-190,36,-210,13,-230,9,-190,35,-209,23,-212,9,-245,3,-233,4,-226,2,-214,2,-199,5,-169,61,-212,8,-244,6,-243,3,-224,20,-225,9
13,-196,33,-118,109,-239,4,-242,5,-197,38,-218,14,-238,9,-195,38,-222,23,-222,9,-255,3,-246,4,-234,2,-229,2,-211,6,-180,63,-221,8,-256,6,-249,3,-231,21,-232,9
14,-203,33,-125,114,-246,4,-255,5,-201,40,-231,15,-250,10,-204,39,-232,24,-232,9,-268,3,-258,4,-242,2,-239,2,-221,6,-183,65,-228,10,-259,6,-260,3,-241,24,-245,9
