STM,STM_stable,STM_stable_validation,STM_validation
0.151,0.151,0.151,0.151
0.151,0.151,0.15,0.151
0.151,0.146,0.13999999999999999,0.151
0.151,0.144,0.131,0.151
0.151,0.13999999999999999,0.129,0.151
0.151,0.139,0.123,0.151
0.151,0.134,0.122,0.151
0.151,0.129,0.122,0.151
0.151,0.126,0.118,0.151
0.151,0.126,0.119,0.151
0.151,0.125,0.119,0.151
0.151,0.122,0.11699999999999999,0.151
0.151,0.121,0.11699999999999999,0.151
0.151,0.123,0.11699999999999999,0.14900000000000002
0.151,0.124,0.118,0.15
0.151,0.122,0.118,0.15
0.151,0.121,0.119,0.15
0.151,0.122,0.118,0.15
0.151,0.121,0.118,0.149
0.151,0.121,0.118,0.148
0.151,0.12,0.118,0.148
0.151,0.121,0.11699999999999999,0.148
0.151,0.121,0.118,0.148
0.151,0.122,0.11699999999999999,0.147
0.151,0.122,0.11699999999999999,0.147
0.151,0.122,0.11699999999999999,0.147
0.151,0.123,0.118,0.146
0.151,0.12,0.118,0.145
0.151,0.119,0.11699999999999999,0.14200000000000002
0.151,0.118,0.11699999999999999,0.14100000000000001
0.151,0.119,0.11699999999999999,0.139
0.151,0.119,0.11699999999999999,0.137
0.15,0.12,0.118,0.137
0.151,0.12,0.118,0.135
0.151,0.12,0.11699999999999999,0.136
0.151,0.119,0.11699999999999999,0.135
0.15,0.121,0.11699999999999999,0.136
0.15,0.121,0.11699999999999999,0.135
0.15,0.12,0.11699999999999999,0.134
0.15,0.12,0.11699999999999999,0.134
0.149,0.12,0.11699999999999999,0.132
0.149,0.12,0.11699999999999999,0.132
0.149,0.12,0.11699999999999999,0.131
0.14600000000000002,0.12,0.11699999999999999,0.131
0.14700000000000002,0.12,0.118,0.131
0.146,0.12,0.118,0.131
0.14500000000000002,0.12,0.119,0.13
0.14400000000000002,0.12,0.119,0.128
0.14300000000000002,0.12,0.119,0.128
0.14400000000000002,0.12,0.119,0.129
0.14200000000000002,0.119,0.119,0.128
0.14200000000000002,0.12,0.119,0.129
0.14200000000000002,0.12,0.119,0.129
0.14200000000000002,0.12,0.119,0.128
0.14200000000000002,0.12,0.119,0.128
0.14200000000000002,0.12,0.119,0.128
0.14200000000000002,0.12,0.119,0.127
0.14200000000000002,0.12,0.119,0.126
0.14100000000000001,0.12,0.119,0.126
0.138,0.118,0.119,0.125
0.139,0.118,0.119,0.124
0.138,0.118,0.119,0.125
0.138,0.119,0.119,0.123
0.137,0.118,0.119,0.123
0.137,0.118,0.119,0.122
0.139,0.119,0.119,0.122
0.138,0.12,0.119,0.122
0.137,0.119,0.119,0.122
0.137,0.119,0.119,0.121
0.138,0.119,0.119,0.12
0.137,0.119,0.119,0.12
0.137,0.119,0.119,0.121
0.136,0.119,0.119,0.12
0.136,0.119,0.119,0.12
0.136,0.119,0.119,0.12
0.134,0.119,0.119,0.12
0.131,0.119,0.119,0.12
0.131,0.119,0.119,0.12
0.131,0.119,0.12,0.12
0.131,0.12,0.12,0.12
0.131,0.12,0.12,0.12
