STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-124.5952380952381,12.904761904761905,-120.88095238095238,16.61904761904762,-118.63095238095238,18.928571428571427,-122.79761904761905,14.761904761904763
-136.04761904761904,13.952380952380953,-128.70238095238096,21.297619047619047,-124.0,26.11904761904762,-132.6904761904762,17.428571428571427
-147.42857142857142,15.071428571428571,-136.6547619047619,25.845238095238095,-129.04761904761904,33.63095238095238,-142.89285714285714,19.785714285714285
-158.83333333333334,16.166666666666668,-144.4047619047619,30.595238095238095,-135.02380952380952,40.214285714285715,-153.13095238095238,22.107142857142858
-170.33333333333334,17.166666666666668,-152.25,35.25,-141.88095238095238,45.916666666666664,-163.25,24.547619047619047
-181.91666666666666,18.083333333333332,-160.1904761904762,39.80952380952381,-149.04761904761904,51.30952380952381,-173.5952380952381,26.761904761904763
-193.51190476190476,18.988095238095237,-168.63095238095238,43.86904761904762,-156.9404761904762,55.976190476190474,-183.98809523809524,28.928571428571427
-204.98809523809524,20.011904761904763,-176.26190476190476,48.73809523809524,-164.9404761904762,60.535714285714285,-194.11904761904762,31.357142857142858
-216.28571428571428,21.214285714285715,-184.71428571428572,52.785714285714285,-173.20238095238096,64.83333333333333,-204.48809523809524,33.54761904761905
-227.73809523809524,22.261904761904763,-193.02380952380952,56.976190476190474,-181.96428571428572,68.63095238095238,-214.77380952380952,35.82142857142857
-239.28571428571428,23.214285714285715,-201.8095238095238,60.69047619047619,-190.83333333333334,72.32142857142857,-225.08333333333334,38.07142857142857
-250.88095238095238,24.11904761904762,-210.5952380952381,64.4047619047619,-200.03571428571428,75.67857142857143,-235.27380952380952,40.44047619047619
-262.42857142857144,25.071428571428573,-219.73809523809524,67.76190476190476,-209.28571428571428,78.98809523809524,-245.66666666666666,42.607142857142854
-274.01190476190476,25.988095238095237,-228.42857142857142,71.57142857142857,-218.91666666666666,81.91666666666667,-255.57142857142858,45.26190476190476
-285.6904761904762,26.80952380952381,-237.39285714285714,75.10714285714286,-228.32142857142858,85.07142857142857,-265.73809523809524,47.654761904761905
-297.25,27.75,-246.36904761904762,78.63095238095238,-237.8095238095238,88.14285714285714,-275.7857142857143,50.166666666666664
-308.7142857142857,28.785714285714285,-255.86904761904762,81.63095238095238,-247.32142857142858,91.19047619047619,-286.23809523809524,52.273809523809526
-320.0952380952381,29.904761904761905,-265.5833333333333,84.41666666666667,-257.2738095238095,93.79761904761905,-296.7261904761905,54.345238095238095
-331.5357142857143,30.964285714285715,-275.01190476190476,87.48809523809524,-266.73809523809524,96.89285714285714,-306.92857142857144,56.70238095238095
-343.0238095238095,31.976190476190474,-284.3809523809524,90.61904761904762,-277.0238095238095,99.16666666666667,-316.8809523809524,59.30952380952381
-354.6309523809524,32.86904761904762,-294.1190476190476,93.38095238095238,-287.0357142857143,101.71428571428571,-327.1547619047619,61.595238095238095
-366.29761904761904,33.70238095238095,-304.0238095238095,95.97619047619048,-297.2142857142857,104.0952380952381,-337.4761904761905,63.833333333333336
-377.7261904761905,34.773809523809526,-313.95238095238096,98.54761904761905,-307.4404761904762,106.42857142857143,-347.5357142857143,66.33333333333333
-389.25,35.75,-323.7142857142857,101.28571428571429,-317.9047619047619,108.52380952380952,-357.48809523809524,68.94047619047619
-400.7261904761905,36.773809523809526,-333.8452380952381,103.6547619047619,-328.14285714285717,110.8452380952381,-367.82142857142856,71.16666666666667
-412.14285714285717,37.857142857142854,-344.07142857142856,105.92857142857143,-338.57142857142856,112.97619047619048,-378.01190476190476,73.53571428571429
-423.79761904761904,38.70238095238095,-354.25,108.25,-348.8333333333333,115.27380952380952,-388.26190476190476,75.8452380952381
-435.2738095238095,39.726190476190474,-364.7738095238095,110.22619047619048,-359.5238095238095,117.14285714285714,-398.4404761904762,78.22619047619048
-446.7857142857143,40.714285714285715,-375.0357142857143,112.46428571428571,-369.82142857142856,119.4047619047619,-408.6904761904762,80.53571428571429
-458.32142857142856,41.67857142857143,-385.54761904761904,114.45238095238095,-380.45238095238096,121.33333333333333,-418.9642857142857,82.82142857142857
-469.73809523809524,42.76190476190476,-396.0238095238095,116.47619047619048,-390.8690476190476,123.47619047619048,-428.9047619047619,85.44047619047619
-481.2738095238095,43.726190476190474,-406.7261904761905,118.27380952380952,-401.7261904761905,125.17857142857143,-439.1547619047619,87.75
-492.79761904761904,44.70238095238095,-417.5595238095238,119.94047619047619,-412.0833333333333,127.38095238095238,-449.4047619047619,90.05952380952381
-504.35714285714283,45.642857142857146,-428.51190476190476,121.48809523809524,-422.9166666666667,129.10714285714286,-459.5595238095238,92.46428571428571
-515.7380952380952,46.76190476190476,-439.3809523809524,123.11904761904762,-433.70238095238096,130.88095238095238,-469.3333333333333,95.25
-527.297619047619,47.70238095238095,-450.3095238095238,124.69047619047619,-444.4642857142857,132.67857142857142,-479.2142857142857,97.92857142857143
-538.9047619047619,48.595238095238095,-461.3333333333333,126.16666666666667,-455.5238095238095,134.17857142857142,-489.3690476190476,100.33333333333333
-550.5119047619048,49.48809523809524,-472.57142857142856,127.42857142857143,-466.35714285714283,135.9047619047619,-499.32142857142856,102.94047619047619
-561.8571428571429,50.642857142857146,-483.7142857142857,128.78571428571428,-477.07142857142856,137.75,-509.3809523809524,105.44047619047619
-573.3928571428571,51.607142857142854,-495.0595238095238,129.9404761904762,-488.0238095238095,139.35714285714286,-519.6428571428571,107.73809523809524
-584.9642857142857,52.535714285714285,-506.1904761904762,131.3095238095238,-499.2142857142857,140.72619047619048,-530.0119047619048,109.92857142857143
-596.4404761904761,53.55952380952381,-517.4761904761905,132.52380952380952,-510.04761904761904,142.45238095238096,-540.7261904761905,111.77380952380952
-607.952380952381,54.54761904761905,-528.8809523809524,133.61904761904762,-520.7738095238095,144.28571428571428,-551.5952380952381,113.46428571428571
-619.4404761904761,55.55952380952381,-540.2619047619048,134.73809523809524,-531.8571428571429,145.76190476190476,-562.7261904761905,114.89285714285714
-630.7857142857143,56.714285714285715,-551.5595238095239,135.9404761904762,-542.8928571428571,147.28571428571428,-573.8928571428571,116.28571428571429
-642.1785714285714,57.82142857142857,-563.0714285714286,136.92857142857142,-553.8095238095239,148.92857142857142,-584.5,118.23809523809524
-653.7142857142857,58.785714285714285,-574.7619047619048,137.73809523809524,-564.7619047619048,150.53571428571428,-595.6428571428571,119.6547619047619
-665.3452380952381,59.654761904761905,-586.3214285714286,138.67857142857142,-575.8452380952381,152.01190476190476,-606.797619047619,121.05952380952381
-676.9166666666666,60.583333333333336,-597.9761904761905,139.52380952380952,-586.7380952380952,153.67857142857142,-617.8333333333334,122.58333333333333
-688.5119047619048,61.48809523809524,-609.6071428571429,140.39285714285714,-597.9642857142857,155.01190476190476,-629.0357142857143,123.94047619047619
-700.1428571428571,62.357142857142854,-621.297619047619,141.20238095238096,-609.1547619047619,156.38095238095238,-640.1071428571429,125.42857142857143
-711.5238095238095,63.476190476190474,-632.7857142857143,142.21428571428572,-620.797619047619,157.29761904761904,-651.1785714285714,126.91666666666667
-722.9880952380952,64.51190476190476,-644.4047619047619,143.0952380952381,-632.3452380952381,158.3095238095238,-662.1666666666666,128.48809523809524
-734.4642857142857,65.53571428571429,-656.1547619047619,143.8452380952381,-644.2857142857143,158.92857142857142,-673.4047619047619,129.8095238095238
-746.1190476190476,66.38095238095238,-667.8690476190476,144.63095238095238,-656.3571428571429,159.41666666666666,-684.5119047619048,131.26190476190476
-757.4166666666666,67.58333333333333,-679.5595238095239,145.4404761904762,-668.4880952380952,159.8452380952381,-695.6904761904761,132.64285714285714
-768.8571428571429,68.64285714285714,-691.3928571428571,146.10714285714286,-680.5,160.39285714285714,-706.9285714285714,133.96428571428572
-780.5595238095239,69.44047619047619,-703.2142857142857,146.78571428571428,-692.6190476190476,160.83333333333334,-718.1904761904761,135.26190476190476
-792.2142857142857,70.28571428571429,-715.0,147.5,-704.7380952380952,161.27380952380952,-729.5119047619048,136.5
-803.7380952380952,71.26190476190476,-726.8690476190476,148.13095238095238,-716.9285714285714,161.64285714285714,-740.9880952380952,137.58333333333334
-815.202380952381,72.29761904761905,-738.7619047619048,148.73809523809524,-728.9880952380952,162.14285714285714,-752.1190476190476,139.01190476190476
-826.6428571428571,73.35714285714286,-750.6071428571429,149.39285714285714,-741.1547619047619,162.53571428571428,-763.452380952381,140.23809523809524
-838.1190476190476,74.38095238095238,-762.5,150.0,-753.2261904761905,163.02380952380952,-774.7738095238095,141.47619047619048
-849.6190476190476,75.38095238095238,-774.4166666666666,150.58333333333334,-765.4642857142857,163.3452380952381,-785.9880952380952,142.82142857142858
-861.1428571428571,76.35714285714286,-786.297619047619,151.20238095238096,-777.7142857142857,163.6547619047619,-797.297619047619,144.07142857142858
-872.5357142857143,77.46428571428571,-798.0595238095239,151.9404761904762,-789.8928571428571,164.03571428571428,-808.5119047619048,145.41666666666666
-884.0595238095239,78.44047619047619,-810.1071428571429,152.39285714285714,-802.1309523809524,164.35714285714286,-820.1309523809524,146.35714285714286
-895.547619047619,79.45238095238095,-822.0952380952381,152.9047619047619,-814.2142857142857,164.83333333333334,-831.6785714285714,147.36904761904762
-907.25,80.25,-834.0833333333334,153.41666666666666,-826.3571428571429,165.25,-843.1309523809524,148.47619047619048
-918.6904761904761,81.30952380952381,-846.047619047619,153.95238095238096,-838.5714285714286,165.5952380952381,-854.5238095238095,149.64285714285714
-930.1547619047619,82.3452380952381,-857.9642857142857,154.53571428571428,-850.9880952380952,165.73809523809524,-866.1309523809524,150.5952380952381
-941.6547619047619,83.3452380952381,-870.0952380952381,154.9047619047619,-863.3095238095239,165.97619047619048,-877.9166666666666,151.36904761904762
-953.1071428571429,84.39285714285714,-882.1428571428571,155.35714285714286,-875.5714285714286,166.27380952380952,-889.6666666666666,152.17857142857142
-964.5833333333334,85.41666666666667,-894.1190476190476,155.88095238095238,-887.8214285714286,166.58333333333334,-901.5952380952381,152.8095238095238
-975.9642857142857,86.53571428571429,-906.25,156.25,-900.1428571428571,166.82142857142858,-913.6547619047619,153.3095238095238
-987.5595238095239,87.44047619047619,-918.1785714285714,156.82142857142858,-912.3452380952381,167.17857142857142,-925.5833333333334,153.9404761904762
-998.9166666666666,88.58333333333333,-930.2380952380952,157.26190476190476,-924.7261904761905,167.35714285714286,-937.6309523809524,154.45238095238096
-1010.4285714285714,89.57142857142857,-942.297619047619,157.70238095238096,-936.9642857142857,167.67857142857142,-949.5,155.14285714285714
-1022.0238095238095,90.47619047619048,-954.1904761904761,158.3095238095238,-949.2619047619048,167.9404761904762,-961.3095238095239,155.89285714285714
-1033.5714285714287,91.42857142857143,-966.3095238095239,158.6904761904762,-961.5357142857143,168.22619047619048,-973.3571428571429,156.4047619047619
