STM,STM_stable,STM_stable_validation,STM_validation
5.332,5.348999999999999,5.311,5.4319999999999995
5.101999999999999,5.368,4.888,5.156000000000001
5.390000000000001,5.156000000000001,4.311,5.196
5.054,4.595000000000001,4.258,5.039
4.977,4.718,4.146,5.1
4.970000000000001,4.336,4.184,4.859
4.874,4.475,4.065,4.881
4.574,4.45,4.099,4.777
4.591,4.431,4.053,4.744
4.524,4.276,3.883,5.002
4.498,4.277,3.878,4.713
4.453,4.206,3.8049999999999997,4.4350000000000005
4.312,4.113999999999999,3.812,4.418
4.298,4.109,3.7599999999999993,4.470999999999999
4.298,4.004,3.7030000000000003,4.398000000000001
4.231,4.009,3.681,4.225
4.244999999999999,3.995,3.654,4.25
4.101999999999999,3.961,3.664,4.425
3.9430000000000005,3.9539999999999993,3.6710000000000003,4.199
3.914,3.9199999999999995,3.6199999999999997,4.2219999999999995
3.914,3.8980000000000006,3.7039999999999997,4.223999999999999
3.893,3.9760000000000004,3.692,4.244
4.064,3.896,3.664,4.087000000000001
3.936,3.8899999999999997,3.6369999999999996,4.196
3.821,3.832,3.665,4.079
3.8440000000000003,3.7979999999999996,3.6390000000000002,4.397
3.8129999999999997,3.78,3.6519999999999997,4.098000000000001
3.8019999999999996,3.803,3.7329999999999997,4.1259999999999994
3.721,3.732,3.6479999999999997,3.9880000000000004
3.753,3.806,3.6650000000000005,4.1739999999999995
3.749,3.7,3.7050000000000005,4.054
3.7,3.7290000000000005,3.732,4.082
3.684,3.7659999999999996,3.7019999999999995,4.069
3.7159999999999997,3.835,3.707,4.127000000000001
3.7689999999999997,3.7529999999999992,3.628,3.9479999999999995
3.7049999999999996,3.7980000000000005,3.649,3.978
3.696,3.7479999999999998,3.6310000000000002,3.935
3.7459999999999996,3.6709999999999994,3.66,3.8590000000000004
3.7039999999999997,3.707,3.6959999999999993,4.135
3.647,3.7099999999999995,3.63,3.876
3.729,3.7540000000000004,3.626,3.883
3.7640000000000002,3.714,3.6670000000000003,3.8810000000000002
3.675,3.7310000000000003,3.6109999999999998,3.873
3.726,3.725,3.6090000000000004,4.243
3.693,3.66,3.624,4.020999999999999
3.628,3.656,3.604,3.8659999999999997
3.6689999999999996,3.6149999999999998,3.6390000000000002,3.711
3.6390000000000002,3.683,3.604,3.816
3.6590000000000003,3.607,3.6109999999999998,3.768
3.651,3.65,3.5700000000000003,3.812
3.629,3.636,3.592,3.8200000000000003
3.586,3.6410000000000005,3.6109999999999998,3.6719999999999997
3.6480000000000006,3.594,3.585,3.7620000000000005
3.6149999999999998,3.569,3.4989999999999997,3.7560000000000002
3.5949999999999998,3.5869999999999997,3.5989999999999993,3.819
3.585,3.54,3.5230000000000006,3.8550000000000004
3.5519999999999996,3.575,3.53,3.778
3.59,3.5699999999999994,3.521,3.7700000000000005
3.5769999999999995,3.6109999999999998,3.5789999999999997,3.803
3.604,3.524,3.558,3.7159999999999997
3.656,3.529,3.498,3.748
3.563,3.5949999999999998,3.5740000000000003,3.783
3.5759999999999996,3.536,3.539,3.7640000000000002
3.5509999999999997,3.508,3.5509999999999997,3.718
3.595,3.5469999999999997,3.526,3.7059999999999995
3.623,3.5170000000000003,3.5450000000000004,3.782
3.589,3.473,3.468,3.7449999999999997
3.554,3.499,3.532,3.8009999999999997
3.5380000000000003,3.492,3.469,3.697
3.603,3.5340000000000003,3.4529999999999994,3.6369999999999996
3.5770000000000004,3.493,3.5060000000000002,3.781
3.511,3.5400000000000005,3.4509999999999996,3.7310000000000003
3.539,3.503,3.461,3.679
3.567,3.493,3.4800000000000004,3.594
3.522,3.504,3.4459999999999993,3.543
3.5170000000000003,3.5060000000000002,3.466,3.65
3.556,3.489,3.465,3.6910000000000003
3.4929999999999994,3.5159999999999996,3.402,3.601
3.5100000000000002,3.4949999999999997,3.3920000000000003,3.628
3.529,3.468,3.446,3.6
3.505,3.496,3.4059999999999997,3.665
