,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-37,29,-47,17,-40,26,-52,15,-43,25,-32,38,-52,15,-41,24,-28,37,-47,17,-35,33,-40,24,-41,23,-38,28
1,-41,34,-58,20,-51,32,-59,18,-47,28,-35,44,-58,18,-45,31,-31,42,-50,21,-42,37,-45,25,-49,32,-42,29
2,-46,38,-63,26,-60,33,-67,22,-53,29,-40,50,-64,20,-52,34,-33,50,-57,25,-50,38,-52,28,-57,37,-49,31
3,-50,45,-74,28,-65,35,-76,26,-58,31,-46,55,-74,21,-57,35,-39,55,-61,27,-56,41,-58,32,-66,40,-58,35
4,-54,53,-75,30,-71,38,-82,27,-66,38,-52,57,-82,22,-67,37,-40,63,-72,31,-63,44,-62,37,-72,45,-65,39
5,-62,55,-84,35,-79,41,-85,29,-72,43,-54,60,-89,23,-75,38,-44,74,-84,34,-71,49,-70,40,-78,45,-70,41
6,-68,59,-91,36,-84,42,-93,33,-75,46,-58,65,-94,26,-86,42,-48,84,-88,37,-78,55,-77,43,-88,48,-76,44
7,-77,64,-99,40,-86,46,-103,35,-78,52,-62,70,-100,29,-92,46,-50,90,-95,39,-86,58,-85,44,-94,52,-83,49
8,-82,72,-114,43,-94,51,-107,35,-82,57,-65,76,-102,30,-101,50,-52,100,-106,42,-93,62,-94,45,-97,54,-88,50
9,-92,76,-124,45,-104,53,-121,39,-86,63,-67,83,-108,34,-108,51,-56,105,-114,43,-101,63,-96,46,-103,56,-93,54
10,-99,80,-133,47,-113,55,-125,41,-91,64,-72,91,-115,36,-113,53,-60,112,-120,47,-108,67,-104,53,-110,57,-101,57
11,-104,83,-142,48,-122,55,-133,46,-95,67,-77,94,-120,38,-123,56,-63,121,-127,51,-115,74,-113,58,-116,60,-105,58
12,-110,90,-148,52,-129,57,-143,46,-103,70,-82,101,-129,40,-130,57,-66,126,-131,56,-122,78,-120,61,-124,63,-108,62
13,-113,93,-157,55,-138,58,-152,49,-108,77,-83,107,-137,47,-132,60,-71,131,-138,61,-126,82,-125,63,-131,68,-116,66
14,-118,97,-163,58,-145,62,-157,49,-116,80,-91,110,-148,49,-138,66,-78,136,-144,64,-129,87,-132,64,-135,75,-125,68
15,-124,104,-170,61,-148,66,-168,52,-120,86,-94,115,-152,51,-145,67,-80,140,-150,65,-133,97,-142,68,-139,80,-135,72
16,-129,107,-174,61,-158,69,-181,54,-129,88,-97,127,-159,51,-152,70,-83,141,-164,71,-138,100,-147,72,-142,85,-141,74
17,-136,111,-179,64,-164,72,-186,56,-131,98,-100,132,-167,56,-162,74,-88,145,-169,73,-148,102,-152,77,-150,88,-149,75
18,-139,116,-188,68,-170,77,-194,58,-136,102,-102,135,-174,61,-166,79,-93,153,-175,78,-158,105,-156,79,-158,90,-157,77
19,-144,120,-198,69,-177,79,-199,61,-140,112,-107,139,-183,65,-172,80,-95,155,-179,80,-163,117,-165,82,-164,94,-166,79
20,-151,121,-204,70,-181,82,-203,63,-148,116,-114,147,-192,66,-180,81,-101,160,-184,82,-172,121,-174,87,-170,101,-172,81
21,-156,125,-215,72,-191,86,-209,65,-153,120,-116,152,-201,69,-186,81,-108,165,-190,86,-176,128,-183,91,-173,106,-177,84
22,-160,130,-222,76,-202,89,-217,68,-159,125,-122,161,-206,74,-189,86,-113,168,-194,91,-179,136,-185,93,-178,110,-184,87
23,-166,132,-229,80,-207,90,-231,68,-162,131,-126,168,-210,78,-197,87,-117,174,-202,94,-187,139,-192,98,-183,114,-193,89
24,-173,139,-236,83,-211,95,-234,71,-168,133,-134,171,-216,81,-208,91,-120,179,-209,97,-190,145,-198,103,-189,116,-200,94
25,-178,144,-241,86,-220,102,-240,71,-172,137,-134,180,-225,84,-213,94,-122,186,-219,103,-193,150,-202,108,-196,120,-206,98
26,-184,152,-243,88,-225,102,-246,73,-177,140,-138,188,-233,86,-222,95,-127,190,-226,105,-201,157,-210,109,-210,126,-212,99
27,-189,155,-250,89,-234,109,-256,73,-185,147,-144,196,-237,88,-227,95,-130,194,-233,109,-210,163,-215,113,-215,131,-218,99
28,-194,160,-260,92,-244,110,-264,74,-192,153,-146,203,-245,88,-235,97,-132,204,-240,110,-213,166,-220,117,-221,138,-227,99
29,-203,161,-264,93,-250,112,-270,74,-194,158,-152,210,-256,93,-246,103,-135,211,-245,111,-215,171,-228,123,-224,144,-235,103
30,-208,163,-266,95,-256,117,-279,76,-202,160,-159,217,-260,97,-254,106,-136,219,-263,118,-219,173,-233,128,-228,145,-243,104
31,-217,166,-278,97,-260,124,-283,77,-207,165,-165,221,-266,98,-255,107,-141,222,-272,121,-226,178,-242,129,-236,152,-252,107
32,-222,168,-286,99,-264,128,-287,81,-211,170,-167,226,-275,101,-266,110,-143,229,-278,127,-234,185,-246,134,-241,157,-256,113
33,-225,172,-293,100,-273,132,-298,84,-215,177,-173,229,-284,105,-273,115,-149,235,-282,130,-238,189,-252,134,-248,162,-263,114
34,-231,174,-302,105,-280,135,-303,87,-219,180,-175,234,-295,108,-280,117,-154,245,-290,132,-245,194,-258,138,-252,167,-268,116
35,-235,179,-310,109,-290,139,-311,88,-223,181,-179,241,-303,111,-290,118,-161,246,-301,134,-250,198,-266,141,-256,173,-270,121
36,-239,183,-320,111,-297,141,-319,90,-235,185,-182,246,-311,113,-297,119,-166,249,-307,136,-254,202,-271,144,-265,175,-282,125
37,-246,190,-329,114,-301,146,-329,94,-238,190,-186,250,-319,113,-305,121,-172,256,-314,141,-257,203,-273,149,-274,179,-288,127
38,-251,195,-340,118,-309,149,-337,96,-239,192,-190,254,-327,115,-315,127,-177,265,-318,142,-260,210,-280,154,-281,182,-292,129
