STM n,STM p,STM_stable n,STM_stable p,STM_stable_validation n,STM_stable_validation p,STM_validation n,STM_validation p
-44.67460317460317,27.436507936507933,-43.51587301587302,28.595238095238095,-43.626984126984134,28.563492063492056,-44.2936507936508,27.896825396825395
-51.587301587301575,31.634920634920636,-49.06349206349207,34.158730158730165,-49.293650793650784,34.08730158730159,-51.04761904761905,32.333333333333336
-58.86507936507935,35.46825396825396,-54.58730158730158,39.746031746031754,-54.98412698412699,39.58730158730158,-58.34126984126984,36.23015873015873
-66.07936507936508,39.365079365079374,-60.285714285714285,45.15873015873016,-60.952380952380956,44.8095238095238,-65.44444444444446,40.317460317460316
-73.26984126984128,43.285714285714285,-65.73015873015873,50.82539682539682,-66.7063492063492,50.246031746031754,-72.38095238095238,44.57142857142857
-80.4047619047619,47.26190476190476,-71.0952380952381,56.57142857142858,-72.65079365079366,55.492063492063494,-79.44444444444444,48.698412698412696
-87.57936507936508,51.1984126984127,-76.38095238095238,62.3968253968254,-78.58730158730157,60.74603174603173,-86.42857142857143,52.904761904761905
-94.52380952380952,55.36507936507935,-81.92063492063492,67.96825396825396,-84.3888888888889,66.13492063492063,-93.65079365079364,56.87301587301586
-101.46031746031746,59.53968253968254,-87.22222222222221,73.77777777777779,-90.24603174603172,71.46825396825399,-100.78571428571429,60.92857142857143
-108.7777777777778,63.33333333333333,-92.78571428571429,79.32539682539682,-96.03968253968256,76.86507936507937,-107.62698412698411,65.27777777777777
-116.02380952380952,67.1984126984127,-98.35714285714286,84.86507936507935,-101.66666666666664,82.42857142857143,-114.73809523809526,69.35714285714286
-123.11904761904759,71.21428571428571,-103.95238095238096,90.3809523809524,-107.38888888888889,87.8968253968254,-121.73015873015876,73.55555555555554
-130.2936507936508,75.15079365079363,-109.76190476190479,95.68253968253968,-113.4920634920635,92.98412698412699,-128.65079365079367,77.82539682539682
-137.3650793650794,79.19047619047619,-115.94444444444443,100.6111111111111,-119.64285714285714,98.02380952380953,-135.7857142857143,81.8809523809524
-144.37301587301587,83.29365079365077,-121.61111111111111,106.05555555555554,-125.35714285714286,103.49999999999999,-142.8015873015873,86.05555555555554
-151.43650793650795,87.34126984126985,-127.53174603174602,111.24603174603176,-131.27777777777777,108.7698412698413,-149.70634920634922,90.34126984126983
-158.78571428571428,91.1031746031746,-133.6111111111111,116.27777777777779,-137.47619047619045,113.76190476190477,-156.65873015873018,94.57936507936508
-165.97619047619045,95.02380952380952,-139.30158730158732,121.6984126984127,-143.44444444444449,118.98412698412699,-163.7619047619048,98.66666666666664
-173.0,99.11111111111111,-145.13492063492066,126.97619047619048,-149.56349206349205,124.05555555555554,-170.81746031746027,102.80158730158732
-180.03968253968256,103.18253968253971,-151.0238095238095,132.1984126984127,-155.54761904761907,129.26190476190476,-178.0,106.80952380952381
-187.05555555555551,107.27777777777779,-157.12698412698413,137.20634920634922,-161.48412698412696,134.51587301587298,-185.17460317460313,110.82539682539684
-194.1666666666666,111.27777777777779,-163.36507936507937,142.07936507936506,-167.4047619047619,139.7857142857143,-192.14285714285717,115.04761904761907
-200.95238095238093,115.6031746031746,-169.51587301587304,147.0396825396825,-173.53968253968256,144.84126984126982,-199.34126984126985,119.03968253968253
-207.9444444444444,119.72222222222224,-175.5555555555556,152.11111111111111,-179.6825396825397,149.88888888888889,-206.5396825396826,123.03174603174602
-215.2777777777778,123.5,-181.67460317460316,157.10317460317455,-186.1111111111111,154.65079365079367,-213.71428571428575,127.04761904761902
-222.33333333333334,127.55555555555556,-187.68253968253967,162.20634920634924,-192.1984126984127,159.75396825396825,-220.89682539682536,131.05555555555557
-229.60317460317464,131.3968253968254,-193.88095238095238,167.11904761904765,-198.49206349206352,164.65079365079367,-227.9206349206349,135.22222222222223
-236.8571428571429,135.25396825396828,-200.05555555555557,172.0555555555556,-205.04761904761907,169.2857142857143,-235.04761904761907,139.28571428571425
-243.84126984126985,139.38095238095238,-206.20634920634922,177.015873015873,-211.61111111111111,173.9126984126984,-242.30158730158726,143.22222222222223
-251.07142857142858,143.26190476190476,-212.7063492063492,181.62698412698418,-218.00793650793648,178.70634920634922,-249.57936507936506,147.13492063492066
